season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under
2024,12,regular,fbs,401644765,Toledo,Central Michigan,2024-11-13T00:00:00+00:00,fanduel,spread,2024-11-12T21:00:38+00:00,2024-11-13T00:25:38+00:00,-14.5,-110.0,-110.0,-16.5,-110.0,-118.0,,,,
2024,12,regular,fbs,401644765,Toledo,Central Michigan,2024-11-13T00:00:00+00:00,fanduel,total,2024-11-12T21:00:38+00:00,2024-11-13T00:25:38+00:00,51.5,,,52.5,,,-115.0,-105.0,-114.0,-114.0
2024,12,regular,fbs,401644764,Bowling Green,Western Michigan,2024-11-13T00:00:00+00:00,fanduel,spread,2024-11-12T21:00:38+00:00,2024-11-13T00:25:38+00:00,-9.5,-114.0,-106.0,-11.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401644764,Bowling Green,Western Michigan,2024-11-13T00:00:00+00:00,fanduel,total,2024-11-12T21:00:38+00:00,2024-11-13T00:25:38+00:00,57.5,,,52.5,,,-105.0,-115.0,-130.0,100.0
2024,12,regular,fbs,401644763,Buffalo,Ball State,2024-11-13T00:00:00+00:00,fanduel,spread,2024-11-12T21:00:38+00:00,2024-11-13T00:25:38+00:00,-3.5,-115.0,-105.0,-6.5,-128.0,-102.0,,,,
2024,12,regular,fbs,401644763,Buffalo,Ball State,2024-11-13T00:00:00+00:00,fanduel,total,2024-11-12T21:00:38+00:00,2024-11-13T00:25:38+00:00,55.5,,,54.5,,,-105.0,-115.0,-122.0,-106.0
2024,12,regular,fbs,401644766,Northern Illinois,Akron,2024-11-14T00:00:00+00:00,fanduel,spread,2024-11-13T21:00:38+00:00,2024-11-14T00:25:38+00:00,-14.5,-102.0,-120.0,-16.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401644766,Northern Illinois,Akron,2024-11-14T00:00:00+00:00,fanduel,total,2024-11-13T21:00:38+00:00,2024-11-14T00:25:38+00:00,43.5,,,56.5,,,-110.0,-110.0,-104.0,-125.0
2024,12,regular,fbs,401644689,Miami (OH),Kent State,2024-11-14T00:00:00+00:00,fanduel,spread,2024-11-13T21:00:38+00:00,2024-11-14T00:25:38+00:00,-30.5,-110.0,-110.0,-25.5,-118.0,-110.0,,,,
2024,12,regular,fbs,401644689,Miami (OH),Kent State,2024-11-14T00:00:00+00:00,fanduel,total,2024-11-13T21:00:38+00:00,2024-11-14T00:25:38+00:00,47.5,,,56.5,,,-110.0,-110.0,-102.0,-128.0
2024,12,regular,fbs,401644767,Ohio,Eastern Michigan,2024-11-14T00:00:00+00:00,fanduel,spread,2024-11-13T21:00:38+00:00,2024-11-14T00:25:38+00:00,-11.5,-105.0,-115.0,-10.5,-108.0,-120.0,,,,
2024,12,regular,fbs,401644767,Ohio,Eastern Michigan,2024-11-14T00:00:00+00:00,fanduel,total,2024-11-13T21:00:38+00:00,2024-11-14T00:25:38+00:00,51.5,,,44.5,,,-110.0,-110.0,-108.0,-120.0
2024,12,regular,fbs,401645365,Tulsa,East Carolina,2024-11-15T00:30:00+00:00,fanduel,spread,2024-11-14T21:30:38+00:00,2024-11-15T00:55:38+00:00,14.5,-105.0,-115.0,12.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401645365,Tulsa,East Carolina,2024-11-15T00:30:00+00:00,fanduel,total,2024-11-14T21:30:38+00:00,2024-11-15T00:55:38+00:00,63.5,,,57.5,,,-108.0,-112.0,-118.0,-110.0
2024,12,regular,fbs,401645366,UTSA,North Texas,2024-11-16T01:00:00+00:00,fanduel,spread,2024-11-15T22:00:39+00:00,2024-11-16T01:25:38+00:00,-1.5,-110.0,-110.0,-3.5,-110.0,-118.0,,,,
2024,12,regular,fbs,401645366,UTSA,North Texas,2024-11-16T01:00:00+00:00,fanduel,total,2024-11-15T22:00:39+00:00,2024-11-16T01:25:38+00:00,72.5,,,68.5,,,-105.0,-115.0,-113.0,-115.0
2024,12,regular,fbs,401643759,Colorado State,Wyoming,2024-11-16T01:00:00+00:00,fanduel,spread,2024-11-15T22:00:39+00:00,2024-11-16T01:25:38+00:00,-9.5,-105.0,-115.0,-14.5,-106.0,-122.0,,,,
2024,12,regular,fbs,401643759,Colorado State,Wyoming,2024-11-16T01:00:00+00:00,fanduel,total,2024-11-15T22:00:39+00:00,2024-11-16T01:25:38+00:00,45.5,,,47.5,,,-110.0,-110.0,-113.0,-115.0
2024,12,regular,fbs,401628553,Washington,UCLA,2024-11-16T02:00:00+00:00,fanduel,spread,2024-11-15T23:00:38+00:00,2024-11-16T02:25:38+00:00,-4.5,-110.0,-110.0,-5.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401628553,Washington,UCLA,2024-11-16T02:00:00+00:00,fanduel,total,2024-11-15T23:00:38+00:00,2024-11-16T02:25:38+00:00,46.5,,,41.5,,,-115.0,-105.0,-108.0,-120.0
2024,12,regular,fbs,401636923,Arizona,Houston,2024-11-16T03:15:00+00:00,fanduel,spread,2024-11-16T00:15:39+00:00,2024-11-16T03:40:38+00:00,-1.5,-110.0,-110.0,-6.5,-128.0,-102.0,,,,
2024,12,regular,fbs,401636923,Arizona,Houston,2024-11-16T03:15:00+00:00,fanduel,total,2024-11-16T00:15:39+00:00,2024-11-16T03:40:38+00:00,46.5,,,48.5,,,-115.0,-105.0,-108.0,-120.0
2024,12,regular,fbs,401628419,Arkansas,Texas,2024-11-16T17:00:00+00:00,fanduel,spread,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,12.5,-104.0,-118.0,16.5,-113.0,-115.0,,,,
2024,12,regular,fbs,401628419,Arkansas,Texas,2024-11-16T17:00:00+00:00,fanduel,total,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,57.5,,,55.5,,,-110.0,-110.0,-106.0,-122.0
2024,12,regular,fbs,401635582,Pittsburgh,Clemson,2024-11-16T17:00:00+00:00,fanduel,spread,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,11.5,-110.0,-110.0,14.5,-122.0,-106.0,,,,
2024,12,regular,fbs,401635582,Pittsburgh,Clemson,2024-11-16T17:00:00+00:00,fanduel,total,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,52.5,,,50.5,,,-110.0,-110.0,-106.0,-122.0
2024,12,regular,fbs,401645370,Navy,Tulane,2024-11-16T17:00:00+00:00,fanduel,spread,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,7.5,-118.0,-104.0,6.5,-113.0,-115.0,,,,
2024,12,regular,fbs,401645370,Navy,Tulane,2024-11-16T17:00:00+00:00,fanduel,total,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,50.5,,,41.5,,,-110.0,-110.0,-118.0,-110.0
2024,12,regular,fbs,401641013,Western Kentucky,Louisiana Tech,2024-11-16T17:00:00+00:00,fanduel,spread,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,-12.5,-110.0,-110.0,-6.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401641013,Western Kentucky,Louisiana Tech,2024-11-16T17:00:00+00:00,fanduel,total,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,52.5,,,46.5,,,-106.0,-114.0,-115.0,-113.0
2024,12,regular,fbs,401628550,Northwestern,Ohio State,2024-11-16T17:00:00+00:00,fanduel,spread,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,28.5,-115.0,-105.0,24.5,-120.0,-108.0,,,,
2024,12,regular,fbs,401628550,Northwestern,Ohio State,2024-11-16T17:00:00+00:00,fanduel,total,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,43.5,,,34.5,,,-115.0,-105.0,-110.0,-118.0
2024,12,regular,fbs,401636925,Colorado,Utah,2024-11-16T17:00:00+00:00,fanduel,spread,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,-13.5,-122.0,100.0,-9.5,-115.0,-114.0,,,,
2024,12,regular,fbs,401636925,Colorado,Utah,2024-11-16T17:00:00+00:00,fanduel,total,2024-11-16T14:00:38+00:00,2024-11-16T17:25:38+00:00,43.5,,,42.5,,,-105.0,-115.0,-120.0,-108.0
2024,12,regular,fbs,401628426,Auburn,UL Monroe,2024-11-16T17:45:00+00:00,fanduel,spread,2024-11-16T14:45:38+00:00,2024-11-16T18:10:38+00:00,-24.5,-110.0,-110.0,-36.5,-113.0,-115.0,,,,
2024,12,regular,fbs,401628426,Auburn,UL Monroe,2024-11-16T17:45:00+00:00,fanduel,total,2024-11-16T14:45:38+00:00,2024-11-16T18:10:38+00:00,46.5,,,50.5,,,-110.0,-110.0,-114.0,-114.0
2024,12,regular,fbs,401643832,Marshall,Coastal Carolina,2024-11-16T18:00:00+00:00,fanduel,spread,2024-11-16T15:00:38+00:00,2024-11-16T18:25:38+00:00,-8.5,-110.0,-110.0,-4.5,-108.0,-120.0,,,,
2024,12,regular,fbs,401643832,Marshall,Coastal Carolina,2024-11-16T18:00:00+00:00,fanduel,total,2024-11-16T15:00:38+00:00,2024-11-16T18:25:38+00:00,56.5,,,61.5,,,-110.0,-110.0,-120.0,-108.0
2024,12,regular,fbs,401628422,Kentucky,Murray State,2024-11-16T18:30:00+00:00,fanduel,spread,2024-11-16T15:30:38+00:00,2024-11-16T18:55:38+00:00,-38.5,-118.0,-104.0,-42.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401628422,Kentucky,Murray State,2024-11-16T18:30:00+00:00,fanduel,total,2024-11-16T15:30:38+00:00,2024-11-16T18:55:38+00:00,49.5,,,49.5,,,-115.0,-105.0,-110.0,-118.0
