points_defense,team,totalYards_defense,netPassingYards_defense,rushingYards_defense,yardsPerPass_defense,yardsPerRushAttempt_defense,turnovers_defense,thirdDownEff_defense
26.902278078699464,Abilene Christian,365.41403157161534,213.18783817481426,152.22619339680105,7.342870122796839,4.211990563896523,1.2645200568477568,0.3707517844394892
27.337936975029745,Alabama A&M,361.20344978528226,204.1129621390894,157.09048764619286,7.34123731716324,4.399068548657129,1.37565043361153,0.3820274985410136
24.178272747116953,Alabama State,334.5941230148409,193.4553970604278,141.13872595441308,7.080651826463429,3.8235673365536083,1.5505685969563838,0.37159026527976424
26.080821162244053,Alcorn State,355.5359050213999,201.8176663243483,153.7182386970516,7.153144194612522,4.170661530587347,1.4750332468321183,0.38295289811964106
28.924610453223902,Arkansas-Pine Bluff,377.8310368097505,205.22732243891173,172.6037143708387,7.526217966865329,4.514064434187236,1.280236728575317,0.4265260846182794
25.750435841753955,Austin Peay,364.19145212528844,212.50432539139982,151.68712673388862,7.218138744971238,4.1916812871934415,1.4450633251595149,0.38801741230989556
26.995495362390344,Bethune-Cookman,377.0581010774237,203.08276055809392,173.97534051932976,7.404399483368143,4.517159298828637,1.3095153748314834,0.40624245700900186
28.213654226393253,Brown,370.30541047366205,219.23928562093212,151.06612485272987,7.556269305284159,4.2661614847695795,1.2641620831536766,0.3975488857389256
28.80903062850821,Bryant,369.78077647483383,207.60327922434917,162.17749725048463,7.899560223459275,4.42537057849921,1.178992724547258,0.405304166501493
27.1159228550272,Bucknell,380.42388688216903,213.7072409676446,166.7166459145244,7.516500024326696,4.439005588700188,1.4491421535462559,0.4006094213639282
25.04052431277962,Butler,351.6450199757888,197.96206584160305,153.68295413418568,7.352089625396878,4.298921867358158,1.3447216317631407,0.37907059785438735
27.40120465396789,Cal Poly,363.3584926511035,217.7917634939657,145.56672915713781,7.612221071996729,4.174786657726896,1.3779425462735826,0.41281708765160313
27.501108786065718,Campbell,359.80257598297635,197.09658245982854,162.7059935231478,7.278843791294154,4.351325530833401,1.3588569342107115,0.40040993104519806
26.241922338402947,Central Arkansas,348.89839953879294,207.03124406702193,141.867155471771,7.2018685120023855,4.089932827962698,1.3147031475392355,0.38594337248213845
23.993873714141944,Central Connecticut,339.96051441597996,199.97091960589805,139.98959481008188,7.103019740497808,3.917173393184747,1.778735795945925,0.3775618037853489
25.72334465946318,Charleston Southern,353.6691355827582,200.86972744920638,152.7994081335518,7.450957224848361,4.094193600915615,1.4217241058021917,0.39435073007544325
23.658542547307828,Chattanooga,349.71657332244644,200.62422452384737,149.09234879859898,6.9238228429284225,4.156068102235538,1.5846432491409665,0.3719964671515787
27.744069509083296,Colgate,369.7267897432521,220.10116130661504,149.625628436637,7.72798218557008,4.218088709660246,1.2136014443154797,0.40081286421472156
23.18949221375846,Columbia,351.79564222957436,202.51326319121094,149.2823790383634,7.011057861756739,4.147948707346123,1.3499983899791461,0.3896894098192503
27.69743651722876,Cornell,374.67174336287155,217.30089641990108,157.37084694297045,7.450309232908196,4.226332332516544,1.4681787451126278,0.39944957034961454
25.459618120636748,Dartmouth,351.38642567107166,212.0028762349537,139.3835494361179,7.015191161373309,3.924335785828702,1.320146547593761,0.3775845418478551
27.98512945348037,Davidson,367.2959299670538,215.81936893839406,151.4765610286597,7.576057747729794,4.394922247662985,1.409354041354519,0.3839452636847951
24.088300481064667,Dayton,330.3692503237209,184.6064761509324,145.76277417278848,6.751594784482689,4.002109857231632,1.2799537820265634,0.3590129352638325
29.641396673299266,Delaware State,384.0843334300833,218.02472662557517,166.05960680450806,7.677376673262077,4.547911019390441,1.3752369774150954,0.4142275382106031
24.636097524909648,Drake,347.7375976561401,206.96540528097256,140.7721923751675,6.9317410041185665,3.894375909665266,1.446895252398167,0.38080835226788207
24.805327178201775,Duquesne,349.4987272527983,207.77301858662142,141.7257086661768,7.169821841059405,4.054681558225483,1.3337550495542347,0.36604791938796016
24.65371970865824,East Tennessee State,345.1841569325212,202.6047768514406,142.57938008108056,7.0023244470169015,3.8711477397270775,1.2629655017836519,0.3646687640530725
27.325485218109325,East Texas A&M,357.6043367462028,202.11296479447174,155.49137195173108,7.380398374995269,4.196531586788599,1.5307724134998197,0.37253984393543566
27.502805620967226,Eastern Illinois,368.13780620386626,217.4428696236686,150.69493658019763,7.648917626168135,4.144465133247597,1.2116838820749085,0.41197951079603423
24.318179465201695,Eastern Kentucky,353.503078833231,203.90806080835682,149.5950180248741,7.0386993095073755,4.22250199282401,1.400277428396383,0.38860300866960207
28.472503706111613,Eastern Washington,385.7516566855641,226.94200265754648,158.80965402801763,7.632179841445927,4.420845266888237,1.135951993432036,0.4254410275495221
26.023314504723515,Elon,356.02270287194773,206.76626485033893,149.25643802160877,7.194715091124244,4.125646338377835,1.2985848225856178,0.36763165799662295
25.48044429203295,Florida A&M,347.47126732678265,193.17032036077714,154.3009469660055,7.358691809960107,4.201393403473576,1.3479286879628214,0.3722912594392319
26.56838358842467,Fordham,360.6152585988355,204.50795418357237,156.1073044152631,7.345345432282947,4.209701021607253,1.350408872192058,0.39241190353764877
26.937048712261593,Furman,370.5053688123004,212.30447767806257,158.2008911342378,7.3430469590388405,4.206598562272892,1.4037752739480804,0.38758674086144645
27.304017528393803,Gardner-Webb,369.1244671307324,218.99120023549844,150.133266895234,7.503079899247302,4.155919663353967,1.2577126571618653,0.3960627185313301
26.159161053124116,Georgetown,359.09433814819874,198.26603930069453,160.8282988475042,7.192499069866199,4.305433404553681,1.453338410302447,0.37377374973049576
