points_offense,team,totalYards_offense,netPassingYards_offense,rushingYards_offense,yardsPerPass_offense,yardsPerRushAttempt_offense,turnovers_offense,thirdDownEff_offense
28.436282515991554,Abilene Christian,393.55577862154814,234.50470985501929,159.05106876652883,7.400724807587093,4.626067527541055,1.4429760302828576,0.4087525402099688
27.76484432447684,Alabama A&M,378.9188852972321,218.80932994188245,160.10955535534964,7.301916910038261,4.2441443776841465,1.5277937306575713,0.3810769503176311
24.601123537914038,Alabama State,340.518239710229,184.987883691015,155.53035601921403,7.048810398128331,4.165796018679103,1.3153032530660653,0.3708494038774074
25.79640660903788,Alcorn State,367.13708565476526,194.90992710619207,172.22715854857316,6.953889420187454,4.548627281946293,1.4934512877763735,0.38885034818805975
24.53943618934689,Arkansas-Pine Bluff,347.1441435895757,208.26424098648423,138.87990260309147,7.366686801490394,3.958577393117915,1.4576248625975745,0.39878715768295026
25.377271681276863,Austin Peay,359.1915613793739,205.88031693827267,153.3112444411012,7.145073837091935,4.132199302000693,1.2913125773731977,0.3834729581593706
24.228586494443963,Bethune-Cookman,335.93876139815677,195.15839824260738,140.78036315554937,7.069313191571114,3.889041075331967,1.3137267170567692,0.37482614531239394
25.92414573112017,Brown,361.85143623963336,217.41569312272813,144.43574311690517,6.992845872571903,3.9510450191234563,1.493198323719072,0.39833424939431766
25.039176115351623,Bryant,350.5434062319985,211.8335280433355,138.709878188663,7.096844616443629,4.112721894443329,1.3766540166159313,0.39218705229108924
26.998987244879217,Bucknell,368.32459267206843,225.46923077038753,142.8553619016809,7.361025198819379,3.962481274535056,1.3414173840945351,0.38753851148038937
26.916344554918687,Butler,363.1331130981713,204.3935332784016,158.73957981976966,7.594161205740715,4.328029320838507,1.3376824449072853,0.41579966706734806
24.773737863049046,Cal Poly,347.92251864152115,206.14019379865024,141.78232484287088,7.1932095547864305,3.9378038703822,1.3650683210816883,0.3846418655573817
25.173517351975295,Campbell,361.0605732596261,209.78542416637126,151.27514909325484,7.48381534901673,4.22606301545712,1.3962397797749104,0.40611216200840333
27.805811193041173,Central Arkansas,366.9745320668201,206.08136363595182,160.89316843086826,7.4188673386467405,4.583836609702896,1.3705974814171025,0.40334638036119524
25.86723955209569,Central Connecticut,349.64429957423863,199.30754469820258,150.33675487603605,7.098940462812542,4.031662402206713,1.4107097551540397,0.3861066112584495
22.769985390171207,Charleston Southern,330.1221246508702,182.2509893032724,147.87113534759774,6.904632254590758,4.100211959113057,1.4388900368559328,0.3590811288598603
26.562093663285427,Chattanooga,358.6774150643884,209.21334655010816,149.46406851428026,7.473755892621822,3.959036006964734,1.2804796184813394,0.3965418011309086
24.48478680503944,Colgate,349.97556583889207,201.04520334122972,148.93036249766232,6.9492520459045295,4.322883844695488,1.3814643970992162,0.38963002838745137
24.461135375696514,Columbia,361.9366526219391,206.03699547629583,155.89965714564326,7.344940417511114,4.321072746848599,1.36976866870401,0.3946418512233479
27.19742444239208,Cornell,368.8580846744751,217.50457832603828,151.35350634843684,7.1538507262313455,4.351497066420217,1.3276470906153353,0.39338419730656754
27.24101101332344,Dartmouth,361.8079004955559,204.6909274203302,157.11697307522564,7.368908478888884,4.304341820294582,1.190455798794989,0.38930241700806606
27.817897923790543,Davidson,374.41097753181384,187.07357338909978,187.33740414271406,7.838084188484093,4.389231365231309,1.2220916760539324,0.40148573323473125
23.47811562956268,Dayton,339.5162848971087,199.33780635159758,140.17847854551104,6.928973392970442,3.813586092458404,1.6459739187027806,0.38905318102781544
23.908569261521592,Delaware State,344.95321382244623,194.1266464684433,150.82656735400292,7.05833028580045,4.2876117317450095,1.4189703684360855,0.36680930708143167
25.895429658743296,Drake,354.70879779847866,217.3095682502084,137.39922954827023,7.087307171564171,4.119275632759495,1.4005691575395072,0.3974014525099095
28.20385742528887,Duquesne,375.09935182280117,221.87293734659093,153.2264144762102,7.5896646385751545,4.446135986600673,1.5045227407268045,0.41651937892568114
26.268087761303693,East Tennessee State,370.15455089273877,205.85762797672362,164.29692291601515,7.268981607671802,4.336937841176002,1.6666996537207912,0.38086444481339954
24.65275335881726,East Texas A&M,343.98163276192327,212.84886930251068,131.13276345941256,7.006163664722285,3.682571345647111,1.8033993019941077,0.3838338000002342
24.799290483534215,Eastern Illinois,361.56840381414275,227.8382099966481,133.7301938174947,7.457116386414162,3.767345110585343,1.3931538927572944,0.3873812479401758
25.99396033750181,Eastern Kentucky,352.09512155323887,190.81115944940007,161.28396210383875,6.886537845008541,4.305290147920466,1.2702417013383016,0.40852176305358723
29.608972504689827,Eastern Washington,384.23285526729273,209.0088850517582,175.22397021553454,7.6319503272110385,4.4507101121240655,1.1279012873518366,0.4448216548254481
26.544324228630895,Elon,360.8703266062065,212.6614765983103,148.20885000789622,7.55094960497386,4.105515681735398,1.280564499983863,0.36889523417527964
26.371907719077132,Florida A&M,372.8565635998317,217.57847491715444,155.27808868267724,7.517484624189121,4.454546066093731,1.5983365181070703,0.41060697134896135
23.75772160417116,Fordham,335.91587319329005,191.07471344754552,144.8411597457445,6.839671990299797,3.8798004631793117,1.4807767915823178,0.3486126329154853
24.88024713967992,Furman,350.2050545096626,213.30182672893474,136.90322778072786,7.270738550601318,3.78050910256298,1.5905943542929069,0.3843312796601542
26.12750728943158,Gardner-Webb,361.3014073457674,210.85592555695143,150.44548178881595,7.241358549957453,4.068661485744661,1.2469227136201408,0.3834535699886467
23.542940523618213,Georgetown,350.8663348883501,203.98577185734166,146.8805630310084,6.879575127745649,4.119647184150986,1.5112253564944427,0.38127353318448526
