player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Kalvin Dinkins,163680,DI,MISS STATE,9,1,0,,0,0,227,0,0,67.7,52.3,84.1,54.3,49.4,25.3,0,1,0,0,,29.4,5,0,0,0.0,0,1,0,0,0,1,259,259,148,111,0,0,0,0,130,128,0,10,11,1,0,2,0,0,0,
Tanner Johnson,163682,S,MISS STATE,5,1,0,80.0,0,1,227,0,0,78.6,73.2,77.5,,58.6,27.6,0,0,0,0,8,42.9,3,1,0,80.8,4,0,0,32,0,31,63,0,0,0,0,0,21,63,0,32,10,1,3,0,5,0,0,17,15,4.3
Javae Gilmore,163683,LB,MARSHALL,8,10,2,80.0,0,1,214,0,0,60.2,72.6,49.0,73.0,77.1,45.2,4,10,0,0,15,18.8,9,0,1,91.7,8,1,0,244,0,121,391,114,0,0,114,0,1,277,94,176,32,23,29,7,10,15,0,60,54,7.5
Wesley Miller,163688,S,S ALABAMA,9,9,0,50.0,0,0,288,0,0,61.4,62.2,84.7,59.2,62.1,47.0,0,0,0,1,35,20.9,14,1,0,70.8,10,0,0,242,0,222,452,9,0,0,9,0,104,443,1,229,97,13,44,2,20,0,1,150,66,15.0
DonTerry Russell,163693,ED,TEXAS ST,8,4,0,100.0,1,1,314,0,0,48.0,66.2,0.0,79.9,69.4,62.8,0,7,0,0,23,21.4,3,0,3,116.7,3,5,0,27,0,32,169,142,0,0,134,8,0,27,60,77,0,9,7,1,3,12,0,36,33,12.0
Avery Sledge,163695,LB,SO MISS,8,0,0,100.0,1,1,296,1,0,58.6,64.0,0.0,59.6,81.0,67.8,0,0,0,0,54,10.0,1,0,2,118.8,4,0,0,41,0,31,71,21,0,0,21,0,0,50,10,30,9,3,9,1,4,0,0,71,71,17.8
Trevion Williams,163699,ED,MISS STATE,9,3,0,,0,0,227,0,0,49.6,56.9,82.0,55.6,60.9,64.5,1,5,0,0,,8.3,1,0,0,0.0,0,2,0,0,0,2,209,209,0,6,118,85,0,0,103,104,0,8,8,1,0,8,0,0,0,
Darren Agu,163703,ED,NEW MEXICO,7,1,0,100.0,0,1,241,0,0,54.5,78.5,84.0,73.3,81.7,67.5,3,11,0,0,8,6.7,1,0,0,100.0,1,1,0,0,1,6,220,219,0,26,183,10,0,1,128,86,0,10,13,1,1,15,0,8,12,8.0
Bryce Cowan,163707,LB,VANDERBILT,9,6,0,80.0,0,2,333,0,0,50.2,62.0,82.1,62.5,75.3,59.9,0,4,0,0,24,15.4,4,0,0,135.0,8,1,0,161,1,105,200,24,0,0,24,0,0,176,23,72,14,7,16,0,10,5,1,84,50,10.5
Bradley Mann,163718,DI,VANDERBILT,9,3,0,,1,0,333,0,0,60.3,53.4,23.6,59.7,52.7,47.9,1,4,0,0,,14.3,1,0,1,0.0,0,0,0,0,0,2,119,119,4,108,5,2,0,0,61,56,0,1,3,0,0,5,0,0,0,
