player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jase Bauer,145714,QB,TENN MARTN,9,85,17,3,19.0,82,0,239,0,0,7,148,36.9,12,27,310,2,30,65.3,88.5,75.7,85.2,,49.3,74.6,60.1,50,2,0,0,3,277,193,32,0,53,7,432,222,2.61,5.1,0.0,11
Nate Thomas,148204,HB,IDAHO,8,85,9,0,0.0,0,0,339,0,1,9,247,32.3,9,18,185,0,30,86.0,71.6,83.4,,57.6,51.6,74.6,65.1,14,0,31,5,90,115,0,0,9,90,1,339,247,2.91,4.0,0.34,48
Mathias Price,191528,HB,N COLORADO,8,85,13,1,7.1,28,0,397,0,5,13,270,56.6,7,18,253,0,55,86.2,80.4,82.3,,63.8,82.4,78.4,66.2,28,0,133,16,91,98,0,0,17,101,2,397,270,3.18,4.7,1.46,28
Tyriq Starks,156514,QB,HOWARD,9,85,11,1,4.1,15,0,143,0,0,4,91,12.5,13,22,184,2,16,81.4,69.5,75.8,66.1,,54.3,66.8,61.1,18,2,0,0,1,250,225,31,0,54,4,368,236,2.78,4.3,0.0,20
Chase Bingmon,189280,HB,PRVIEW A&M,7,84,15,11,51.1,250,0,489,1,5,15,276,65.1,17,22,270,1,29,71.8,63.7,83.5,,70.0,57.0,65.5,54.0,35,1,127,17,113,120,0,0,21,101,3,489,276,3.29,5.8,1.12,54
Justin Lamson,144052,QB,MONTANA ST,9,84,20,3,11.9,58,0,197,0,0,7,136,38.9,17,23,233,5,26,48.4,85.8,86.9,83.5,,74.4,70.6,60.1,31,1,12,1,3,263,291,35,1,50,6,488,328,3.9,5.8,4.0,15
Liam O'Brien,164675,QB,PENN,7,83,9,5,23.4,104,0,332,0,0,8,138,23.9,15,28,267,3,36,74.9,75.6,86.1,67.7,,60.0,76.2,60.0,25,1,0,0,1,208,113,15,0,68,5,445,191,2.3,5.4,0.0,13
Luke Hansen,177629,HB,DAYTON,8,83,25,9,56.9,285,0,501,0,1,25,393,132.4,12,26,150,0,42,85.9,77.7,84.2,,74.7,69.7,79.8,42.9,54,1,53,10,63,123,0,0,10,93,7,501,393,4.73,6.0,0.84,40
Jack Snyder,185417,QB,SACR HEART,8,83,13,4,24.2,114,0,173,0,0,2,64,8.9,15,25,280,2,18,60.2,71.1,64.0,75.2,,54.3,58.4,60.0,44,2,0,0,1,277,298,45,0,38,5,471,179,2.16,5.7,0.0,10
Trey Clark,189306,HB,STETSON,9,82,27,2,14.9,48,0,323,0,0,27,282,105.5,10,17,302,0,43,85.8,75.3,82.3,,75.2,64.7,74.3,64.7,29,0,29,6,56,102,0,0,8,88,4,323,282,3.44,3.9,0.52,39
