player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kewan Lacy,190221,HB,OLE MISS,9,190,65,13,38.8,335,0,863,3,6,65,632,111.9,22,60,226,1,85,90.9,80.7,87.2,,75.8,53.5,84.3,58.0,54,0,121,21,186,278,0,0,25,211,13,863,632,3.33,4.5,0.65,104
Cam Cook,173133,HB,JVILLE ST,8,180,67,15,40.3,425,0,1054,1,7,67,747,154.3,34,57,196,2,35,74.7,87.6,86.4,,79.3,64.7,89.6,60.5,73,0,193,19,170,294,0,0,26,199,11,1054,747,4.15,5.9,1.14,144
Anthony Hankerson,157691,HB,OREGON ST,9,178,47,11,34.3,276,0,804,2,4,47,543,82.8,21,49,265,1,65,83.2,72.4,86.5,,81.0,43.5,76.0,54.7,65,1,45,10,182,218,0,0,19,188,7,804,543,3.05,4.5,0.25,113
Emmett Johnson,156473,HB,NEBRASKA,9,175,53,10,25.6,257,0,1002,1,11,53,535,94.1,28,56,238,1,61,83.0,82.8,52.0,,47.0,63.5,86.9,79.8,50,1,197,33,232,194,0,0,39,208,10,1002,535,3.06,5.7,0.85,111
Cale Hellums,170981,QB,ARMY,8,173,25,3,12.3,87,0,562,0,0,20,301,27.1,15,60,114,4,60,71.4,76.7,84.4,67.6,,55.9,71.9,60.0,50,0,0,0,1,271,147,24,0,149,11,709,344,1.99,4.1,0.0,50
Jordan Gant,159654,HB,AKRON,10,168,28,13,31.5,267,0,847,0,1,28,563,55.5,26,42,102,1,18,81.8,75.3,85.2,,40.3,53.6,79.5,52.7,36,0,34,7,146,203,0,0,13,175,5,847,563,3.35,5.0,0.23,150
Al-Jay Henderson,145676,HB,BUFFALO,9,161,30,6,24.6,162,2,659,3,6,30,446,53.6,12,41,126,3,35,72.1,65.6,48.1,,42.9,59.1,68.3,56.0,41,2,181,25,169,200,0,0,30,186,5,659,446,2.77,4.1,1.07,126
Kentrel Bullock,124129,HB,S ALABAMA,9,160,39,2,6.0,44,0,729,1,2,39,479,72.2,16,43,288,1,104,81.2,84.8,83.3,,64.7,55.4,84.3,77.4,24,0,66,10,93,194,0,0,15,170,8,729,479,2.99,4.6,0.71,53
Ahmad Hardy,190013,HB,MISSOURI,8,160,61,15,42.2,396,0,938,0,3,61,722,175.0,25,51,229,2,61,70.7,89.8,86.9,,73.9,56.0,89.5,53.3,71,0,17,5,87,182,0,0,5,165,11,938,722,4.51,5.9,0.2,99
Antwan Raymond,190489,HB,RUTGERS,9,159,44,9,29.6,224,0,757,1,6,44,580,104.8,20,52,278,2,42,71.2,80.8,84.8,,83.3,66.9,79.8,60.2,51,0,163,15,145,180,0,0,19,174,10,757,580,3.65,4.8,1.12,117
Sieh Bangura,145886,HB,OHIO,9,157,45,13,37.3,310,0,831,1,1,45,592,103.9,24,49,259,0,104,90.3,79.5,48.8,,40.6,55.4,84.5,55.2,49,1,75,10,153,203,0,0,14,167,10,831,592,3.77,5.3,0.49,53
Lucky Sutton,158807,HB,S DIEGO ST,8,154,32,5,17.7,145,0,820,3,1,32,512,70.3,19,46,284,0,63,90.3,82.6,36.8,,78.3,32.7,86.4,57.6,50,1,5,2,95,197,0,0,5,156,8,820,512,3.32,5.3,0.05,91
Liam Szarka,197814,QB,AIR FORCE,8,152,22,6,28.1,242,0,807,0,0,21,321,31.6,18,48,101,5,90,64.2,82.4,85.9,74.6,,57.8,75.1,60.0,64,1,0,0,1,332,53,6,0,146,11,860,333,2.19,5.7,0.0,24
Dominic Richardson,122985,HB,TULSA,8,149,38,7,28.7,194,0,675,1,1,38,500,79.8,15,33,320,1,42,80.3,71.0,85.5,,18.9,54.4,76.5,65.2,57,0,89,15,154,193,0,0,22,164,3,675,500,3.36,4.5,0.58,107
J'Mari Taylor,150482,HB,VIRGINIA,9,149,38,7,30.0,205,0,683,2,10,38,536,98.1,14,45,335,0,34,90.2,76.1,86.7,,57.9,59.7,78.8,69.2,66,0,130,27,187,171,0,0,34,176,11,683,536,3.6,4.6,0.7,113
Dean Connors,156624,HB,HOUSTON,9,148,24,6,26.6,175,0,641,0,5,23,412,46.7,16,23,182,1,37,80.4,73.5,85.4,,35.4,77.9,74.3,52.2,54,0,157,21,128,226,18,1,22,168,4,659,431,2.91,4.5,1.23,109
Kendrick Raphael,170378,HB,CAL,9,147,34,6,22.1,134,0,605,3,5,34,466,75.4,15,39,130,3,46,60.3,74.6,85.8,,47.6,51.4,81.3,39.7,33,0,129,17,184,169,0,0,24,164,10,605,466,3.17,4.1,0.7,100
Blake Horvath,162555,QB,NAVY,8,145,23,14,41.1,383,0,793,0,0,16,396,36.9,31,51,237,9,90,52.5,90.3,60.7,80.4,62.2,50.4,82.8,60.0,59,3,0,0,2,331,138,14,0,131,13,931,487,3.36,6.4,0.0,17
Cam Edwards,158615,HB,UCONN,9,143,27,10,43.7,350,0,801,1,2,27,474,63.2,16,39,146,0,31,90.1,72.8,86.5,,56.0,51.7,76.5,54.1,73,0,91,9,162,174,0,0,11,152,9,801,474,3.31,5.6,0.56,112
Jeremiyah Love,171090,HB,NOTRE DAME,8,141,34,13,45.0,402,0,894,1,5,34,504,85.0,25,44,258,1,59,79.7,90.4,84.7,,69.0,72.0,90.5,75.9,94,1,227,23,126,160,0,0,29,164,11,894,504,3.57,6.3,1.8,81
Jeremiah Cobb,172443,HB,AUBURN,9,137,24,10,36.4,287,0,789,0,1,24,444,57.5,16,40,115,0,61,89.9,76.8,85.6,,29.7,50.4,84.1,47.2,46,0,30,4,153,193,0,0,9,141,4,789,444,3.24,5.8,0.2,76
Raleek Brown,158458,HB,ARIZONA ST,9,137,42,12,42.2,325,0,770,4,9,42,401,90.5,24,36,110,1,79,80.8,77.9,87.6,,60.3,56.1,85.3,58.7,75,0,167,28,223,194,0,0,39,165,3,770,401,2.93,5.6,0.75,58
Rashod Dubinion,157020,HB,APP STATE,8,137,36,9,27.0,202,0,747,2,8,36,495,103.9,19,38,108,4,73,57.5,79.0,85.6,,59.1,52.8,83.9,65.0,39,0,103,16,178,152,0,0,23,153,4,747,495,3.61,5.5,0.58,61
Kejon Owens,123640,HB,FIU,8,135,35,15,53.6,475,0,886,1,0,35,585,101.8,22,38,166,1,58,78.8,82.0,34.0,,53.9,63.4,84.1,56.0,84,1,39,14,118,151,0,0,17,149,7,886,585,4.33,6.6,0.33,77
LJ Martin,175035,HB,BYU,8,133,37,10,38.8,306,0,783,0,1,37,556,110.3,23,48,128,0,21,89.8,78.3,85.6,,46.6,66.7,80.9,53.3,49,1,82,11,108,220,0,0,14,144,5,788,556,4.18,5.9,0.76,110
Cameron Dickey,184897,HB,TEXAS TECH,9,134,31,13,44.7,340,0,761,3,2,31,471,78.9,20,49,315,3,60,56.4,71.2,84.5,,42.9,45.8,77.5,49.4,71,0,130,13,132,173,0,0,17,147,10,761,471,3.51,5.7,0.98,72
Jadan Baugh,184417,HB,FLORIDA,8,132,43,10,27.2,186,0,683,0,10,43,465,121.2,22,40,163,0,41,89.9,78.3,85.9,,72.7,66.9,79.4,70.2,26,0,132,22,182,149,0,0,24,154,5,683,465,3.52,5.2,0.73,91
Jay Ducker,130550,HB,TEMPLE,9,130,21,12,47.7,326,0,683,0,1,21,384,44.8,16,38,306,0,23,89.5,82.0,84.4,,62.3,61.7,83.5,59.6,55,0,61,15,107,177,0,0,20,145,6,683,384,2.95,5.3,0.57,106
Lincoln Pare,121537,HB,TEXAS ST,8,130,22,9,42.0,272,1,648,0,3,22,479,61.8,13,42,314,1,54,89.5,76.6,41.3,,53.3,62.4,80.0,55.4,62,1,144,19,139,176,0,0,19,149,9,648,479,3.68,5.0,1.04,73
Haynes King,124329,QB,GA TECH,8,130,18,13,39.2,311,0,742,0,0,16,319,33.7,25,54,176,6,92,58.7,90.2,86.9,86.7,,53.6,76.6,60.0,45,0,0,0,0,292,51,7,0,123,14,793,360,2.77,6.1,,17
Bryson Washington,174649,HB,BAYLOR,9,129,23,10,34.0,212,0,624,1,4,23,417,59.8,16,39,118,3,52,54.9,67.9,84.8,,34.2,57.0,71.3,58.2,41,0,93,17,160,136,0,0,24,146,6,624,417,3.23,4.8,0.58,74
Dontae McMillan,103994,HB,E MICHIGAN,9,127,35,10,30.5,221,0,725,3,10,35,467,109.6,22,31,160,1,19,78.4,73.3,84.7,,79.4,58.8,76.3,56.4,40,0,206,24,167,196,0,0,28,151,2,725,467,3.68,5.7,1.23,106
Mike Washington Jr.,145672,HB,ARKANSAS,9,127,23,14,51.8,429,0,828,1,1,23,482,63.7,23,39,111,2,69,66.3,77.4,86.5,,33.6,59.7,83.0,59.6,57,0,151,16,163,182,0,0,22,143,6,828,482,3.8,6.5,0.93,53
Jonah Coleman,158717,HB,WASHINGTON,8,127,29,9,31.9,205,0,643,0,7,29,453,83.4,16,47,340,1,36,89.3,84.4,85.9,,63.7,79.2,84.6,63.7,38,0,316,27,161,153,0,0,29,154,13,643,453,3.57,5.1,1.96,86
Roman Hemby,144891,HB,INDIANA,9,125,27,8,24.7,148,0,599,0,9,27,409,86.6,15,35,190,1,55,77.8,79.0,83.8,,46.7,73.0,79.3,58.7,30,0,144,11,115,153,0,0,12,136,5,599,409,3.27,4.8,1.25,63
Mark Fletcher Jr.,175374,HB,MIAMI FL,8,125,36,8,24.3,155,0,637,2,5,36,427,103.0,19,42,220,0,70,89.2,83.2,37.1,,52.0,53.6,88.9,56.4,38,1,85,11,131,147,0,0,13,136,9,637,427,3.42,5.1,0.65,54
Quinton Jackson,163001,HB,RICE,9,125,27,9,40.7,277,0,679,0,2,27,392,71.6,16,36,275,0,77,89.3,72.1,84.4,60.0,48.4,61.1,74.7,46.0,73,0,74,4,43,201,2,1,5,128,6,681,398,3.18,5.4,1.72,47
Devin Mockobee,145111,HB,PURDUE,8,125,26,6,22.1,115,0,521,1,5,26,407,70.6,14,32,273,2,69,66.1,73.0,84.5,35.4,56.6,63.9,75.7,64.6,32,0,215,18,135,148,0,0,19,143,4,521,407,3.26,4.2,1.59,55
Caleb Komolafe,176513,HB,NWESTERN,8,124,21,5,25.3,154,0,608,1,0,21,386,51.5,12,37,256,1,49,77.0,77.6,84.0,,66.6,45.8,79.0,59.4,56,0,9,3,73,136,0,0,7,127,7,608,386,3.11,4.9,0.12,75
Jordan Marshall,190837,HB,MICHIGAN,9,124,29,6,30.5,222,0,729,0,4,29,472,95.9,15,36,222,0,53,89.2,83.8,83.7,,48.2,67.4,83.1,57.1,56,0,74,7,70,142,0,0,8,131,8,729,472,3.81,5.9,1.06,66
Robert Henry Jr.,174094,HB,UTSA,8,122,27,15,64.2,617,0,961,1,2,27,614,107.3,21,29,331,2,54,65.4,77.5,39.0,,34.5,63.4,80.5,75.4,76,2,107,14,154,140,0,0,20,136,9,961,614,5.03,7.9,0.69,64
Chavon Wright,205258,HB,N ILLINOIS,8,121,35,3,16.1,80,0,496,0,4,35,426,107.3,12,33,254,1,43,76.5,81.7,84.4,60.0,81.6,56.3,81.5,61.5,45,0,12,7,78,152,0,0,8,128,2,496,426,3.52,4.1,0.15,78
Caleb Hawkins,199001,HB,N TEXAS,8,121,47,12,36.3,270,0,744,1,12,47,566,190.3,23,44,251,0,35,89.0,90.6,83.7,,43.0,77.7,91.3,58.9,37,0,273,24,133,144,0,0,27,145,11,744,566,4.68,6.1,2.05,83
Justice Haynes,172379,HB,MICHIGAN,7,121,24,11,50.5,433,0,857,1,8,24,456,90.0,18,41,222,1,49,77.1,79.9,84.2,,52.3,57.8,82.3,56.6,75,0,50,13,101,142,0,0,16,134,10,857,456,3.77,7.1,0.5,69
Hollywood Smothers,173719,HB,NC STATE,8,120,36,13,56.2,464,0,825,0,15,36,528,151.6,22,25,248,0,46,88.9,80.2,84.5,60.4,43.6,75.6,81.3,63.2,65,0,170,28,141,152,0,0,31,148,6,825,528,4.4,6.9,1.21,67
Kaytron Allen,164158,HB,PENN STATE,8,119,35,9,33.4,230,0,688,1,4,35,459,114.8,17,38,266,0,67,88.7,80.6,85.1,,67.2,56.7,83.2,57.2,67,0,43,12,105,136,0,0,17,131,10,688,459,3.86,5.8,0.41,50
Broc Lowry,173383,QB,W MICHIGAN,9,119,23,8,25.5,173,0,531,0,0,15,319,45.1,19,44,347,5,71,77.6,87.0,74.9,71.2,,55.7,87.8,60.2,37,1,0,0,3,283,147,16,0,103,8,678,400,3.36,5.7,0.0,17
TJ Harden,162457,HB,SMU,9,116,24,3,20.6,99,0,480,1,4,24,299,55.9,8,35,287,1,42,76.2,71.4,83.5,,65.7,61.6,72.2,62.7,40,0,76,13,132,134,0,0,14,129,6,480,299,2.58,4.1,0.58,73
Kiael Kelly,145634,QB,BALL ST,8,116,41,5,20.0,115,0,294,0,1,16,230,58.9,18,31,117,7,65,36.4,67.7,61.8,58.5,,92.3,70.4,60.0,40,3,19,1,2,231,280,35,1,82,5,574,439,3.78,4.9,9.5,11
Seth McGowan,122936,HB,KENTUCKY,7,115,26,6,20.0,107,1,534,3,0,26,326,58.0,11,27,202,2,65,63.0,70.3,29.3,,57.1,48.9,76.7,31.2,20,1,90,12,118,121,0,0,17,127,7,534,326,2.83,4.6,0.76,47
Yasin Willis,183381,HB,SYRACUSE,8,115,17,5,28.5,141,0,494,3,0,17,351,42.2,10,35,304,0,42,88.7,68.0,0.0,,43.5,46.9,74.2,54.9,41,2,41,8,102,132,0,0,15,123,4,494,351,3.05,4.3,0.4,70
Tae Meadows,156865,HB,TROY,8,114,14,7,31.6,174,0,550,2,1,14,339,36.9,14,23,318,1,48,75.4,73.3,84.1,,85.2,46.7,76.3,59.4,47,0,40,7,131,147,0,0,12,121,4,550,339,2.97,4.8,0.31,65
Myles Montgomery,144232,HB,UCF,8,113,23,9,46.2,264,0,572,1,3,23,387,70.1,15,29,323,1,40,88.5,76.0,85.2,,31.6,60.2,80.5,63.0,45,0,151,14,152,163,0,0,19,127,3,572,387,3.42,5.1,0.99,72
Carson Hansen,174669,HB,IOWA STATE,8,113,16,7,31.5,193,0,613,1,5,16,378,54.9,15,35,193,1,61,75.9,73.1,34.4,,85.5,60.2,75.5,56.7,65,1,102,15,143,143,0,0,20,128,4,613,378,3.35,5.4,0.71,52
Davon Booth,174754,HB,MISS STATE,9,112,18,7,25.7,122,1,475,4,3,18,318,48.5,16,32,227,0,47,88.7,76.5,84.0,,34.7,51.1,82.3,58.8,22,1,143,11,126,145,0,0,15,123,7,475,318,2.84,4.2,1.13,62
Shomari Lawrence,141839,HB,MO STATE,8,112,28,8,43.7,241,0,552,2,0,28,423,86.0,15,24,230,2,56,62.6,71.1,85.3,,55.4,51.6,75.5,50.2,50,0,66,11,123,142,0,0,15,123,4,552,423,3.78,4.9,0.54,54
Kyron Drones,144506,QB,VA TECH,9,111,17,9,34.7,218,0,490,0,0,14,258,50.0,18,38,337,4,41,64.0,76.4,87.6,69.2,,,74.3,60.0,33,1,0,0,0,287,139,26,0,85,8,629,314,2.83,5.7,,32
Makhi Frazier,190321,HB,MICH STATE,8,109,19,7,32.5,164,0,504,0,2,19,309,48.8,18,22,223,0,34,88.2,74.0,27.7,,29.3,61.0,77.4,58.1,49,1,25,13,98,122,0,0,16,122,2,504,309,2.83,4.6,0.26,74
Byrum Brown,156206,QB,USF,8,108,36,6,21.0,141,0,461,0,0,20,283,86.3,23,39,327,5,34,62.0,87.9,86.9,81.4,,51.3,78.1,60.1,44,1,0,0,2,248,209,27,0,81,8,670,453,4.19,6.2,0.0,26
Demond Claiborne,157523,HB,WAKE,8,106,23,11,57.1,366,0,641,3,4,23,365,74.4,15,22,339,3,61,53.8,71.9,34.9,,25.5,49.3,80.6,55.1,85,1,90,19,136,135,0,0,26,125,8,641,365,3.44,6.0,0.66,44
Joe Jackson,173106,HB,KANSAS ST,9,105,11,3,13.9,56,0,402,1,0,11,261,22.4,11,21,199,1,48,74.7,59.9,85.1,,25.4,56.5,63.7,53.8,21,0,89,17,173,169,0,0,20,122,1,402,261,2.49,3.8,0.51,56
Chase Jenkins,173242,QB,RICE,9,105,22,6,31.6,136,0,347,0,0,16,182,34.4,13,22,275,7,52,41.9,69.9,86.7,69.0,,60.0,63.1,60.0,34,0,0,0,2,370,83,13,0,92,4,430,216,2.06,4.1,0.0,34
Wayne Knight,156712,HB,JAMES MAD,8,105,20,9,42.0,275,1,654,0,5,20,309,56.6,15,29,197,0,39,90.4,80.5,32.1,,50.7,83.5,78.9,52.6,59,1,228,25,109,146,0,0,32,130,5,654,309,2.94,6.2,2.09,66
Carlos Del Rio-Wilson,146687,QB,MARSHALL,7,104,34,4,16.0,73,0,375,0,0,25,234,78.2,15,26,214,4,37,69.2,72.2,85.5,68.0,,51.6,68.2,60.0,24,1,-6,1,1,237,81,18,1,87,4,456,327,3.14,4.4,-6.0,28
Jordan Brunson,123342,HB,MIAMI OH,7,104,16,4,26.8,120,0,447,0,0,16,320,46.9,10,25,221,0,4,87.7,74.8,80.1,,60.7,56.4,73.0,67.3,46,0,5,1,21,132,0,0,1,105,2,447,320,3.08,4.3,0.24,100
Bill Davis,176332,HB,LA LAFAYET,9,104,19,4,28.5,135,0,473,1,0,19,319,54.0,15,26,207,0,27,87.6,73.7,83.2,,67.1,48.5,77.0,52.9,45,0,31,4,71,137,0,0,6,108,3,473,319,3.07,4.5,0.44,77
Turbo Richard,190199,HB,BOSTON COL,8,104,18,3,25.4,116,0,456,2,10,18,356,75.5,8,33,121,2,72,62.3,68.9,39.5,,43.3,55.2,75.2,53.4,71,1,183,23,181,116,0,0,28,127,5,456,356,3.42,4.4,1.01,31
Bryson Donelson,191080,HB,FRESNO ST,9,103,14,5,31.5,149,0,473,2,3,14,327,45.4,10,21,169,1,73,74.5,73.7,83.7,,67.1,55.6,76.1,66.0,57,0,107,16,107,110,0,0,20,119,4,473,327,3.17,4.6,1.0,30
Chip Trayanum,131631,HB,TOLEDO,6,103,13,11,49.8,299,0,601,1,1,13,348,43.0,21,32,316,1,49,60.5,74.8,82.7,,70.4,54.1,76.6,57.5,75,0,61,7,93,124,0,0,12,110,7,601,348,3.38,5.8,0.66,54
DeSean Bishop,174717,HB,TENNESSEE,9,103,19,14,54.2,374,0,690,3,2,19,388,71.9,16,38,307,0,50,87.5,81.4,83.1,,65.7,41.8,86.9,58.0,50,0,95,7,105,114,0,0,10,110,9,690,388,3.77,6.7,0.9,53
Angel Flores,164493,QB,C MICHIGAN,8,102,15,5,22.8,119,0,490,0,0,13,243,32.9,13,36,134,3,67,64.8,78.9,54.2,58.0,,,76.2,60.0,37,2,0,0,0,136,33,4,0,98,8,523,267,2.62,5.1,,29
Abu Sama III,174686,HB,IOWA STATE,9,102,36,10,45.6,257,0,564,2,0,36,374,123.4,16,27,193,1,50,73.8,74.9,83.2,,45.1,41.1,79.8,64.7,44,0,19,5,82,129,0,0,8,107,4,564,374,3.67,5.5,0.23,50
Dylan Riley,190996,HB,BOISE ST,9,102,23,11,58.8,435,0,740,1,4,23,530,125.3,16,21,120,0,61,87.5,80.9,83.9,,58.0,58.8,82.7,59.0,77,0,126,10,76,109,0,0,14,112,7,740,530,5.2,7.3,1.66,40
Adam Randall,156252,HB,CLEMSON,8,101,17,6,28.2,146,0,517,3,4,17,321,53.0,16,31,140,2,62,63.1,69.2,84.7,,31.1,54.5,78.4,49.3,39,0,188,25,198,149,0,0,32,126,6,517,321,3.18,5.1,0.95,38
Kenyon Clay,156837,HB,ARK STATE,9,100,13,3,18.9,72,0,381,0,2,13,293,34.1,9,25,113,2,15,61.6,67.7,84.4,60.0,68.1,65.9,68.1,62.1,30,0,151,29,173,148,0,0,31,129,2,381,293,2.93,3.8,0.87,84
Sire Gaines,184229,HB,BOISE ST,9,100,24,5,26.1,125,0,479,1,2,24,347,82.8,12,35,120,2,65,60.5,80.1,85.0,,63.7,55.8,82.7,59.0,46,0,55,9,85,126,0,0,11,109,5,479,347,3.47,4.8,0.65,34
Evan Dickens,170066,HB,LIBERTY,7,100,18,7,38.2,232,0,608,0,0,18,346,60.5,16,28,206,1,52,72.8,87.6,84.1,,58.0,64.0,88.2,55.2,72,0,42,3,62,144,0,0,3,103,8,608,346,3.46,6.1,0.68,48
Trinidad Chambliss,178723,QB,OLE MISS,9,99,14,5,22.6,103,0,326,0,0,11,224,34.1,16,26,226,3,53,62.1,76.6,87.1,72.9,,54.9,70.2,60.2,41,1,0,0,2,271,129,14,0,85,6,455,289,2.92,4.6,0.0,11
Micah Ford,188865,HB,STANFORD,7,99,27,4,32.7,139,0,425,1,6,27,392,122.1,10,28,300,0,47,73.4,78.2,83.0,54.8,58.1,58.1,79.4,60.0,75,0,77,8,58,103,0,0,11,107,3,425,392,3.96,4.3,1.33,49
Qua Ashley,160363,HB,BALL ST,8,98,20,6,49.4,248,0,502,2,4,20,387,82.4,10,16,117,0,35,87.4,64.7,86.0,,41.6,60.0,68.2,51.4,72,0,87,17,89,160,0,0,22,115,4,502,387,3.95,5.1,0.98,63
Marcellous Hawkins,200025,HB,VA TECH,9,98,37,9,35.9,207,0,576,2,3,37,435,164.4,18,28,337,0,24,87.2,79.9,37.1,,77.9,58.7,84.0,53.5,34,1,72,10,106,154,0,0,13,108,1,576,435,4.44,5.9,0.68,73
Jekail Middlebrook,170487,HB,MIDDLE TN,8,97,27,7,40.1,209,0,519,1,6,27,426,112.3,15,30,224,1,35,79.2,77.3,48.5,,49.4,69.4,82.0,88.7,72,2,305,32,261,119,0,0,48,129,4,521,426,4.39,5.4,1.17,59
Jalen Buckley,163158,HB,W MICHIGAN,8,97,16,2,12.3,41,0,334,3,1,16,275,45.0,4,23,347,2,64,72.6,67.3,84.0,,45.8,55.6,70.6,53.2,26,0,78,10,76,159,0,0,13,107,2,334,275,2.84,3.4,1.03,33
Kaden Feagin,174024,HB,ILLINOIS,9,97,11,3,15.7,62,0,394,0,3,11,262,35.7,6,28,187,1,40,86.9,78.8,84.3,,46.1,70.8,81.2,61.6,26,0,132,11,95,112,2,1,11,107,5,396,263,2.71,4.1,1.39,55
Jevon Jackson,149110,HB,UAB,8,97,15,7,39.8,199,0,500,0,1,15,323,48.0,13,27,321,0,32,87.2,77.0,83.6,,31.0,68.9,78.2,69.8,48,0,107,14,94,118,0,0,17,111,3,500,323,3.33,5.2,1.14,64
Tawee Walker,158097,HB,CINCINNATI,9,96,26,7,27.1,146,0,538,0,3,26,329,94.7,18,30,138,0,21,87.1,85.0,84.0,,81.8,58.3,87.2,61.7,41,0,44,9,88,132,0,0,11,105,4,538,329,3.43,5.6,0.5,75
Brendon Lewis,131687,QB,MEMPHIS,9,96,30,9,25.3,170,0,376,0,0,11,171,55.0,26,45,218,6,10,44.5,86.3,87.2,75.0,,85.0,82.8,60.0,26,1,14,1,2,268,296,38,1,59,8,672,364,3.79,7.0,7.0,27
Kaelon Black,138448,HB,INDIANA,9,96,14,10,46.5,285,0,613,0,1,14,362,58.3,15,26,190,2,48,56.8,74.3,82.1,,44.2,52.3,75.8,61.5,40,1,10,1,67,118,0,0,2,97,4,613,362,3.77,6.4,0.15,47
Zylan Perry,156734,HB,LA LAFAYET,8,96,29,10,53.0,288,0,543,0,1,29,290,86.3,15,22,207,1,25,72.7,72.7,84.3,,40.0,55.9,76.5,60.1,84,0,50,9,108,130,0,0,10,105,7,543,290,3.02,5.7,0.46,71
Cole Tabb,188876,HB,STANFORD,8,96,15,5,25.1,93,0,370,0,1,15,264,44.9,9,20,300,0,61,87.5,73.9,82.3,,26.5,55.3,75.5,59.5,28,0,18,2,62,105,0,0,3,98,2,370,264,2.75,3.9,0.29,35
Jeffery Pittman,172552,HB,SO MISS,6,95,24,5,22.9,96,0,419,0,4,24,313,86.2,9,30,296,0,33,87.1,75.8,22.6,46.8,75.2,64.9,77.2,56.7,25,1,66,12,78,122,0,0,12,107,6,419,313,3.29,4.4,0.85,60
Jai'Den Thomas,174080,HB,UNLV,8,95,33,8,47.1,307,0,652,2,11,33,490,183.0,14,28,325,0,62,87.0,84.4,83.9,,55.4,75.2,86.1,68.9,70,0,169,29,115,118,0,0,36,124,7,652,490,5.16,6.9,1.47,31
Fluff Bothwell,190075,HB,MISS STATE,7,95,16,6,23.1,113,0,490,1,3,16,320,62.1,13,33,227,0,59,87.1,76.9,24.5,,50.4,69.5,76.6,73.4,25,1,76,8,90,122,0,0,11,103,6,490,320,3.37,5.2,0.84,36
Landon Sims,146065,HB,HAWAII,9,94,18,4,21.3,93,0,437,2,9,18,328,76.0,11,21,180,2,20,60.6,74.4,85.0,,68.3,73.2,73.8,66.9,43,0,231,30,140,123,0,0,34,124,3,437,328,3.49,4.6,1.65,61
Jamal Haynes,143918,HB,GA TECH,9,94,12,5,33.9,151,0,446,2,6,12,289,48.1,10,20,176,1,54,73.5,67.0,85.5,,21.3,56.9,72.1,53.5,47,0,186,21,121,200,0,0,26,115,3,446,289,3.07,4.7,1.54,36
Tory Blaylock,199034,HB,OKLAHOMA,9,94,7,5,24.2,97,0,401,2,1,7,236,19.7,14,23,261,0,40,86.8,71.4,83.6,,59.6,44.5,76.9,68.7,25,0,41,8,113,129,0,0,11,102,4,401,236,2.51,4.3,0.36,51
Diego Pavia,156927,QB,VANDERBILT,9,94,11,3,11.9,67,1,233,0,0,4,107,11.9,21,35,333,3,41,59.9,88.1,38.6,85.7,,,73.6,60.0,36,5,0,0,0,201,329,34,0,60,6,562,277,2.95,6.0,,3
Telly Johnson Jr.,188420,HB,N ILLINOIS,8,93,28,6,50.4,291,0,577,2,5,28,434,146.7,11,20,254,2,36,57.7,71.5,83.2,,38.5,53.7,75.0,58.3,80,0,70,12,86,123,0,0,18,105,3,577,434,4.67,6.2,0.81,54
Jaylen Raynor,172203,QB,ARK STATE,9,93,29,4,21.7,105,0,284,0,0,21,187,95.9,16,29,113,5,19,55.8,71.5,78.7,63.2,,60.0,78.3,60.1,42,1,0,0,1,254,199,29,0,64,7,483,310,3.33,5.2,0.0,32
Gavin Sawchuk,158088,HB,FLORIDA ST,8,93,18,3,20.4,88,0,431,1,1,18,249,49.9,9,35,167,1,20,72.0,76.9,33.9,,61.0,56.5,81.0,66.0,40,1,102,9,100,131,0,0,10,102,8,431,249,2.68,4.6,1.02,68
Brad Jackson,184354,QB,TEXAS ST,8,93,29,4,22.3,117,0,295,0,0,17,149,72.8,15,33,314,6,24,50.8,74.7,87.3,69.2,,60.0,71.0,60.1,63,0,0,0,0,292,230,34,0,59,9,525,217,2.33,5.6,,19
Colton Joseph,172283,QB,DOMINION,9,93,17,12,58.4,407,0,559,0,0,12,245,55.2,19,30,263,8,37,43.4,83.4,74.9,76.7,,,77.6,60.0,78,1,0,0,0,269,138,20,0,73,9,697,321,3.45,7.5,,28
Parker Navarro,123758,QB,OHIO,9,92,37,8,32.6,195,0,300,0,0,17,214,112.0,24,29,259,9,22,32.4,71.3,56.0,66.0,,,71.9,60.0,44,6,0,0,0,285,298,35,0,57,4,598,465,5.05,6.5,,15
J'Koby Williams,191359,HB,TEXAS TECH,9,92,28,9,39.4,207,0,525,1,16,28,336,142.2,16,31,315,0,39,86.9,88.2,83.0,,29.2,91.3,84.4,66.7,41,1,300,21,102,106,0,0,24,113,5,525,336,3.65,5.7,2.94,52
