player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
DJ Lagway,184426,QB,FLORIDA,8,73.0,230,245,8.1,2.68,2,9,3.5,65.3,160,0,84,4.8,277,8,75,163,49.4,62.3,58.7,67.8,5,9,292,0,20.2,83.4,6.1,17,15,0,8,10,16,5.5,1680,6.9
Parker Navarro,123758,QB,OHIO,9,73.2,220,243,10.4,3.1,4,12,4.6,64.2,156,0,104,3.1,292,5,110,259,32.4,71.3,66.0,71.9,1,8,311,6,13.5,92.5,4.8,14,35,1,17,12,11,3.5,1994,8.2
Jalon Daniels,122555,QB,KANSAS,9,76.8,228,241,9.4,2.87,4,13,5.2,66.4,160,0,97,8.6,279,15,106,198,26.5,79.8,74.3,74.2,2,3,292,0,17.5,114.3,6.1,17,21,0,7,20,9,3.1,1991,8.3
Carson Beck,124010,QB,MIAMI FL,8,80.4,230,241,7.6,2.38,5,9,3.6,72.2,174,0,35,5.9,258,11,92,220,77.3,75.9,77.6,52.7,2,9,270,2,8.6,99.7,1.2,3,13,0,4,14,7,2.6,1947,8.1
Diego Pavia,156927,QB,VANDERBILT,9,79.2,226,240,9.4,2.83,2,16,6.2,69.2,166,1,103,7.3,289,13,123,333,59.9,88.1,85.7,73.6,2,5,308,5,11.7,111.9,4.2,12,34,0,10,18,8,2.6,2063,8.6
Cade Klubnik,156253,QB,CLEMSON,7,77.0,222,239,8.6,2.74,5,10,4.0,66.9,160,0,92,6.4,260,11,90,140,64.5,80.4,80.1,62.6,3,5,273,0,8.7,100.7,3.1,8,13,1,8,13,5,1.8,1918,8.0
Sam Leavitt,175465,QB,ARIZONA ST,7,68.3,227,239,9.1,2.94,5,18,6.9,60.3,144,0,87,7.1,287,11,89,110,65.6,76.4,67.4,83.2,1,3,310,2,23.0,89.4,7.0,20,28,1,5,10,12,3.9,1628,6.8
Jayden Maiava,158135,QB,USC,8,73.2,224,239,9.2,2.91,4,18,7.1,64.4,154,0,72,6.1,251,10,102,326,69.4,85.0,81.2,72.8,0,5,269,3,6.9,108.3,2.0,5,6,0,11,15,9,3.3,2310,9.7
Nico Iamaleava,174728,QB,UCLA,8,73.5,219,238,8.7,2.79,7,7,2.8,63.0,150,0,113,6.8,292,11,95,324,57.0,76.0,66.7,81.1,5,7,308,0,17.7,82.3,6.8,20,34,2,5,10,7,2.3,1481,6.2
Jalen Kitna,146688,QB,UAB,7,76.9,229,238,7.2,2.68,2,5,2.0,68.5,163,0,72,7.4,254,13,85,321,56.8,70.1,68.8,58.5,1,5,267,2,18.1,95.7,5.1,13,3,0,6,10,10,3.7,1785,7.5
JC French IV,162521,QB,GA SOUTHRN,8,70.3,222,237,8.6,2.47,3,8,3.2,60.3,143,0,77,8.3,291,13,94,174,64.0,67.0,62.5,69.7,1,6,303,1,26.0,90.9,6.9,20,32,4,7,14,9,3.0,1672,7.1
Brendan Sorsby,156398,QB,CINCINNATI,9,68.5,219,237,11.1,2.78,5,16,6.3,59.9,142,0,76,5.3,265,8,105,138,59.7,90.0,88.7,70.1,1,2,283,0,2.6,112.6,0.8,2,25,1,11,20,3,1.1,2047,8.6
Jack Layne,158966,QB,NEW MEXICO,9,77.1,218,236,8.4,2.61,4,14,5.3,68.6,162,0,89,3.6,275,6,95,241,50.7,79.1,80.3,61.7,2,9,305,2,18.0,94.6,5.8,16,22,0,12,12,8,2.6,1940,8.2
Anthony Colandrea,170131,QB,UNLV,8,77.6,223,236,9.0,2.69,2,15,6.0,69.1,163,0,96,5.8,284,10,102,325,49.3,85.5,79.0,79.1,2,4,301,1,18.8,109.1,6.3,18,27,1,8,15,6,2.0,2000,8.5
Braylon Braxton,144442,QB,SO MISS,8,74.4,219,234,10.1,2.84,7,20,7.9,67.5,158,1,75,3.1,275,5,89,296,65.5,74.5,73.9,63.4,0,4,295,4,14.7,111.6,4.0,11,29,0,8,18,9,3.1,1953,8.3
Devon Dampier,171556,QB,UTAH,8,74.2,217,232,10.1,2.86,3,8,3.2,65.9,153,0,66,5.0,257,8,83,328,59.3,75.3,70.0,72.8,2,5,276,2,7.6,97.8,1.9,5,20,1,9,15,9,3.3,1569,6.8
Brendon Lewis,131687,QB,MEMPHIS,9,81.7,208,231,9.1,3.16,5,12,4.9,68.8,159,0,99,6.5,286,11,102,218,44.5,86.3,75.0,82.8,3,4,303,1,17.2,100.4,5.9,17,38,0,15,10,11,3.6,1869,8.1
Trinidad Chambliss,178723,QB,OLE MISS,8,69.7,211,231,9.1,2.66,10,14,5.7,60.6,140,0,56,4.8,251,7,96,226,62.1,76.6,72.9,70.2,1,2,267,1,10.7,99.8,2.4,6,14,0,9,10,6,2.3,2020,8.7
Colton Joseph,172283,QB,DOMINION,9,66.5,224,230,13.6,2.95,0,21,8.6,61.7,142,0,68,4.7,265,7,98,263,43.4,83.4,76.7,77.6,2,9,279,1,22.1,105.3,5.7,15,20,0,4,19,10,3.6,2236,9.7
Bishop Davenport,163426,QB,S ALABAMA,9,74.9,219,230,6.6,2.5,2,8,3.2,65.7,151,0,69,7.9,261,13,77,288,44.5,64.8,56.6,74.7,2,5,285,3,23.2,95.3,6.1,16,14,0,7,12,14,4.9,1664,7.2
Evan Simon,129906,QB,TEMPLE,9,72.5,204,229,8.7,2.54,4,12,5.1,62.4,143,0,78,3.4,262,5,93,306,64.8,75.9,73.2,67.3,4,1,268,1,16.7,113.6,5.0,13,18,0,17,21,7,2.6,1690,7.4
Gunner Stockton,157072,QB,GEORGIA,8,82.4,210,229,7.2,2.68,6,10,4.0,70.3,161,0,71,6.9,270,12,97,173,72.2,83.4,84.3,63.4,5,2,294,3,14.1,106.8,3.7,10,30,0,8,12,6,2.0,1776,7.8
Conner Weigman,158683,QB,HOUSTON,9,72.3,213,228,9.7,2.69,5,14,5.6,64.9,148,1,94,3.9,258,6,93,182,24.0,73.0,65.6,75.3,3,4,282,2,17.0,106.8,6.2,16,11,0,7,16,12,4.3,1890,8.3
Beau Pribula,164182,QB,MISSOURI,8,76.8,211,228,7.4,2.74,1,5,2.1,69.3,158,0,92,2.5,270,4,100,229,62.6,79.5,77.4,67.1,2,7,277,0,19.6,93.9,6.7,18,23,1,13,11,9,3.2,1685,7.4
Fernando Mendoza,158323,QB,INDIANA,9,79.5,210,226,9.0,2.56,3,9,3.7,71.7,162,0,68,3.0,255,5,117,190,79.2,87.3,83.6,73.7,5,4,273,1,10.3,130.5,2.7,7,22,2,6,25,4,1.5,2124,9.4
