id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401762846,2025-10-25 16:00:00,2025,regular,9,False,Kent State,Mid-American,938,456.24,Bowling Green,Mid-American,527.31,1329,8.5,0.09223875660242715,0.24133173687227677,0.11479219019321044,0.1896563219000177,0.049581464427886565,0.13348486682059013,0.09038548545750696,0.09932113948815303,0.2047736928423629,0.3324516814791495,0.1732892283440705,0.298113745955124,0.34705239063295845,0.4877117575257822,0.36094997934637146,0.4478113710878154,0.426535334064322,0.5142412284681366,0.4340676711689695,0.49581427324933464,0.2611432277296208,0.34579918250269936,0.2831893919367888,0.30859927854212443,2.6307263391106193,2.956860630737843,2.795043211865196,2.8213408670624274,0.8992702100911905,1.1621719543707107,1.0441618160372965,1.0962413770703672,0.9358111491217429,1.36683625325747,1.277451948150595,1.1908718344441822,1.2664239936321207,1.2494004487294823,1.263293515789588,1.2602072464316687,0.9503265430105663,0.9705528117790054,1.0019894033246086,0.9928653030019342,1.5830262122784597,1.5428428569252393,1.5353516119557842,1.542117197433369,0.19476744186046513,0.14534883720930233,0.04941860465116279,0.1763085399449036,0.11294765840220386,0.06336088154269973,0.1360544217687075,0.08843537414965986,0.047619047619047616,0.1772853185595568,0.12742382271468145,0.04986149584487535,3.444444444444444,3.185185185185185,4.354166666666667,3.575,72.9,68.7,70.1,70.7
401756931,2025-10-25 19:30:00,2025,regular,9,False,Iowa State,Big 12,1622,648.93,BYU,Big 12,649.36,1697,-2.5,0.18424076195252714,0.14531811493054175,0.2130352170552621,0.10759974134309958,0.11745821673008873,0.07558420649489522,0.16632301638751584,0.08915012841038539,0.253945190584796,0.24283202783359836,0.24265033708110934,0.15992949452434535,0.4296822128400429,0.4062100395390869,0.465101794630244,0.3954571664757523,0.4866934100753628,0.4584473180067154,0.5316617288933745,0.47760824139076197,0.3061949613155893,0.2980616326646122,0.29022663305875207,0.27374562295875504,2.8863896458909224,2.8474125045319734,3.0743138603746387,2.8744833674211723,0.9990672281983565,1.0709306503340024,1.1526361896693436,1.0084172105141234,1.1129867235161657,1.0654124466682489,1.1538585118035172,1.2301567692375275,1.2391581613683433,1.2351794782688785,1.2158828816983063,1.2128911973459446,0.9546301933238089,0.9441668940638571,0.9604026792508824,0.9435433153243606,1.5474613313389929,1.5488832601549545,1.540042248345186,1.524894568701926,0.15254237288135594,0.0847457627118644,0.06779661016949153,0.14039408866995073,0.09359605911330049,0.046798029556650245,0.15089514066496162,0.09462915601023018,0.056265984654731455,0.16,0.095,0.065,3.5,3.5476190476190474,3.5161290322580645,3.5357142857142856,69.6,72.4,70.1,74.3
401760399,2025-10-25 04:00:00,2025,regular,9,False,Fresno State,Mountain West,1405,586.84,San Diego State,Mountain West,594.27,1534,3.5,0.13515823040605923,0.1978252320672323,0.1823109784634088,0.08259335021107109,0.045332081051212614,0.10490667167251531,0.10962383935239434,0.06217868711086558,0.30320967028215584,0.287457567231405,0.2890877562962587,0.14468632535136988,0.41695257269730296,0.4199325311183702,0.4227846858786512,0.39328050667905207,0.46373327632591527,0.4626511819303742,0.48890586980710443,0.45200991046401184,0.32144641831636567,0.31761153435143485,0.2867614809770574,0.2814271625753468,2.775674358991769,2.908809476876054,3.075556758795789,2.895914945523469,1.0651059855671365,1.0780307354162526,1.076064254983904,0.9833935732313703,1.4450602951884515,1.1374921396559692,1.057815288387847,1.0169220031801236,1.243694635708543,1.2713592841424233,1.2281356882457166,1.237939361338029,0.9717966205424963,0.9600032849363453,0.9367234292173714,0.9500231618150059,1.5260580655630183,1.5657194223614816,1.5705541924026583,1.5402026060707628,0.19788918205804748,0.13192612137203166,0.06596306068601583,0.1461794019933555,0.08970099667774087,0.05647840531561462,0.1486146095717884,0.08060453400503778,0.06801007556675064,0.15773809523809523,0.08035714285714286,0.07738095238095238,3.4054054054054053,4.590909090909091,4.40625,2.590909090909091,67.6,71.9,70.0,74.5
401761635,2025-10-25 16:00:00,2025,regular,9,False,Old Dominion,Sun Belt,1464,477.45,App State,Sun Belt,611.31,1331,-13.5,0.23627311838380052,0.14465657939773968,0.12469181249464698,0.19467497687200566,0.1298089609905943,0.10564724194371046,0.10045055528544762,0.09163392330176821,0.3379779792349373,0.20725487772432888,0.1795269707773966,0.2839045875602563,0.48032957371214674,0.4230037218079793,0.40021624884223267,0.4549461978435617,0.5042934341663882,0.47266843947330867,0.4591760781333989,0.4877103096295742,0.3378427946331978,0.3033842894523197,0.30601252290049374,0.3273419028897369,3.1277728436461647,2.8920079632750184,2.856914924443305,2.8514450810282463,1.1961244174404098,1.0767441199810655,0.9969861764292616,1.0614673256154845,1.4902268858659826,1.162211732108026,1.1029033650949922,1.1399328380893394,1.2558269548011711,1.2096393133223926,1.2332097822193353,1.2570068326952801,0.9412317205628737,0.9464280710709225,0.9452709631785523,0.9599402738369655,1.5989381398111673,1.54001251423298,1.5269676502348557,1.5421197893714806,0.16348773841961853,0.10899182561307902,0.05449591280653951,0.17488789237668162,0.09192825112107623,0.08295964125560538,0.1655328798185941,0.1111111111111111,0.05442176870748299,0.16262135922330098,0.10436893203883495,0.05825242718446602,3.967741935483871,3.8095238095238093,3.918918918918919,4.1891891891891895,71.9,69.5,71.4,69.6
401756935,2025-10-25 22:00:00,2025,regular,9,False,West Virginia,Big 12,1281,662.33,TCU,Big 12,745.01,1719,15.0,0.11117546465699013,0.19221733085619258,0.21110788308826273,0.1479915124031212,0.08739449545580237,0.11393003315935657,0.09240515348792201,0.0775649733829335,0.1612594688090576,0.29139454743285853,0.3158782602050348,0.2440818462580506,0.3908174529502382,0.4240238165627795,0.4452647429085866,0.3954704367451181,0.4409420209926795,0.46470674542552115,0.5119380100647464,0.4436562372760531,0.28924466977623986,0.32561023229759645,0.29488315947517857,0.30801856311122766,2.911975276481293,2.767414227733869,2.689909932208166,2.8663869996498788,0.9810479000500892,1.0402007491310734,1.0110741944012327,0.9669910270732637,1.1630802046497857,1.2501882609045254,1.2581227091301088,0.9766303062103192,1.220032315174853,1.2752352781887857,1.277577994625705,1.2556466031509628,0.961844755164101,0.9795858022072204,0.9498050301186872,0.9454292665806215,1.5491438216086413,1.5763197387105026,1.5732572279646597,1.5552762709803516,0.19174757281553398,0.11893203883495146,0.07281553398058252,0.16626506024096385,0.09879518072289156,0.06746987951807229,0.1445221445221445,0.08857808857808858,0.055944055944055944,0.17535545023696683,0.10426540284360189,0.07109004739336493,3.84,4.324324324324325,3.953488372093023,3.8,72.1,70.1,69.2,70.5
401761637,2025-10-25 19:30:00,2025,regular,9,False,Southern Miss,Sun Belt,1309,602.53,UL Monroe,Sun Belt,473.34,1060,-11.5,0.15706951744738215,0.1483149190738313,0.12781270472382944,0.22635090094967553,0.08620946616174205,0.13228509515626036,0.07136513165769862,0.0888568910572509,0.2653419160050347,0.1720157530643907,0.22270521857145,0.3465217532440899,0.3693286721524953,0.42808005283364886,0.3660503821819815,0.4220312305687629,0.4364951465548747,0.4847338944759712,0.42531341503028336,0.45457726506930574,0.29836373812495764,0.2919827546974137,0.2951780688580635,0.3222938799411957,2.7887111178111574,2.9780100430482386,2.671247676917371,2.795224626328255,0.9537889046973533,1.0548328064548183,1.1351499615298701,0.9288941076680293,0.9348149514932043,1.0743740512950117,1.3792436179970675,1.2601168299910679,1.2760714261465307,1.2378243808876073,1.326105786961012,1.3319073475333414,0.968046871405873,0.9733959279378505,1.033670647581012,0.9959077625836512,1.5859065345127454,1.5349195391707184,1.5755837984452266,1.603831529838945,0.1569620253164557,0.08607594936708861,0.07088607594936709,0.23410404624277456,0.15028901734104047,0.0838150289017341,0.2,0.10114942528735632,0.09885057471264368,0.15513126491646778,0.0954653937947494,0.059665871121718374,4.32258064516129,3.48,3.8823529411764706,4.195121951219512,69.7,72.5,72.4,66.4
401762495,2025-10-25 19:30:00,2025,regular,9,False,Tulsa,American Athletic,1055,594.78,Temple,American Athletic,507.91,1330,6.0,0.07505465552040565,0.1841546128044374,0.17767894748651855,0.1983481015429484,0.06794671921558647,0.12832002609661933,0.0781237420025807,0.17531142554482515,0.1337576651026457,0.23789712484348438,0.29550924556692665,0.21349391423311093,0.3790083219753665,0.4538271215930113,0.40500036548093593,0.4378671400631467,0.44508038740272626,0.4984750704426354,0.4648799713747527,0.49243167472027727,0.2821103441979341,0.31527363387960977,0.29781823665767465,0.298168593725267,2.63220093460371,3.0214056921707875,2.6292484435690917,3.1681591539850817,1.0066458608663766,1.0560436937033724,0.9594590059684112,1.1648830019551923,1.1036065626324714,1.1313978295835319,1.1658946665578318,1.3672265332169915,1.2268888654899919,1.2141399676103304,1.2453887816126277,1.2542399796417065,1.0023071603801588,0.9516483665652751,0.9651482301648924,1.0065453585198425,1.4844154466386972,1.5326164248594272,1.5363984808352154,1.5328295978131978,0.20675105485232068,0.12869198312236288,0.07805907172995781,0.1661807580174927,0.10787172011661808,0.05830903790087463,0.11706349206349206,0.07539682539682539,0.041666666666666664,0.19584569732937684,0.11275964391691394,0.0830860534124629,3.161290322580645,4.678571428571429,4.170731707317073,4.785714285714286,73.6,62.7,71.9,73.8
401762845,2025-10-25 19:30:00,2025,regular,9,False,Northern Illinois,Mid-American,1297,471.01,Ball State,Mid-American,495.35,1055,-5.5,0.10300931647054254,0.18359504207054783,0.0830084251399998,0.23879909936435909,0.09225419759036874,0.13393750324769332,0.07465104612866655,0.13883976517489213,0.14664956432385817,0.22914501738962798,0.14451222473823894,0.31432432640928304,0.3173246037107573,0.4517682680786267,0.3240155425441151,0.4618417979638547,0.40515923366483003,0.4807403893103161,0.3884193135890333,0.4965273389863985,0.25858050080313916,0.3254689940070099,0.27911897135319896,0.32202082490709644,2.796138911016659,3.0368517374860415,2.527580721177555,2.8870815846668356,0.9932394459031615,1.08117782419657,0.9386064724205678,1.0540919281740737,1.4536902034844315,1.1090527880430578,1.2297228790867765,1.4785934211021017,1.2746589496920373,1.2239563655470966,1.2592174535417695,1.2822957808264461,1.0175776709045903,0.969981986484835,1.0081939319562572,1.0129285853822445,1.549360373094992,1.5394150964335975,1.5314544678580073,1.5392862526383824,0.14613180515759314,0.1174785100286533,0.02865329512893983,0.2159090909090909,0.17045454545454544,0.045454545454545456,0.09761904761904762,0.05952380952380952,0.0380952380952381,0.1396508728179551,0.09476309226932668,0.04488778054862843,2.9375,3.4285714285714284,3.72972972972973,4.416666666666667,73.2,66.9,74.1,69.1
401761636,2025-10-25 23:00:00,2025,regular,9,False,Arkansas State,Sun Belt,1235,591.27,Georgia Southern,Sun Belt,574.48,1335,-2.0,0.07905190732786883,0.20753522747849534,0.1698392050053763,0.29571437852639937,0.07284290853134777,0.13621984693059486,0.12626001138410792,0.2192632480585402,0.1301693051321457,0.29308355544900344,0.22427960870763658,0.35264842652905604,0.3855325147729905,0.467631173508681,0.40793297847874194,0.5188201945921191,0.46145908496453475,0.5204309433894312,0.451780193355343,0.5522206606935806,0.27797515816147683,0.31658530770419474,0.3165758572837145,0.338872737126899,2.846183497005217,2.7445215384522106,3.0654828287602713,3.3577113932282203,1.0136604661514876,1.1287449019539522,1.0226650931725552,1.3536619757290338,1.0592810355937012,1.5146555109188065,0.9835787267270949,1.381724506115882,1.204459223177914,1.234219818931492,1.254622811203209,1.2457411356152108,0.9442867482927794,0.9910586875534465,0.9577969668344603,1.0135347888848114,1.4949090800604288,1.5202446649270924,1.5632135146166386,1.5302938456569446,0.20444444444444446,0.12222222222222222,0.08222222222222222,0.15365239294710328,0.09571788413098237,0.05793450881612091,0.11868686868686869,0.0707070707070707,0.047979797979797977,0.11441647597254005,0.07322654462242563,0.041189931350114416,3.1515151515151514,4.5588235294117645,4.485714285714286,5.075,71.4,73.8,69.6,71.2
401752882,2025-10-25 04:00:00,2025,regular,9,False,Iowa,Big Ten,1830,710.0,Minnesota,Big Ten,711.04,1592,-9.0,0.1467526799411336,0.10676073487357934,0.13270693824740196,0.1744780802662099,0.13881705705815992,0.062102559361899526,0.03684362294516361,0.12526654820767477,0.1940974077714825,0.20078858907551136,0.24335086620484958,0.2230844494109699,0.4127842686268062,0.3932805253637021,0.40070435725455306,0.43486926267680304,0.48077485421033317,0.46690178985794956,0.4434448022945583,0.4793558673981039,0.278875408564955,0.27414927846984205,0.3121006515422185,0.32121313762229764,3.138370391772327,2.725973697975249,2.761656984980098,3.053167710303856,1.0977300421725154,0.9369271495764324,0.8799084024404858,1.1645982272451132,1.1237311938638037,0.9101334621498147,1.0509381503627826,1.1828606470987084,1.187822288504033,1.1855494979843992,1.226132987110662,1.2389467141561417,0.9500290722328566,0.9255036002255762,0.9415949957485873,0.9648934065130405,1.5118252380903459,1.5121968879886678,1.5031063726561276,1.5221583448688836,0.11653116531165311,0.08130081300813008,0.03523035230352303,0.17105263157894737,0.08421052631578947,0.0868421052631579,0.18478260869565216,0.10597826086956522,0.07880434782608696,0.16890080428954424,0.11796246648793565,0.05093833780160858,4.05,3.6,3.5217391304347827,4.064516129032258,66.2,72.5,69.8,73.3
