points_offense,team,totalYards_offense,netPassingYards_offense,rushingYards_offense,yardsPerPass_offense,yardsPerRushAttempt_offense,turnovers_offense,thirdDownEff_offense
27.35652255460177,Abilene Christian,380.20107436715176,220.95777471933488,159.24329964781688,7.432392281908348,4.342583221622508,1.3709410062616278,0.4031611875903706
27.028611644193585,Alabama A&M,377.74395164741816,228.06802376380034,149.67592788361785,7.453551971573478,4.064457510290404,1.3157291041086596,0.3995773748208088
29.24927953071963,Alabama State,393.6533237229437,218.38694307184326,175.2663806511005,7.727164105681148,4.669704938718579,1.224172616779698,0.40666979837010586
25.501670432432444,Alcorn State,367.67776067421454,211.94652929850497,155.7312313757096,7.14210242460305,4.278004259087862,1.2467208091980613,0.37732532060644414
24.90619387749971,Arkansas-Pine Bluff,366.8417344252166,216.38820882441848,150.45352560079814,7.267392363094481,4.131338133595952,1.3149796165665104,0.38577775122300045
29.257494887497778,Austin Peay,401.9017259364158,232.24951621020978,169.65220972620608,7.996511603689509,4.507166348102124,1.3094078464726533,0.4161251484242615
28.371894556409043,Bethune-Cookman,393.66724041230043,226.63351986324818,167.03372054905228,7.5988227538931366,4.413359350674069,1.3201942351544451,0.4077625830840508
26.486562739617803,Brown,373.4185874343842,224.09535118877625,149.32323624560797,7.322259883636868,4.024516337425548,1.3553354512347977,0.38734441183918067
26.236367623549192,Bryant,368.81281762980973,210.74715568378446,158.0656619460253,7.127661210636441,4.273017140280929,1.4474729032450482,0.38413473192649666
26.81754915249974,Bucknell,376.9261070763127,226.1919449175163,150.73416215879638,7.707358116617604,4.118577398135803,1.230558102472412,0.40019940084093175
26.109032520594877,Butler,367.7192472447087,208.33776857664367,159.38147866806506,7.196708820424474,4.231720725436716,1.2234783864065066,0.39877581951957236
26.277168702618138,Cal Poly,371.581618617588,222.70174491395568,148.87987370363234,7.383011808216406,4.16651907328886,1.2963887526096174,0.37895454530951617
26.85541549192642,Campbell,374.5403759916326,220.43642508365798,154.1039509079746,7.297171007634706,4.124325716676095,1.3044088964841685,0.3917767522304246
26.69601997093955,Central Arkansas,381.7415217145548,222.22131828072003,159.52020343383478,7.600454427134115,4.136735058007813,1.3415472867461717,0.3923967450842957
26.728404810636555,Central Connecticut,369.6451542670169,219.40872879279166,150.23642547422526,7.200623812503711,4.103073056399756,1.3178306944945013,0.3816609409322126
25.398466199800684,Charleston Southern,365.7329142814564,215.26371144345532,150.4692028380011,7.399947750467962,4.193540921864951,1.271029353031684,0.3875317932021838
27.747075412864174,Chattanooga,380.0806901680778,208.39084789015942,171.68984227791842,7.407554459020721,4.492562572534452,1.2518297091771153,0.3905895592928798
27.248622327071015,Colgate,385.588979383418,232.0823983482723,153.50658103514576,7.562502762909204,4.185543132100471,1.1720257351917902,0.4076588673049597
23.911047421408668,Columbia,359.17000035895586,212.1945202504805,146.97548010847538,7.103900474610183,4.009178300147313,1.330468933170815,0.37553821959830563
25.494744097584626,Cornell,372.90269614318936,215.7471825904273,157.15551355276213,7.113714341315448,4.148379181981558,1.498562478485998,0.38408311255997124
27.354242755943005,Dartmouth,381.52075119238407,219.86270928032667,161.65804191205746,7.5816540489744675,4.3663243049433245,1.339739349910649,0.4210070776387685
24.20942978291827,Davidson,358.6392206613533,215.082763640286,143.5564570210673,7.3243697704281345,3.944360493836085,1.357109653893573,0.375716486960701
27.068153028883614,Dayton,369.94621469151315,217.15669666757506,152.78951802393811,7.700806147804854,4.145189126569819,1.1126233977686177,0.3887001614815153
28.22663358749483,Delaware State,387.52439530170625,207.5243183753487,180.0000769263576,7.529433838487056,4.540683414697445,1.1866247838938788,0.39666224898504404
27.101801218255087,Drake,372.5967140409724,208.1770471690251,164.41966687194736,7.52349916492384,4.3394541484853715,1.2706145762940801,0.3982344120408188
27.829166751177297,Duquesne,374.1073997523035,211.2934004069712,162.8139993453323,7.378323903788476,4.375775783343426,1.1924910144541099,0.39398042983365816
27.765544964472106,East Tennessee State,386.02559346040766,216.2237561634732,169.80183729693445,7.332170988254658,4.313644296628151,1.446283213172674,0.39547018295393127
28.124761791794633,East Texas A&M,383.2192300237799,232.90742497811402,150.31180504566595,7.610267954235505,4.017247154164794,1.3311701445748774,0.3914765435468991
25.094294071837023,Eastern Illinois,362.2769998795883,204.9560612870018,157.32093859258651,7.260741778164978,4.048965891892636,1.3790113000318787,0.3765616798365562
25.032242517291056,Eastern Kentucky,355.791789650872,201.36928121146295,154.42250843940906,6.9732314253309,4.310117744849037,1.3170376086961315,0.3707571657536448
25.972970556303604,Eastern Washington,365.3914196920608,207.16143688287832,158.22998280918256,7.066130770866602,4.292109768857146,1.3363411320226672,0.3686812464284579
26.797085938128113,Elon,377.3081402210328,215.4990342058164,161.8091060152164,7.655994183658949,4.21876414211524,1.3195744985333473,0.38832166868633994
25.527522213734958,Florida A&M,370.56581216756564,216.46234774189386,154.1034644256718,7.256789754006418,4.193990219031116,1.1966227015641975,0.39471550993897275
24.61788744804919,Fordham,368.92531727799235,224.86255913107445,144.06275814691793,7.3779309657172885,3.934899337388691,1.2691826094568757,0.378120668702907
25.99090569406547,Furman,370.6396657282088,225.74829488432871,144.89137084388014,7.314468995245355,3.9955325017762724,1.4074264322426937,0.3956960913954893
27.187837206969057,Gardner-Webb,388.25297654171766,220.34997720623403,167.90299933548366,7.652661568827308,4.3777796107610945,1.3385165093188138,0.3886816673087158
26.226862931697845,Georgetown,367.0831790620573,210.7720608077242,156.31111825433314,7.268341920195774,4.191146981037453,1.2618801831271267,0.40122765083731
