date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b9r1,113,0,0,1,0,0,1669405110,9,Circa,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,total,56,,0,56.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b9r2,113,0,0,2,0,0,1669406308,9,Circa,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,spread,-6½-10,,0,-6.5,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b13r1,113,0,0,1,0,0,1669408128,13,South Point,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,total,56,,0,56.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b13r2,113,0,0,2,0,0,1669066121,13,South Point,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,spread,-6-10,,0,-6.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b32r1,113,0,0,1,0,0,1669420912,32,Sports411,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,total,37½u-23,,0,37.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b41r1,113,0,0,1,0,0,1669209673,41,Heritage,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,total,56u-08,,0,56.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960466,t113p0l0b41r2,113,0,0,2,0,0,1669408251,41,Heritage,2022-11-25,20:35,2022-11-25 20:35:00,NC State,NCST,North Carolina,UNC,NCSTATE,NORTHCAROLINA,spread,-5½-08,,0,-5.5,-108,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b9r1,115,0,0,1,0,0,1669395287,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,total,56,,0,56.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b9r2,115,0,0,2,0,0,1669393467,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,spread,-10-10,,0,-10.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b13r1,115,0,0,1,0,0,1669395407,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,total,55½,,0,55.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b13r2,115,0,0,2,0,0,1669393399,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,spread,-10-10,,0,-10.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b32r1,115,0,0,1,0,0,1669407540,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,total,64½o-233,,0,64.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b32r2,115,0,0,2,0,0,1669407668,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,spread,-13½+290,,0,-13.5,290,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b41r1,115,0,0,1,0,0,1669395306,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,total,55½u-08,,0,55.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960478,t115p0l0b41r2,115,0,0,2,0,0,1669393152,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Baylor,BAY,Texas,TEX,BAYLOR,TEXAS,spread,-10-08,,0,-10.0,-108,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b9r1,117,0,0,1,0,0,1669395047,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,total,53½,,0,53.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b9r2,117,0,0,2,0,0,1669395467,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,spread,-1-10,,0,-1.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b13r1,117,0,0,1,0,0,1669309365,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,spread,-1-10,,0,-1.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b13r2,117,0,0,2,0,0,1669394628,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,total,53½,,0,53.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b32r1,117,0,0,1,0,0,1669406124,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,total,45½u-35,,0,45.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b32r2,117,0,0,2,0,0,1669406675,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,spread,-14½+302,,0,-14.5,302,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b41r1,117,0,0,1,0,0,1669392451,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,total,53u-08,,0,53.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960467,t117p0l0b41r2,117,0,0,2,0,0,1669392386,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Central Michigan,CMU,Eastern Michigan,EMU,CENTRALMICHIGAN,EASTERNMICHIGAN,spread,-1-08,,0,-1.0,-108,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b9r1,119,0,0,1,0,0,1669395528,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,spread,-10-10,,0,-10.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b9r2,119,0,0,2,0,0,1669395651,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,total,51,,0,51.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b13r1,119,0,0,1,0,0,1669395651,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,spread,-10-10,,0,-10.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b13r2,119,0,0,2,0,0,1669395651,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,total,51½,,0,51.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b32r1,119,0,0,1,0,0,1669407904,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,total,35½u-20,,0,35.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b32r2,119,0,0,2,0,0,1669408043,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,spread,-8½+562,,0,-8.5,562,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b41r1,119,0,0,1,0,0,1669395544,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,spread,-10½-04,,0,-10.5,-104,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960468,t119p0l0b41r2,119,0,0,2,0,0,1669395516,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Toledo,TOL,Western Michigan,WMU,TOLEDO,WESTERNMICHIGAN,total,51u-08,,0,51.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b9r1,121,0,0,1,0,0,1669394927,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,total,51½,,0,51.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b9r2,121,0,0,2,0,0,1669395287,9,Circa,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,spread,-17-10,,0,-17.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b13r1,121,0,0,1,0,0,1669390016,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,total,52,,0,52.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b13r2,121,0,0,2,0,0,1669138513,13,South Point,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,spread,-17-10,,0,-17.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b32r1,121,0,0,1,0,0,1669406996,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,total,53½o-18,,0,53.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b32r2,121,0,0,2,0,0,1669407241,32,Sports411,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,spread,-4½-358,,0,-4.5,-358,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b41r1,121,0,0,1,0,0,1669391939,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,total,52u-08,,0,52.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960469,t121p0l0b41r2,121,0,0,2,0,0,1669394911,41,Heritage,2022-11-25,17:00,2022-11-25 17:00:00,Utah State,USU,Boise State,BSU,UTAHSTATE,BOISESTATE,spread,-16½-04,,0,-16.5,-104,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b9r1,123,0,0,1,0,0,1669405648,9,Circa,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,total,66½,,0,66.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b9r2,123,0,0,2,0,0,1669056232,9,Circa,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,spread,-4-10,,0,-4.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b13r1,123,0,0,1,0,0,1669405892,13,South Point,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,total,66½,,0,66.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b13r2,123,0,0,2,0,0,1669053026,13,South Point,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,spread,-4-10,,0,-4.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b32r1,123,0,0,1,0,0,1669418646,32,Sports411,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,total,80½u-26,,0,80.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b32r2,123,0,0,2,0,0,1669418695,32,Sports411,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,spread,-5½+471,,0,-5.5,471,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b41r1,123,0,0,1,0,0,1669396873,41,Heritage,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,total,66½u-08,,0,66.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960470,t123p0l0b41r2,123,0,0,2,0,0,1669120225,41,Heritage,2022-11-25,20:00,2022-11-25 20:00:00,Arizona State,ASU,Arizona,ARIZ,ARIZONASTATE,ARIZONA,spread,-4-08,,0,-4.0,-108,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b9r1,127,0,0,1,0,0,1669391660,9,Circa,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,spread,-3½-10,,0,-3.5,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b9r2,127,0,0,2,0,0,1669299060,9,Circa,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,total,56,,0,56.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b13r1,127,0,0,1,0,0,1669408196,13,South Point,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,spread,-3-10,,0,-3.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b13r2,127,0,0,2,0,0,1669224972,13,South Point,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,total,55½,,0,55.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b32r1,127,0,0,1,0,0,1669419432,32,Sports411,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,total,59½u-60,,0,59.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b41r1,127,0,0,1,0,0,1669373890,41,Heritage,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,spread,-3½-08,,0,-3.5,-108,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960471,t127p0l0b41r2,127,0,0,2,0,0,1669119612,41,Heritage,2022-11-25,20:30,2022-11-25 20:30:00,Arkansas,ARK,Missouri,MIZZ,ARKANSAS,MISSOURI,total,55½u-08,,0,55.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b9r1,129,0,0,1,0,0,1669305863,9,Circa,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,total,36,,0,36.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b9r2,129,0,0,2,0,0,1669406668,9,Circa,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,spread,-7-10,,0,-7.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b13r1,129,0,0,1,0,0,1669306347,13,South Point,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,total,36,,0,36.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b13r2,129,0,0,2,0,0,1669385231,13,South Point,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,spread,-7-10,,0,-7.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b32r1,129,0,0,1,0,0,1669418776,32,Sports411,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,spread,18½u-259,,0,18.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b32r2,129,0,0,2,0,0,1669418996,32,Sports411,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,spread,-20½+579,,0,-20.5,579,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b41r1,129,0,0,1,0,0,1669373897,41,Heritage,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,total,36u-08,,0,36.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960472,t129p0l0b41r2,129,0,0,2,0,0,1669407321,41,Heritage,2022-11-25,20:30,2022-11-25 20:30:00,New Mexico,UNM,Colorado State,CSU,NEWMEXICO,COLORADOSTATE,spread,-7-04,,0,-7.0,-104,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b9r1,131,0,0,1,0,0,1669394869,9,Circa,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,total,38,,0,38.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b9r2,131,0,0,2,0,0,1669070669,9,Circa,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,spread,-11-10,,0,-11.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b13r1,131,0,0,1,0,0,1669409516,13,South Point,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,total,37½,,0,37.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b13r2,131,0,0,2,0,0,1669393612,13,South Point,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,spread,-11-10,,0,-11.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b32r1,131,0,0,1,0,0,1669421161,32,Sports411,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,spread,-6½-366,,0,-6.5,-366,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b32r2,131,0,0,2,0,0,1669421161,32,Sports411,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,total,42½u-215,,0,42.5,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b41r1,131,0,0,1,0,0,1669220873,41,Heritage,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,total,38u-08,,0,38.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960473,t131p0l0b41r2,131,0,0,2,0,0,1669161063,41,Heritage,2022-11-25,21:00,2022-11-25 21:00:00,Nebraska,NEB,Iowa,IOWA,NEBRASKA,IOWA,spread,-10½-08,,0,-10.5,-108,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960474,t133p0l0b9r1,133,0,0,1,0,0,1669388366,9,Circa,2022-11-25,21:30,2022-11-25 21:30:00,UCLA,UCLA,California,CAL,UCLA,CALIFORNIA,spread,-11-10,,0,-11.0,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960474,t133p0l0b9r2,133,0,0,2,0,0,1669391423,9,Circa,2022-11-25,21:30,2022-11-25 21:30:00,UCLA,UCLA,California,CAL,UCLA,CALIFORNIA,total,62,,0,62.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960474,t133p0l0b13r1,133,0,0,1,0,0,1669401612,13,South Point,2022-11-25,21:30,2022-11-25 21:30:00,UCLA,UCLA,California,CAL,UCLA,CALIFORNIA,spread,-11½-10,,0,-11.5,-110,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960474,t133p0l0b13r2,133,0,0,2,0,0,1669409279,13,South Point,2022-11-25,21:30,2022-11-25 21:30:00,UCLA,UCLA,California,CAL,UCLA,CALIFORNIA,total,63,,0,63.0,,
2022-11-25,fbs,"COLLEGE FOOTBALL - Friday, November 25th"",,2022-11-25",3960474,t133p0l0b32r1,133,0,0,1,0,0,1669423423,32,Sports411,2022-11-25,21:30,2022-11-25 21:30:00,UCLA,UCLA,California,CAL,UCLA,CALIFORNIA,spread,-6½-235,,0,-6.5,-235,
