date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b9r1,221,0,0,1,0,0,1671568120,9,Circa,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,total,54,,0,54.0,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b9r2,221,0,0,2,0,0,1671568239,9,Circa,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,spread,-3½-10,,0,-3.5,-110,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b13r1,221,0,0,1,0,0,1671567999,13,South Point,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,total,54,,0,54.0,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b13r2,221,0,0,2,0,0,1671566619,13,South Point,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,spread,-4-10,,0,-4.0,-110,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b31r1,221,0,0,1,0,0,1671580518,31,Draft Kings,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,spread,-13½-20,,0,-13.5,-120,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b31r2,221,0,0,2,0,0,1671579953,31,Draft Kings,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,total,75½u-20,,0,75.5,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b32r1,221,0,0,1,0,0,1671580513,32,Sports411,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,spread,-10½-18,,0,-10.5,-118,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b32r2,221,0,0,2,0,0,1671580296,32,Sports411,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,total,74½o-45,,0,74.5,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b41r1,221,0,0,1,0,0,1671556856,41,Heritage,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,total,54½u-08,,0,54.5,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  POTATO BOWL - ALBERTSONS STADIUM - BOISE, ID"",,2022-12-20",4144551,t221p0l0b41r2,221,0,0,2,0,0,1671567708,41,Heritage,2022-12-20,20:30,2022-12-20 20:30:00,Eastern Michigan,EMU,San Jose State,SJSU,EASTERNMICHIGAN,SANJOSESTATE,spread,-3½-08,,0,-3.5,-108,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b9r1,223,0,0,1,0,0,1671582940,9,Circa,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,spread,-3½-10,,0,-3.5,-110,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b9r2,223,0,0,2,0,0,1671582699,9,Circa,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,total,51,,0,51.0,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b13r1,223,0,0,1,0,0,1671581919,13,South Point,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,spread,-4-10,,0,-4.0,-110,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b13r2,223,0,0,2,0,0,1671574479,13,South Point,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,total,51,,0,51.0,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b31r1,223,0,0,1,0,0,1671593720,31,Draft Kings,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,spread,-1½-585,,0,-1.5,-585,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b31r2,223,0,0,2,0,0,1671593234,31,Draft Kings,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,total,37½u-40,,0,37.5,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b32r1,223,0,0,1,0,0,1671582894,32,Sports411,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,spread,-3-17,,0,-3.0,-117,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b32r2,223,0,0,2,0,0,1671582962,32,Sports411,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,total,51½o-16,,0,51.5,,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b41r1,223,0,0,1,0,0,1671582767,41,Heritage,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,spread,-4-08,,0,-4.0,-108,
2022-12-20,fbs,"COLLEGE FOOTBALL - Tuesday, December 20th  -  BOCA RATON BOWL - FAU STADIUM - BOCA RATON, FL"",,2022-12-20",4144552,t223p0l0b41r2,223,0,0,2,0,0,1671557465,41,Heritage,2022-12-20,00:30,2022-12-21 00:30:00,Toledo,TOL,Liberty,LIB,TOLEDO,LIBERTY,total,51u-08,,0,51.0,,
