date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b9r1,113,0,0,1,0,0,1665789850,9,Circa,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,total,58½,,0,58.5,,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b9r2,113,0,0,2,0,0,1665687768,9,Circa,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,spread,-12½-10,,0,-12.5,-110,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b13r1,113,0,0,1,0,0,1665790569,13,South Point,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,total,58½,,0,58.5,,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b13r2,113,0,0,2,0,0,1665790210,13,South Point,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,spread,-12-10,,0,-12.0,-110,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b32r1,113,0,0,1,0,0,1665703365,32,Sports411,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,total,57,,0,57.0,,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b32r2,113,0,0,2,0,0,1665682791,32,Sports411,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,spread,-12-10,,0,-12.0,-110,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b41r1,113,0,0,1,0,0,1665790050,41,Heritage,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,total,59½u-08,,0,59.5,,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502163,t113p0l0b41r2,113,0,0,2,0,0,1665490980,41,Heritage,2022-10-14,23:30,2022-10-14 23:30:00,Navy,NAVY,SMU,SMU,NAVY,SMU,spread,-12½-08,,0,-12.5,-108,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502164,t115p0l0b9r1,115,0,0,1,0,0,1665786462,9,Circa,2022-10-14,00:00,2022-10-15 00:00:00,UTSA,UTSA,Florida International,FIU,UTSA,FLORIDAINTERNATIONAL,spread,-33-10,,0,-33.0,-110,
2022-10-14,fbs,"COLLEGE FOOTBALL - Friday, October 14th"",,2022-10-14",3502164,t115p0l0b9r2,115,0,0,2,0,0,1665789249,9,Circa,2022-10-14,00:00,2022-10-15 00:00:00,UTSA,UTSA,Florida International,FIU,UTSA,FLORIDAINTERNATIONAL,total,64,,0,64.0,,
