date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b9r1,225,0,0,1,0,0,1671674613,9,Circa,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,spread,-3½-10,,0,-3.5,-110,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b9r2,225,0,0,2,0,0,1671674374,9,Circa,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,total,57,,0,57.0,,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b13r1,225,0,0,1,0,0,1671643675,13,South Point,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,spread,-3½-10,,0,-3.5,-110,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b13r2,225,0,0,2,0,0,1671652833,13,South Point,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,total,58,,0,58.0,,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b31r1,225,0,0,1,0,0,1671686563,31,Draft Kings,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,total,69½o-20,,0,69.5,,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b31r2,225,0,0,2,0,0,1671687613,31,Draft Kings,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,spread,-21½+1000,,0,-21.5,1000,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b32r1,225,0,0,1,0,0,1671674643,32,Sports411,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,spread,-3½-08,,0,-3.5,-108,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b32r2,225,0,0,2,0,0,1671674119,32,Sports411,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,total,58u-11,,0,58.0,,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b41r1,225,0,0,1,0,0,1671673972,41,Heritage,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,spread,-3½-08,,0,-3.5,-108,
2022-12-21,fbs,"COLLEGE FOOTBALL - Wednesday, December 21st  -  NEW ORLEANS BOWL - CAESARS SUPERDOME - NEW ORLEANS, LA"",,2022-12-21",4144553,t225p0l0b41r2,225,0,0,2,0,0,1671673198,41,Heritage,2022-12-21,02:04,2022-12-22 02:04:00,South Alabama,USA,Western Kentucky,WKU,SOUTHALABAMA,WESTERNKENTUCKY,total,58u-08,,0,58.0,,
