date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b9r1,287,0,0,1,0,0,1673311303,9,Circa,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,total,61,,0,61.0,,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b9r2,287,0,0,2,0,0,1673307582,9,Circa,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,spread,-14-10,,0,-14.0,-110,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b13r1,287,0,0,1,0,0,1673306083,13,South Point,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,total,62,,0,62.0,,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b13r2,287,0,0,2,0,0,1673306023,13,South Point,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,spread,-14-10,,0,-14.0,-110,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b31r1,287,0,0,1,0,0,1673322809,31,Draft Kings,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,total,74½o-20,,0,74.5,,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b31r2,287,0,0,2,0,0,1673322841,31,Draft Kings,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,spread,-58½+1200,,0,-58.5,1200,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b32r1,287,0,0,1,0,0,1673320868,32,Sports411,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,total,72½u-48,,0,72.5,,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b32r2,287,0,0,2,0,0,1673322004,32,Sports411,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,spread,-51½-85,,0,-51.5,-185,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b41r1,287,0,0,1,0,0,1673306514,41,Heritage,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,total,61½u-08,,0,61.5,,
2023-01-09,fbs,"COLLEGE FOOTBALL - Monday, January 9th  -  NATIONAL CHAMPIONSHIP GAME - SOFI STADIUM - INGLEWOOD, CA"",,2023-01-09",4150098,t287p0l0b41r2,287,0,0,2,0,0,1673311174,41,Heritage,2023-01-09,00:45,2023-01-10 00:45:00,TCU,TCU,Georgia,UGA,TCU,GEORGIA,spread,-14-08,,0,-14.0,-108,
