date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b9r1,307,0,0,1,0,0,1666302970,9,Circa,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,total,48,,0,48.0,,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b9r2,307,0,0,2,0,0,1666301050,9,Circa,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,spread,-3½-10,,0,-3.5,-110,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b13r1,307,0,0,1,0,0,1666303090,13,South Point,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,total,48,,0,48.0,,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b13r2,307,0,0,2,0,0,1666300390,13,South Point,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,spread,-3½-10,,0,-3.5,-110,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b24r1,307,0,0,1,0,0,1666307697,24,,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,total,48,,0,48.0,,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b24r2,307,0,0,2,0,0,1666301234,24,,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,spread,-3½-10,,0,-3.5,-110,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b32r1,307,0,0,1,0,0,1666320583,32,Sports411,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,spread,-6½-469,,0,-6.5,-469,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b32r2,307,0,0,2,0,0,1666320580,32,Sports411,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,total,26½u-84,,0,26.5,,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b41r1,307,0,0,1,0,0,1666302911,41,Heritage,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,total,48u-08,,0,48.0,,
2022-10-20,fbs,"COLLEGE FOOTBALL - Thursday, October 20th"",,2022-10-20",3563017,t307p0l0b41r2,307,0,0,2,0,0,1666301101,41,Heritage,2022-10-20,23:30,2022-10-20 23:30:00,Virginia,UVA,Georgia Tech,GT,VIRGINIA,GEORGIATECH,spread,-3½-03,,0,-3.5,-103,
