date,classification,category_header,event_id,line_id,game_number,period,line_type,row,is_opener,last_line_flag,timestamp,sportsbook_id,sportsbook_name,start_date,start_time_local,start_datetime,home_team,home_abbr,away_team,away_abbr,home_key,away_key,row_type,value,arrow,takeback,line_value,line_price,total_direction
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775093,t107p0l0b9r1,107,0,0,1,0,0,1667843180,9,Circa,2022-11-09,00:00,2022-11-10 00:00:00,Northern Illinois,NIU,Western Michigan,WMU,NORTHERNILLINOIS,WESTERNMICHIGAN,total,49,,0,49.0,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775093,t107p0l0b13r1,107,0,0,1,0,0,1668037571,13,South Point,2022-11-09,00:00,2022-11-10 00:00:00,Northern Illinois,NIU,Western Michigan,WMU,NORTHERNILLINOIS,WESTERNMICHIGAN,total,48,,0,48.0,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775093,t107p0l0b32r1,107,0,0,1,0,0,1668050551,32,Sports411,2022-11-09,00:00,2022-11-10 00:00:00,Northern Illinois,NIU,Western Michigan,WMU,NORTHERNILLINOIS,WESTERNMICHIGAN,total,39½u-23,,0,39.5,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775093,t107p0l0b41r1,107,0,0,1,0,0,1668037492,41,Heritage,2022-11-09,00:00,2022-11-10 00:00:00,Northern Illinois,NIU,Western Michigan,WMU,NORTHERNILLINOIS,WESTERNMICHIGAN,total,48½u-08,,0,48.5,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775094,t109p0l0b9r1,109,0,0,1,0,0,1668033223,9,Circa,2022-11-09,00:00,2022-11-10 00:00:00,Buffalo,BUFF,Central Michigan,CMU,BUFFALO,CENTRALMICHIGAN,total,54,,0,54.0,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775094,t109p0l0b9r2,109,0,0,2,0,0,1668038409,9,Circa,2022-11-09,00:00,2022-11-10 00:00:00,Buffalo,BUFF,Central Michigan,CMU,BUFFALO,CENTRALMICHIGAN,spread,-2½-15,,0,-2.5,-115,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775094,t109p0l0b13r1,109,0,0,1,0,0,1668033558,13,South Point,2022-11-09,00:00,2022-11-10 00:00:00,Buffalo,BUFF,Central Michigan,CMU,BUFFALO,CENTRALMICHIGAN,total,54,,0,54.0,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775094,t109p0l0b13r2,109,0,0,2,0,0,1668037808,13,South Point,2022-11-09,00:00,2022-11-10 00:00:00,Buffalo,BUFF,Central Michigan,CMU,BUFFALO,CENTRALMICHIGAN,spread,-2½-10,,0,-2.5,-110,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775094,t109p0l0b32r1,109,0,0,1,0,0,1668049658,32,Sports411,2022-11-09,00:00,2022-11-10 00:00:00,Buffalo,BUFF,Central Michigan,CMU,BUFFALO,CENTRALMICHIGAN,total,60½o-50,,0,60.5,,
2022-11-09,fbs,"COLLEGE FOOTBALL - Wednesday, November 9th"",,2022-11-09",3775094,t109p0l0b41r1,109,0,0,1,0,0,1668036269,41,Heritage,2022-11-09,00:00,2022-11-10 00:00:00,Buffalo,BUFF,Central Michigan,CMU,BUFFALO,CENTRALMICHIGAN,total,54u-08,,0,54.0,,
