captured_at,game_id,home_team,away_team,commence_time,bookmaker,market,point_home,point_away,price_home,price_away,price_draw,last_update,source
2025-11-07T22:10:17Z,401762855,Eastern Michigan,Bowling Green,2025-11-08 18:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762855,Eastern Michigan,Bowling Green,2025-11-08 18:00:00+00:00,Fanatics,moneyline,,,-130.0,110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757299,Liberty,Missouri State,2025-11-08 18:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757299,Liberty,Missouri State,2025-11-08 18:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757299,Liberty,Missouri State,2025-11-08 18:00:00+00:00,Fanatics,moneyline,,,-310.0,245.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752897,Purdue,Ohio State,2025-11-08 18:00:00+00:00,Rebet,spread,,,-111.0,-116.0,,2025-11-07 22:09:58+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752897,Purdue,Ohio State,2025-11-08 18:00:00+00:00,Rebet,total,,,,,,2025-11-07 22:09:58+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752897,Purdue,Ohio State,2025-11-08 18:00:00+00:00,Rebet,moneyline,,,1575.0,-10000.0,,2025-11-07 22:09:58+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762502,Rice,UAB,2025-11-08 19:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762502,Rice,UAB,2025-11-08 19:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762502,Rice,UAB,2025-11-08 19:00:00+00:00,Fanatics,moneyline,,,-120.0,100.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752894,Rutgers,Maryland,2025-11-08 19:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752894,Rutgers,Maryland,2025-11-08 19:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752894,Rutgers,Maryland,2025-11-08 19:30:00+00:00,Fanatics,moneyline,,,-130.0,110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762504,East Carolina,Charlotte,2025-11-08 20:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762504,East Carolina,Charlotte,2025-11-08 20:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762504,East Carolina,Charlotte,2025-11-08 20:00:00+00:00,Fanatics,moneyline,,,-4000.0,1800.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757295,Delaware,Louisiana Tech,2025-11-08 20:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757295,Delaware,Louisiana Tech,2025-11-08 20:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757295,Delaware,Louisiana Tech,2025-11-08 20:00:00+00:00,Fanatics,moneyline,,,190.0,-235.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762505,Florida Atlantic,Tulsa,2025-11-08 20:00:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762505,Florida Atlantic,Tulsa,2025-11-08 20:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401762505,Florida Atlantic,Tulsa,2025-11-08 20:00:00+00:00,Fanatics,moneyline,,,-170.0,140.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757296,Middle Tennessee,Florida International,2025-11-08 20:00:00+00:00,Matchbook,spread,,,-112.0,102.0,,2025-11-07 22:10:03+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757296,Middle Tennessee,Florida International,2025-11-08 20:00:00+00:00,Matchbook,total,,,,,,2025-11-07 22:10:03+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757296,Middle Tennessee,Florida International,2025-11-08 20:00:00+00:00,Matchbook,moneyline,,,-102.0,100.0,,2025-11-07 22:10:03+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757297,UTEP,Jacksonville State,2025-11-08 20:00:00+00:00,Matchbook,spread,,,-103.0,-109.0,,2025-11-07 22:10:03+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757297,UTEP,Jacksonville State,2025-11-08 20:00:00+00:00,Matchbook,total,,,,,,2025-11-07 22:10:03+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757297,UTEP,Jacksonville State,2025-11-08 20:00:00+00:00,Matchbook,moneyline,,,102.0,-114.0,,2025-11-07 22:10:03+00:00,TheOddsAPI
