season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under
2025,6,regular,fcs,401767320,Brown,Rhode Island,2025-10-03T23:00:00+00:00,fanduel,spread,2025-10-03T23:05:39+00:00,2025-10-03T23:25:39+00:00,14.5,-110.0,-110.0,11.5,-113.0,-115.0,,,,
2025,6,regular,fcs,401767320,Brown,Rhode Island,2025-10-03T23:00:00+00:00,fanduel,total,2025-10-03T23:05:39+00:00,2025-10-03T23:25:39+00:00,48.5,,,55.5,,,-105.0,-115.0,-118.0,-110.0
2025,6,regular,fbs,401754557,NC State,Campbell,2025-10-04T18:00:00+00:00,fanduel,spread,2025-10-04T15:00:39+00:00,2025-10-04T18:25:38+00:00,-42.5,-110.0,-110.0,-41.5,-120.0,-108.0,,,,
2025,6,regular,fbs,401754557,NC State,Campbell,2025-10-04T18:00:00+00:00,fanduel,total,2025-10-04T15:00:39+00:00,2025-10-04T18:25:38+00:00,61.5,,,72.5,,,-110.0,-110.0,-106.0,-122.0
