season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under
2024,2,regular,fbs,401634765,SMU,BYU,2024-09-06T23:00:00+00:00,fanduel,spread,2024-09-06T20:00:38+00:00,2024-09-06T23:25:38+00:00,-12.5,-105.0,-115.0,-7.5,-108.0,-120.0,,,,
2024,2,regular,fbs,401634765,SMU,BYU,2024-09-06T23:00:00+00:00,fanduel,total,2024-09-06T20:00:38+00:00,2024-09-06T23:25:38+00:00,55.5,,,48.5,,,-115.0,-105.0,-113.0,-115.0
2024,2,regular,fbs,401628463,Indiana,Western Illinois,2024-09-06T23:00:00+00:00,fanduel,spread,2024-09-06T20:00:38+00:00,2024-09-06T23:25:38+00:00,-43.5,-115.0,-105.0,-49.5,-106.0,-122.0,,,,
2024,2,regular,fbs,401628463,Indiana,Western Illinois,2024-09-06T23:00:00+00:00,fanduel,total,2024-09-06T20:00:38+00:00,2024-09-06T23:25:38+00:00,54.5,,,61.5,,,-110.0,-110.0,-120.0,-108.0
2024,2,regular,fbs,401635533,Northwestern,Duke,2024-09-07T01:00:00+00:00,fanduel,spread,2024-09-06T22:00:38+00:00,2024-09-07T01:25:38+00:00,-2.5,-105.0,-115.0,-3.5,104.0,-135.0,,,,
2024,2,regular,fbs,401635533,Northwestern,Duke,2024-09-07T01:00:00+00:00,fanduel,total,2024-09-06T22:00:38+00:00,2024-09-07T01:25:38+00:00,37.5,,,36.5,,,-104.0,-118.0,-102.0,-128.0
2024,2,regular,fbs,401635538,Cincinnati,Pittsburgh,2024-09-07T16:00:00+00:00,fanduel,spread,2024-09-07T13:00:38+00:00,2024-09-07T16:25:38+00:00,-2.5,-105.0,-115.0,-3.5,-130.0,100.0,,,,
2024,2,regular,fbs,401635538,Cincinnati,Pittsburgh,2024-09-07T16:00:00+00:00,fanduel,total,2024-09-07T13:00:38+00:00,2024-09-07T16:25:38+00:00,62.5,,,62.5,,,-115.0,-105.0,-114.0,-114.0
2024,2,regular,fbs,401636999,UConn,Merrimack,2024-09-07T16:00:00+00:00,fanduel,spread,2024-09-07T13:00:38+00:00,2024-09-07T16:25:38+00:00,-15.5,-115.0,-105.0,-27.5,-115.0,-113.0,,,,
2024,2,regular,fbs,401636999,UConn,Merrimack,2024-09-07T16:00:00+00:00,fanduel,total,2024-09-07T13:00:38+00:00,2024-09-07T16:25:38+00:00,45.5,,,55.5,,,-105.0,-115.0,-108.0,-120.0
2024,2,regular,fbs,401643784,Memphis,Troy,2024-09-07T16:00:00+00:00,fanduel,spread,2024-09-07T13:00:38+00:00,2024-09-07T16:25:38+00:00,-19.5,-105.0,-115.0,-24.5,-114.0,-114.0,,,,
2024,2,regular,fbs,401643784,Memphis,Troy,2024-09-07T16:00:00+00:00,fanduel,total,2024-09-07T13:00:38+00:00,2024-09-07T16:25:38+00:00,55.5,,,57.5,,,-110.0,-110.0,-114.0,-114.0
