date,time,away_rot,away_team,away_score,home_rot,home_team,home_score,status,spread_sports411,spread_circa,spread_pinnacle,spread_betonline,total_sports411,total_circa,total_pinnacle,total_betonline
10/25,2:00p,308971.0,Northern Iowa,17.0,308972.0,Southern Illinois,31.0,Final,5ov2u-15,S1½u-21,50½u-20,50,-15½-09,-14½-15,-14½-15,14½-10
10/25,2:00p,308973.0,Gardner Webb,48.0,308974.0,Lindenwood,20.0,Final,57120-21,-1½-03,-1-05,57½,-1½-18,55v20-36,570-20,1Vz-10
10/25,2:00p,308975.0,Southeastern Louisiana,38.0,308976.0,Houston Christian,14.0,Final,-3½-15,-3½-10,-3½-25,-3½-10,51½u-15,51½u-15,51½u-15,51½
10/25,2:00p,308977.0,Virginia Military,,308978.0,Mercer,,,0.0,-3½-10,-3½-10,-3½-10,51½u-15,51½u-15,51½u-15,51½
10/25,2:00p,308979.0,Tarleton State,31.0,308980.0,Eastern Kentucky  57u-20 58u-35 57Y24-15 56Y2,,,-22½-14,-23½-15,-23½-15,-23v2-10,57u-20,58u-35,57½u-15,56½
10/25,2:00p,309003.0,Prairie View A&M,41.0,309004.0,Lincoln (MO),14.0,Final,-31½-10,-31½-10,-31½-10,-31½-10,58½u-15,58½u-15,58½u-15,58½
10/25,2:30p,308981.0,Morgan State,27.0,308982.0,Howard,33.0,Final,0T,-1½-08,-1Vz-15,-2½-20,43½u-15,45½u-21,44½u-20,43½
10/25,2:30p,308983.0,Chattanooga,49.0,308984.0,Samford,13.0,Final,-8½-15,-10Y-11,-9-05,-8½-10,55v2u-23,54½u-20,54½u-20,54v2
10/25,,308985.0,Albany,16.0,308986.0,2*30p  Villanova,29.0,Final,52u-20,52½u-42,S1½u-25,50½,-29v2-21,-30½-22,-0½-15,-30v2-10
10/25,2:30p,308987.0,Wofford,10.0,308988.0,East Tenn State,14.0,Final,48½u-15,48½u-15,48½u-15,48½,-7½-13,-8½-15,-8v2-15,-8v2-10
10/25,,308989.0,Towson,19.0,308990.0,2*30p  Stony Brook,27.0,Final,51½u-15,52½u-15,52v2u-25,51,-3-22,-3-15,-3-15,3-10
10/25,2:30p,308991.0,Alabama A&M,13.0,308992.0,Alabama State,56.0,Final,62v20-20,61½u-20,62v20-20,63½,-14-15,-11z-29,-13½-25,13½-10
10/25,3:00p,308993.0,Portland State 550-16 S7V2u-40 56u-30,55.0,308994.0,Idaho,45.0,Final,-23½-22,-23½-22,-23½-22,-23½-22,60½u-20,60½u-20,60½u-20,60½
10/25,3:00p,308997.0,North Alabama,28.0,308998.0,Austin Peay,56.0,Final,56½0-17,560-19,56u-20,56½,-19½-13,-18½-15,-18Y-01,-18½-10
10/25,3:00p,308999.0,Indiana State,17.0,309000.0,North Dakota,46.0,Final,57½u-15,55½0-30,570-30,58,-28½-15,-30½ ev,30v2+04,-28½-10
10/25,3:22p,308995.0,McNeese State 42Y2u-17 43Y2u-15 43Y2u-15 43V2,,308996.0,Nicholls State,31.0,Final,-6½-16,-6½-16,-6½-16,-6½-16,48½u-18,48½u-18,48½u-18,48½
10/25,4:00p,309001.0,Florida A&M,43.0,309002.0,Southern,35.0,Final,3v2-14,-3-15,-3-25,3-10,46v20-19,51½u-69,S1½u-55,48½
10/25,5:00p,309005.0,Northern Arizona,31.0,309006.0,Idaho State,18.0,Final,2½-18,3-03,-3-01,3-10,61½u-19,63u-23,63u-20,63
10/25,5:00p,309007.0,Grambling State,26.0,309008.0,Jackson State,24.0,Final,57u-15,55½,56v20-21,55420-20,-23-12,221-10,-20-50,-20v2-35
10/25,6:00p,309009.0,Stephen F Austin,31.0,309010.0,East Texas A&M,21.0,Final,-12½-15,-15½+15,-1512+13,-12-10,58v20-18,622u-58,61½u-35,58
10/25,7:00p,309011.0,Montana State,34.0,309012.0,Cal: Poly SLO,17.0,Final,-2212-20,-212-15,-21½-05,21½-10,55v20-16,55½u-15,55½u-15,55½
10/25,7:00p,309013.0,Southern,38.0,309014.0,Utah Tech,47.0,,-6½-15,-6½-15,-6½-15,-6½-15,58½u-20,58½u-20,58½u-20,58½
10/25,7:00p,309015.0,Incarnate Word,28.0,309016.0,UT Rio Grande Valley,56.0,Final,-6v2-15,-3½-71,-3½-45,-6-10,540-17,54v2u-20,54v2u-20,53½
,,,Incarnate Word,,,UT Rio Grande Valley,,,-3½-15,-3½-15,-3½-15,-3½-15,54½u-20,54½u-20,54½u-20,54½
