season,games,spread_mae,total_mae,brier,bets,ats_record,ats_roi
2016,760,15.66591100351108,18.631890539358828,0.2925269984043694,0,0-0-0,0.0
2017,776,7.884679111300113,15.684219115623153,0.08601377049907051,0,0-0-0,0.0
2018,772,12.587494285268559,13.435184947903661,0.16145848950707903,0,0-0-0,0.0
2019,774,4.869079870652884,11.874457259772443,0.1336335957261429,0,0-0-0,0.0
2020,534,13.46340388011177,15.953175854995584,0.08216712201522168,0,0-0-0,0.0
2021,770,9.546827329391299,12.849182614492822,0.14764844685762218,0,0-0-0,0.0
2022,776,10.046083646090901,13.469969388053702,0.18039333353815531,0,0-0-0,0.0
2023,792,18.87325839338709,5.205855559531704,0.25675721065448504,5,3-2-0,0.14540000000000006
