kickoff_et,away_team,home_team,home_proj_points,away_proj_points,spread_home_minus_away,total_points,home_win_prob,away_win_prob,home_moneyline,away_moneyline
Fri 10/24 5:00 PM ET,Columbia,Dartmouth,35.65904312528039,17.085670790227827,18.573372335052564,52.744713915508214,0.8771456535317996,0.12285434646820037,-713.9720154376794,713.9720154376794
Fri 10/24 9:00 PM ET,Montana,Sacramento State,29.59620913326275,31.865727642267615,-2.2695185090048646,61.46193677553036,0.4436012560753985,0.5563987439246014,125.4276754865705,-125.42767548657048
Sat 10/25 11:00 AM ET,San Diego,Davidson,24.257431741102767,37.32110931199689,-13.063677570894125,61.578541053099656,0.20711287228717845,0.7928871277128215,382.8285122777982,-382.8285122777982
Sat 10/25 11:00 AM ET,Presbyterian,Dayton,26.353268593294118,29.149754716310483,-2.796486123016365,55.5030233096046,0.4306261017011253,0.5693738982988747,132.22001547273763,-132.22001547273763
Sat 10/25 11:00 AM ET,Drake,Marist,18.701642661044517,25.549268338276974,-6.8476256772324575,44.25091099932149,0.3343340766835318,0.6656659233164681,199.10202690662692,-199.10202690662686
Sat 10/25 11:00 AM ET,Georgetown,Bucknell,29.22087397106822,30.65195015656604,-1.4310761854978225,59.87282412763426,0.4643652190724263,0.5356347809275737,115.34773900541236,-115.34773900541235
Sat 10/25 11:00 AM ET,Harvard,Princeton,18.680796591239343,35.081035879495104,-16.40023928825576,53.76183247073445,0.15267806551431318,0.8473219344856868,554.9729305459746,-554.9729305459746
Sat 10/25 11:00 AM ET,Duquesne,Wagner,19.490871605589177,30.362122811036336,-10.871251205447159,49.85299441662551,0.2484253755268283,0.7515746244731717,302.5353681681389,-302.5353681681389
Sat 10/25 11:00 AM ET,Stonehill,Mercyhurst,24.615508111830096,20.53232651099978,4.083181600830315,45.147834622829876,0.6007152404009857,0.3992847595990143,-150.4478260087512,150.4478260087512
Sat 10/25 11:00 AM ET,New Haven,Long Island University,25.53303163230469,23.54717278239771,1.9858588499069825,49.0802044147024,0.5493883555406612,0.45061164445933877,-121.92058556317127,121.92058556317127
Sat 10/25 11:00 AM ET,Pennsylvania,Yale,29.46516721795368,24.55775028266886,4.907416935284822,54.02291750062254,0.6204692956282218,0.37953070437177816,-163.48329357311408,163.48329357311408
Sat 10/25 12:00 PM ET,Bryant,Rhode Island,30.192215234199907,15.315864781767292,14.876350452432614,45.508080015967195,0.8237554016873473,0.1762445983126527,-467.3932759210183,467.3932759210183
Sat 10/25 12:00 PM ET,Campbell,North Carolina A&T,29.157982670982626,25.484944690126923,3.673037980855703,54.64292736110955,0.5907850477218634,0.40921495227813665,-144.37034727907903,144.37034727907903
Sat 10/25 12:00 PM ET,Elon,Maine,19.247184370954127,23.237461382711615,-3.990277011757488,42.484645753665745,0.40152866524936104,0.598471334750639,149.04822159557918,-149.04822159557918
Sat 10/25 12:00 PM ET,Southeast Missouri State,Tennessee Tech,38.559950747814625,16.923564718021957,21.636386029792668,55.48351546583658,0.9118561809777228,0.08814381902227719,-1034.5094994661658,1034.5094994661658
Sat 10/25 12:00 PM ET,William & Mary,New Hampshire,21.753309384482073,29.249779293271168,-7.496469908789095,51.00308867775324,0.31970303672409095,0.680296963275909,212.79027257505115,-212.79027257505115
Sat 10/25 12:00 PM ET,Delaware State,North Carolina Central,36.144472016151695,24.501816551994718,11.642655464156977,60.64628856814642,0.7665909556776586,0.23340904432234144,-328.43241267848424,328.43241267848424
Sat 10/25 12:00 PM ET,Brown,Cornell,25.644164652451,24.91072654424069,0.7334381082103114,50.554891196691685,0.5182810644223452,0.48171893557765477,-107.58992975869775,107.58992975869775
Sat 10/25 12:00 PM ET,Morehead State,Valparaiso,28.50499774712456,26.638665527424205,1.8663322197003538,55.143663274548764,0.5464296144894015,0.4535703855105985,-120.47294795807018,120.47294795807018
Sat 10/25 12:00 PM ET,St. Thomas-Minnesota,Stetson,25.775590291461942,39.105890246076584,-13.330299954614642,64.88148053753852,0.20238183177823155,0.7976181682217685,394.1154999999171,-394.1154999999171
Sat 10/25 12:00 PM ET,Lehigh,Fordham,14.176903989321852,38.8337439419638,-24.656839952641953,53.010647931285654,0.061652004889918344,0.9383479951100817,1522.007267704485,-1522.0072677044864
Sat 10/25 12:00 PM ET,Colgate,Holy Cross,24.045352519227723,29.246359157201425,-5.201006637973702,53.291711676429145,0.37256672785433587,0.6274332721456641,168.40829447093694,-168.40829447093694
Sat 10/25 1:00 PM ET,Eastern Illinois,Charleston Southern,27.02742223926457,28.24435238545401,-1.2169301461894406,55.27177462471858,0.46968642386807047,0.5303135761319295,112.90800610427874,-112.90800610427874
Sat 10/25 1:00 PM ET,Monmouth,Hampton,27.151298271262064,42.589917315234445,-15.43861904397238,69.74121558649651,0.16729402187883124,0.8327059781211688,497.7499905670785,-497.7499905670785
Sat 10/25 1:00 PM ET,Central Arkansas,West Georgia,29.01030636845433,25.80384687408006,3.2064594943742684,54.81415324253439,0.5794175741915528,0.4205824258084472,-137.7655219610737,137.7655219610737
