start_date,home_team,away_team,spread,total,home_points,away_points,home_win_prob,home_ml,away_ml,market_spread,market_total,market_provider_count,market_providers,market_provider_lines,spread_vs_market,total_vs_market,spread_edge,spread_edge_abs,spread_edge_direction,total_edge,total_edge_abs,win_prob_edge,win_prob_edge_abs,provider_count
2025-11-01T16:00Z,YALE,COLUMBIA,19.542711836354783,51.42458831835026,35.48365007735252,15.940938240997738,0.8890363841993187,-801.1963000523101,801.1963000523101,,,0,,,,,,,,,,,,0
2025-11-01T16:00Z,LEHIGH,GEORGETOWN,15.222626416394451,53.30974301676442,34.26618471657944,19.043558300184984,0.8293029102201972,-485.8330691460458,485.8330691460458,,,0,,,,,,,,,,,,0
2025-11-01T17:00Z,BRYANT,MONMOUTH,-1.6767804597076015,56.17570276094242,27.24946115061741,28.92624161032501,0.4582677395725898,118.2130474496557,-118.2130474496557,,,0,,,,,,,,,,,,0
2025-11-01T17:00Z,BUTLER,DRAKE,3.9499282558749784,52.882228949759714,28.416078602817347,24.466150346942367,0.597495782485416,-148.44460169259392,148.44460169259392,,,0,,,,,,,,,,,,0
2025-11-01T17:00Z,CORNELL,PRINCETON,5.209053134090907,52.512941203044065,28.860997168567486,23.65194403447658,0.6276235622983831,-168.5454552850345,168.5454552850345,,,0,,,,,,,,,,,,0
2025-11-01T17:00Z,HOLY CROSS,LAFAYETTE,0.24299345377935386,53.82485196282964,27.033922708304498,26.790929254525143,0.5060585397618668,-102.4531408069879,102.4531408069879,,,0,,,,,,,,,,,,0
2025-11-01T17:00Z,COLGATE,MERRIMACK,14.253631849816145,51.94064280414571,33.09713732698093,18.843505477164783,0.813495710459742,-436.18069721884035,436.18069721884035,,,0,,,,,,,,,,,,0
2025-11-01T17:30Z,WOFFORD,SAMFORD,16.57758874867356,50.611041805741955,33.594315277207755,17.0167265285342,0.8499220898683106,-566.320579172862,566.320579172862,,,0,,,,,,,,,,,,0
2025-11-01T18:00Z,FURMAN,MERCER,0.30525180609119856,53.66537491996236,26.98531336302678,26.68006155693558,0.507610654036789,-103.09131547998912,103.09131547998912,,,0,,,,,,,,,,,,0
2025-11-01T18:00Z,RICHMOND,FORDHAM,13.809975102267181,51.03205397706546,32.42101453966632,18.611039437399143,0.8059652002873755,-415.3714702110401,415.3714702110401,,,0,,,,,,,,,,,,0
2025-11-01T19:00Z,HARVARD,DARTMOUTH,15.290294059046978,55.06826169598985,35.179277877518416,19.88898381847143,0.8303737811151091,-489.5315043711516,489.5315043711516,,,0,,,,,,,,,,,,0
2025-11-01T20:00Z,SAN DIEGO,DAYTON,3.6023921816222324,52.96906556648428,28.28572887405326,24.683336692431023,0.5890685174385164,-143.34957102012254,143.34957102012254,,,0,,,,,,,,,,,,0
