home_team,away_team,start_date_pred,start_date_actual,pred_spread,pred_total,pred_home_points,pred_away_points,pred_home_win_prob,pred_home_ml,pred_away_ml,actual_home_points,actual_away_points,actual_margin,actual_total,spread_error,total_error,brier
DARTMOUTH,COLUMBIA,2025-10-24T22:00Z,2025-10-24T22:00Z,17.448441440918526,53.03339144510328,35.2409164430109,17.792475002092374,0.8622595966712595,-626.0033917668535,626.0033917668535,49.0,3.0,46.0,52.0,-28.551558559081474,1.0333914451032769,0.018972418709164104
SACRAMENTO,MONTANA,2025-10-25T02:35Z,2025-10-25T02:35Z,-10.225731926858298,59.60016581225001,24.687216942695855,34.91294886955416,0.2613762581495079,282.5902195860487,-282.5902195860487,35.0,49.0,-14.0,84.0,3.7742680731417018,-24.39983418774999,0.06831754832423818
