game_id,start_date,home_team,away_team,pred_spread,pred_total,pred_home_win,weather_condition,weather_temp,weather_wind,weather_total_adj,provider,line_spread,line_total,home_moneyline,away_moneyline,line_spread_home,spread_edge,total_edge,home_implied,away_implied,home_prob_edge,away_prob_edge,edge_side,edge_spread_abs,total_edge_abs
401752750,2025-10-25T16:00:00.000Z,Oklahoma,Ole Miss,9.671224727408731,49.743819426294664,0.8174478378210903,Cloudy,64.8,11.5,,DraftKings,-5.5,52.5,-198.0,164.0,5.5,4.171224727408731,-2.756180573705336,0.6644295302013423,0.3787878787878788,0.153018307619748,-0.1962357166089691,Home,4.171224727408731,2.756180573705336
401754571,2025-10-25T16:00:00.000Z,Georgia Tech,Syracuse,18.47890613391499,57.723701757508806,0.9582290818234291,Fair,68.0,10.4,,DraftKings,-17.5,52.5,-1000.0,650.0,17.5,0.9789061339149896,5.223701757508806,0.9090909090909091,0.13333333333333333,0.04913817273252008,-0.09156241515676247,Home,0.9789061339149896,5.223701757508806
401752884,2025-10-25T16:00:00.000Z,Purdue,Rutgers,5.375384193895965,63.4780279992746,0.6926545698743244,,65.5,8.5,,DraftKings,-2.5,60.5,-142.0,120.0,2.5,2.8753841938959646,2.9780279992746017,0.5867768595041323,0.45454545454545453,0.10587771037019211,-0.14720002441977892,Home,2.8753841938959646,2.9780279992746017
401762494,2025-10-25T16:00:00.000Z,Memphis,South Florida,1.5038213724127032,57.07764984467482,0.5559972658207517,Clear,67.3,9.2,,DraftKings,3.5,58.5,145.0,-175.0,-3.5,5.003821372412704,-1.4223501553251765,0.40816326530612246,0.6363636363636364,0.14783400051462925,-0.19236090218438806,Home,5.003821372412704,1.4223501553251765
401752883,2025-10-25T16:00:00.000Z,Nebraska,Northwestern,11.783310683099668,49.51483210797109,0.8650889620961347,,56.7,2.9,,DraftKings,-7.0,44.5,-278.0,225.0,7.0,4.783310683099668,5.014832107971088,0.7354497354497355,0.3076923076923077,0.12963922664639926,-0.17278126978844244,Home,4.783310683099668,5.014832107971088
401756932,2025-10-25T16:00:00.000Z,Kansas,Kansas State,7.163026189627011,58.66148060259927,0.7488248586956741,,65.5,6.3,,DraftKings,-3.5,55.5,-180.0,150.0,3.5,3.6630261896270113,3.161480602599269,0.6428571428571429,0.4,0.10596771583853115,-0.14882485869567408,Home,3.6630261896270113,3.161480602599269
401752942,2025-10-25T16:00:00.000Z,Wake Forest,SMU,-2.1136519966638856,49.70671723011546,0.4215470629462486,,62.4,3.6,,DraftKings,5.5,52.5,180.0,-218.0,-5.5,3.3863480033361144,-2.7932827698845415,0.35714285714285715,0.6855345911949685,0.06440420580339146,-0.10708165414121706,Home,3.3863480033361144,2.7932827698845415
401752885,2025-10-25T16:00:00.000Z,Indiana,UCLA,31.123378628002754,56.99276170389726,0.998219349973962,,54.0,8.1,,DraftKings,-26.5,53.5,-4000.0,1600.0,26.5,4.6233786280027545,3.4927617038972585,0.975609756097561,0.058823529411764705,0.022609593876401046,-0.057042879385726705,Home,4.6233786280027545,3.4927617038972585
401761635,2025-10-25T16:00:00.000Z,Old Dominion,App State,16.243579796658636,55.38439421275899,0.9358905903190675,Clear,64.2,5.8,,DraftKings,-13.5,62.5,-500.0,380.0,13.5,2.7435797966586364,-7.115605787241009,0.8333333333333334,0.20833333333333334,0.10255725698573415,-0.14422392365240086,Home,2.7435797966586364,7.115605787241009
401754573,2025-10-25T16:00:00.000Z,North Carolina,Virginia,-13.600792651631423,52.57959894607157,0.10138944658241467,Fair,66.0,3.4,,DraftKings,11.5,50.5,340.0,-440.0,-11.5,-2.100792651631423,2.0795989460715703,0.22727272727272727,0.8148148148148148,-0.1258832806903126,0.08379573860277056,Away,2.100792651631423,2.0795989460715703
401762846,2025-10-25T16:00:00.000Z,Kent State,Bowling Green,-5.3216228479318275,47.38017577778385,0.30911716099252584,,61.7,5.3,,DraftKings,7.5,47.5,250.0,-310.0,-7.5,2.1783771520681725,-0.11982422221615252,0.2857142857142857,0.7560975609756098,0.023402875278240143,-0.0652147219681356,Home,2.1783771520681725,0.11982422221615252
401762848,2025-10-25T16:00:00.000Z,Eastern Michigan,Ohio,-10.88903971000758,60.97051998275802,0.1539290849852617,,63.1,4.5,,DraftKings,11.5,60.5,350.0,-455.0,-11.5,0.6109602899924198,0.4705199827580202,0.2222222222222222,0.8198198198198198,-0.06829313723696051,0.026251095194918528,Home,0.6109602899924198,0.4705199827580202
401752746,2025-10-25T16:45:00.000Z,Arkansas,Auburn,-0.4880347498122779,62.762904065793265,0.4817734787862775,,62.6,6.5,,DraftKings,-2.5,55.5,-135.0,114.0,2.5,-2.988034749812278,7.262904065793265,0.574468085106383,0.4672897196261682,-0.09269460632010551,0.05093680158755426,Away,2.988034749812278,7.262904065793265
401762844,2025-10-25T17:00:00.000Z,Buffalo,Akron,15.642352006595857,47.71598061094321,0.9285204762863726,cloudy,57.6,15.0,-0.8999999999999999,DraftKings,-9.5,48.5,-360.0,285.0,9.5,6.142352006595857,-0.7840193890567875,0.782608695652174,0.2597402597402597,0.14591178063419863,-0.1882607360266323,Home,6.142352006595857,0.7840193890567875
401757172,2025-10-25T19:00:00.000Z,Rice,UConn,-14.011020859651104,53.55638319035016,0.09474473391899396,,79.9,3.8,,DraftKings,10.0,48.5,295.0,-375.0,-10.0,-4.011020859651104,5.056383190350161,0.25316455696202533,0.7894736842105263,-0.15841982304303137,0.11578158187047971,Away,4.011020859651104,5.056383190350161
