home_team,away_team,start_date_pred,start_date_actual,pred_spread,pred_total,pred_home_points,pred_away_points,pred_home_win_prob,pred_home_ml,pred_away_ml,actual_home_points,actual_away_points,actual_margin,actual_total,spread_error,total_error,brier,closing_spread,closing_total,spread_edge_vs_close,total_edge_vs_close,spread_circa,total_circa
ALCORN ST,MS VLY ST,2025-10-25T19:00Z,2025-10-25T19:00Z,19.88287861707929,44.22437537453921,32.053626995809246,12.17074837872996,0.893007095684577,-834.641419819698,834.641419819698,32.0,10.0,22.0,42.0,-2.117121382920711,2.224375374539207,0.011447481573849254,49.12,-10.0,-29.23712138292071,54.22437537453921,49120-22,-10-40
E KENTUCKY,TENN STATE,2025-10-25T19:00Z,2025-10-25T19:00Z,10.62848245288421,38.885710553432205,24.75709650315821,14.128614050273995,0.7467444894561077,-294.8581406392292,294.8581406392292,7.0,31.0,-24.0,38.0,34.628482452884214,0.8857105534322045,0.557627332533063,-23.5,58.0,34.128482452884214,-19.114289446567795,-23½-15,58u-35
LNDNWD,GARD-WEBB,2025-10-25T19:00Z,2025-10-25T19:00Z,4.566672080689395,65.57742296758754,35.07204752413847,30.50537544344907,0.6123376595072401,-157.95644702781652,157.95644702781652,20.0,48.0,-28.0,68.0,32.56667208068939,-2.4225770324124625,0.3749574092508047,-1.5,55.0,6.066672080689395,10.577422967587538,-1½-03,55v20-36
N COLORADO,UC DAVIS,2025-10-25T19:00Z,2025-10-25T19:00Z,2.6033296005864877,60.37547010889051,31.4893998547385,28.88607025415201,0.5646258654615564,-129.68750797750934,129.68750797750934,16.0,27.0,-11.0,43.0,13.603329600586488,17.37547010889051,0.31880236794821154,-10.5,57.0,13.103329600586488,3.375470108890511,-10V+11,57u-32
WEBER ST,E WASHGTON,2025-10-25T19:00Z,2025-10-25T19:00Z,0.7142274331151848,55.32595262331496,28.020090028215073,27.30586259509989,0.5178025574537048,-107.38392860803928,107.38392860803928,20.0,23.0,-3.0,43.0,3.7142274331151848,12.325952623314961,0.2681194885055973,-3.0,8.0,3.7142274331151848,47.32595262331496,-3+06,s8v2u-35
HOWARD,MORGAN ST,2025-10-25T19:30Z,2025-10-25T19:30Z,11.351345486618674,40.771523253283256,26.06143436995097,14.71008888333229,0.7609801859040711,-318.37535678052916,318.37535678052916,33.0,27.0,6.0,60.0,5.3513454866186745,-19.228476746716744,0.0571304715304524,-1.5,45.5,12.851345486618674,-4.728476746716744,-1½-08,45½u-21
SAMFORD,CHATTNOOGA,2025-10-25T19:30Z,2025-10-25T19:30Z,3.4242860016865295,57.93748739517554,30.680886698431035,27.256600696744503,0.5847334410985026,-140.80918113062006,140.80918113062006,13.0,49.0,-36.0,62.0,39.42428600168653,-4.062512604824462,0.34191319713889595,-10.0,54.5,13.424286001686529,3.4374873951755376,-10Y-11,54½u-20
VILLANOVA,ALBANY,2025-10-25T19:30Z,2025-10-25T19:30Z,10.646680313392052,57.23058481705096,33.9386325652215,23.291952251829457,0.7471082588153881,-295.4261200131468,295.4261200131468,29.0,16.0,13.0,45.0,-2.353319686607948,12.23058481705096,0.06395423275938472,52.5,-30.5,-41.853319686607946,87.73058481705095,52½u-42,-30½-22
TENN STATE,WOFFORD,2025-10-25T19:30Z,2025-10-25T19:30Z,2.80105175478341,42.27100461581743,22.53602818530042,19.734976430517012,0.5694860088984387,-132.28048813031324,132.28048813031324,14.0,10.0,4.0,24.0,-1.1989482452165898,18.271004615817432,0.1853422965341952,48.5,-8.5,-45.69894824521659,50.77100461581743,48½u-15,-8½-15
ALAB A&M,ALABAMA ST,2025-10-25T19:30Z,2025-10-25T19:30Z,11.248913436169918,68.38693330819504,39.81792337218248,28.569009936012563,0.7589899139312708,-314.9203945410104,314.9203945410104,13.0,56.0,-43.0,69.0,54.248913436169914,-0.6130666918049599,0.5760656894493978,,,,,,
STNY BROOK,TOWSON,2025-10-25T19:30Z,2025-10-25T19:30Z,14.265972127068736,52.026931862674,33.14645199487137,18.88047986780263,0.8137025501919811,-436.77600043935576,436.77600043935576,27.0,19.0,8.0,46.0,6.265972127068736,6.026931862673997,0.03470673980497131,52.5,-3.0,-38.234027872931264,55.026931862674,52½u-15,-3-15
IDAHO,PORTLAND,2025-10-25T20:00Z,2025-10-25T20:00Z,14.15187525437652,58.42398811303394,36.28793168370523,22.13605642932871,0.8117847153212593,-431.3064779552157,431.3064779552157,45.0,6.0,39.0,51.0,-24.84812474562348,7.423988113033943,0.03542499338669941,,-23.5,,81.92398811303394,,-23½+12
AUSTINPEAY,N ALABAMA,2025-10-25T20:00Z,2025-10-25T20:00Z,5.374952297610301,54.346647975113825,29.860800136362062,24.485847838751763,0.6315398769540894,-171.39978995105497,171.39978995105497,56.0,28.0,28.0,84.0,-22.6250477023897,-29.653352024886175,0.13576286227500756,56.0,-18.5,-50.6250477023897,72.84664797511383,560-19,-18½-15
N DAKOTA,INDIANA ST,2025-10-25T20:00Z,2025-10-25T20:00Z,6.944691294236042,59.39405365135254,33.169372472794294,26.22468117855825,0.6678714667649892,-201.08825347216103,201.08825347216103,46.0,17.0,29.0,63.0,-22.055308705763956,-3.605946348647457,0.11030936258883967,55.5,-30.5,-48.555308705763956,89.89405365135255,55½0-30,-30½ ev
NICHOLLS,MCNEESE,2025-10-25T20:00Z,2025-10-25T20:00Z,10.16878530937841,47.71467096497439,28.9417281371764,18.77294282779799,0.7374648168960942,-280.90132841517914,280.90132841517914,31.0,7.0,24.0,38.0,-13.83121469062159,9.714670964974388,0.06892472236740134,,,,,,
SOUTHERN U,FL A&M,2025-10-25T21:00Z,2025-10-25T21:00Z,4.587093809748508,58.5558368146099,31.571465312179203,26.984371502430697,0.6128264400793533,-158.28209968804566,158.28209968804566,35.0,43.0,-8.0,78.0,12.587093809748508,-19.444163185390103,0.3755562456603332,-3.0,51.5,7.587093809748508,7.055836814609897,-3-15,51½u-69
IDAHO ST,N ARIZONA,2025-10-25T22:00Z,2025-10-25T22:00Z,4.591579602221012,69.82867948268202,37.21012954245152,32.6185499402305,0.6129337806253556,-158.35372604089028,158.35372604089028,18.0,31.0,-13.0,49.0,17.59157960222101,20.82867948268202,0.3756878194316916,3.0,63.0,1.591579602221012,6.82867948268202,3-03,63u-23
GRAMBLING,JACKSON ST,2025-10-25T22:00Z,2025-10-25T22:00Z,-8.274840584253873,56.00994740013401,23.86755340794007,32.142393992193945,0.3025161157955384,230.5609016465986,-230.5609016465986,26.0,24.0,2.0,50.0,-10.274840584253873,6.00994740013401,0.4864837687249428,,,,,,
East Texas A&M,STF AUSTIN,2025-10-25T23:00Z,2025-10-25T23:00Z,17.31666865765058,43.58090450990284,30.44878658377671,13.132117926126128,0.8604385537936118,-616.5302647560459,616.5302647560459,21.0,31.0,-10.0,52.0,27.31666865765058,-8.419095490097163,0.7403545048544422,,,,,,
CAL POLY,MONTANA ST,2025-10-26T00:00Z,2025-10-26T00:00Z,-4.280352746044724,55.55781915792298,25.63873320593913,29.919085951983853,0.3945336208958776,153.46382336929216,-153.46382336929216,17.0,34.0,-17.0,51.0,12.719647253955277,4.557819157922978,0.1556567780172121,-21.2,55.5,16.919647253955276,0.05781915792297809,-212-15,55½u-15
UTAHTC,SOUTHERN U,2025-10-26T00:00Z,2025-10-26T00:00Z,9.928352821167154,54.52091319316896,32.22463300716806,22.2962801860009,0.7325429296367763,-273.8917795823966,273.8917795823966,7.0,28.0,-21.0,35.0,30.928352821167152,19.52091319316896,0.536619143760831,,,,,,
TXGV,INCAR WORD,2025-10-26T00:00Z,2025-10-26T00:00Z,5.296041035180888,46.433095961905856,25.86456849854337,20.56852746336249,0.6296787258483274,-170.03579588852617,170.03579588852617,56.0,28.0,28.0,84.0,-22.703958964819112,-37.566904038094144,0.13713784608931825,,,,,,
S DAK ST,N DAK ST,2025-10-26T00:00Z,2025-10-26T00:00Z,-1.7203847128913212,50.98729908912906,24.633457188118868,26.353841901010192,0.4571866255503218,118.72905813819166,-118.72905813819165,7.0,38.0,-31.0,45.0,29.27961528710868,5.98729908912906,0.20901961058209015,-5.0,45.5,3.279615287108679,5.48729908912906,-5v2-60,45½u-23
