start_date,home_team,away_team,spread,total,home_points,away_points,home_win_prob,home_ml,away_ml
2025-10-24T22:00Z,DARTMOUTH,COLUMBIA,16.86909075456545,52.61090162836098,34.73999619146321,17.870905436897765,0.8541313641825317,-585.5483321660338,585.5483321660338
2025-10-25T02:30Z,SACRAMENTO,MONTANA,-2.2445678317434528,59.94667453191299,28.85105335008477,31.09562118182822,0.44421721433185246,125.11509408839568,-125.11509408839568
2025-10-25T16:00Z,DAVIDSON,SAN DIEGO,-12.478609851864292,62.102583974745826,24.811987061440767,37.29059691330506,0.21772100892645307,359.3034016013602,-359.3034016013602
2025-10-25T16:00Z,DAYTON,PRESBYTERN,-2.0169171499767593,53.746979042070166,25.8650309460467,27.88194809602346,0.44984327505927596,122.29964421902932,-122.2996442190293
2025-10-25T16:00Z,MARIST,DRAKE,-5.6519948691230155,44.51653948779095,19.432272309333968,25.084267178456983,0.361950633381936,176.28077084887548,-176.28077084887548
2025-10-25T16:00Z,BUCKNELL,GEORGETOWN,-1.6959579362610526,59.74290825617165,29.0234751599553,30.719433096216353,0.45779221903078016,118.43971094946983,-118.43971094946983
2025-10-25T16:00Z,PRINCETON,HARVARD,-15.133471247436642,52.140865311344356,18.50369703195386,33.6371682793905,0.17211460195759398,481.0082286024648,-481.0082286024648
2025-10-25T16:00Z,WAGNER,DUQUESNE,-9.51046059854092,51.02169212941271,20.755615765435895,30.266076363976815,0.2761210379554689,262.1600177242829,-262.16001772428297
2025-10-25T16:00Z,MERCYHURST,CORNELL,-0.6284961635925903,53.981522882342546,26.67651335937498,27.30500952296757,0.48433317328788617,106.46944193632655,-106.46944193632655
2025-10-25T16:00Z,RHODE ISLD,NEWHVN,17.30649976991005,53.149848474522074,35.22817412221606,17.92167435230601,0.8602973467820214,-615.8060186872015,615.8060186872015
2025-10-25T16:00Z,YALE,PENN,5.651617131746473,53.21443192844424,29.43302453009536,23.781407398348886,0.6380405178041462,-176.27401662015495,176.27401662015495
2025-10-25T17:00Z,HOLY CROSS,COLGATE,-3.9818454642234506,53.888559693807736,24.95335711479214,28.93520257901559,0.4017324727157856,148.9218741118475,-148.9218741118475
2025-10-25T17:00Z,FORDHAM,LEHIGH,-22.984906870465835,52.67578648760457,14.845439808569365,37.8303466790352,0.07542200017239231,1225.873084397519,-1225.873084397519
2025-10-25T17:00Z,STETSON,STTHOM,-11.634266216598338,63.88606476159852,26.12589927250009,37.760165489098426,0.23356959677636446,328.13791426692774,-328.13791426692774
2025-10-25T17:00Z,VALPO,MOREHEAD,2.7939914140861397,56.06634079083271,29.430166102459427,26.636174688373288,0.5693126375322617,-132.18698460763576,132.18698460763576
2025-10-25T17:00Z,CORNELL,BROWN,0.9617572755337811,50.80145083254918,25.881604054041482,24.9198467785077,0.5239659194318512,-110.0689931289154,110.0689931289154
2025-10-25T17:00Z,NC A&T,CAMPBELL,3.7530104328664535,55.300008562895336,29.526509497880895,25.77349906501444,0.5927260939724392,-145.53500364256794,145.53500364256794
2025-10-25T17:00Z,NEW HAMP,WM & MARY,-6.707197098800755,51.16672769620365,22.229765298701448,28.936962397502203,0.33753505230544784,196.26552654894738,-196.26552654894735
2025-10-25T17:00Z,TENN TECH,SE MO ST,19.94390842131682,53.95750968368603,36.95070905250142,17.006800631184603,0.8937085053913862,-840.8090493808534,840.8090493808534
2025-10-25T17:00Z,MAINE,ELON,-3.845018270969664,42.498116919795365,19.32654932441285,23.171567595382513,0.40504356005428277,146.8870261425667,-146.8870261425667
2025-10-25T17:00Z,RHODE ISLD,BRYANT,13.78503221120879,45.71502828581056,29.750030248509677,15.964998037300887,0.8055363969970807,-414.2350468457524,414.2350468457524
2025-10-25T17:00Z,NC CENT,DELWARE ST,11.437453709511857,59.5987495320508,35.51810162078133,24.080647911269473,0.7626463070659011,-321.31217241167985,321.31217241167985
2025-10-25T18:00Z,S DAKOTA,W ILLINOIS,13.46361792949444,59.73938013833665,36.601499033915545,23.137881104421105,0.7999593714107848,-399.8984491562995,399.8984491562995
2025-10-25T18:00Z,YNGTOWN ST,MURRAY ST,16.253227592896376,65.09991535356463,40.6765714732305,24.423343880334127,0.8451440462933602,-545.7614163769297,545.7614163769297
2025-10-25T18:00Z,NORFOLK,SCAR STATE,-3.176241664681747,49.45397085410336,23.138864594710807,26.315106259392554,0.4213210342930827,137.34870054087355,-137.34870054087358
2025-10-25T18:00Z,FURMAN,CITADEL,9.921092451451795,54.705727642274695,32.31341004686325,22.392317595411452,0.7323935821487624,-273.68311568517754,273.68311568517754
2025-10-25T18:00Z,HAMPTON,MONMOUTH,-13.525098329239217,68.9860068123203,27.73045424154054,41.255552570779756,0.1989664766948439,402.5972297502689,-402.5972297502689
2025-10-25T18:00Z,CHARLES SO,E ILLINOIS,-1.4740154813840327,56.15576366727339,27.34087409294468,28.814889574328713,0.46329897851501367,115.84334228520083,-115.84334228520083
2025-10-25T18:00Z,W GEORGIA,CENT ARK,3.268283654721742,54.912318026323156,29.09030084052245,25.822017185800707,0.5809278563716921,-138.62239836369093,138.62239836369093
2025-10-25T18:30Z,E TENN ST,W ILLINOIS,5.582538946747736,61.64855779862039,33.61554837268406,28.033009425936324,0.6364210673094594,-175.0434390133236,175.0434390133236
2025-10-25T19:00Z,WEBER ST,E WASHGTON,1.9048005181379644,53.477927153678124,27.691363835908046,25.78656331777008,0.5473821412553931,-120.93692961511216,120.93692961511216
2025-10-25T19:00Z,N COLORADO,UC DAVIS,4.087430549508856,59.4405317294444,31.76398113947663,27.676550589967775,0.6008177854785286,-150.51216302278706,150.51216302278706
