team,plays_mean,pass_rate,plays_var,pass_rate_var,pass_attempts_mean,rush_attempts_mean
ARKANSAS STATE,74.75,0.5666874277661919,22.785714285714285,0.008277466254071,42.25,32.5
AUBURN,66.25,0.4714986039879775,15.357142857142858,0.0192655213903286,31.0,35.25
CINCINNATI,59.25,0.4551995731149457,144.5,0.0060677685896863,27.0,32.25
FLORIDA STATE,72.57142857142857,0.3927889600609535,76.28571428571429,0.01374146159285,29.0,43.57142857142857
GEORGIA TECH,63.0,0.4275635385740724,118.85714285714286,0.0054165987840719,27.0,36.0
HAWAI'I,,,,,,
KENTUCKY,67.71428571428571,0.4684806206271159,76.9047619047619,0.0175434492741202,32.0,35.714285714285715
NC STATE,64.25,0.5442685781869363,48.5,0.0091480037446063,34.75,29.5
NEBRASKA,64.375,0.5382260393074287,81.69642857142857,0.0082377427095086,34.75,29.625
OKLAHOMA,67.375,0.5254153840396996,31.125,0.0069688557049392,35.25,32.125
OREGON STATE,69.75,0.5451856696000346,269.35714285714283,0.0145832561188856,38.5,31.25
SAN JOSE STATE,,,,,,
TENNESSEE,71.75,0.4917741561627837,145.92857142857142,0.0065927728106015,35.625,36.125
TROY,65.25,0.4804021049897576,93.07142857142856,0.0167067066476912,31.25,34.0
USC,,,,,,
UTAH,72.375,0.4145237572828316,65.98214285714286,0.0129606049585344,30.25,42.125
WAKE FOREST,,,,,,
WASHINGTON STATE,62.25,0.5418391506264907,48.214285714285715,0.0101111526469262,33.5,28.75
