season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under
2025,4,regular,fbs,401762470,South Florida,South Carolina State,2025-09-20T16:00:00+00:00,fanduel,spread,2025-09-20T13:00:40+00:00,2025-09-20T16:25:39+00:00,-32.5,-110.0,-110.0,-38.5,-114.0,-114.0,,,,
2025,4,regular,fbs,401762470,South Florida,South Carolina State,2025-09-20T16:00:00+00:00,fanduel,total,2025-09-20T13:00:40+00:00,2025-09-20T16:25:39+00:00,56.5,,,57.5,,,-110.0,-110.0,-122.0,-106.0
2025,4,regular,fbs,401754617,Virginia Tech,Wofford,2025-09-20T16:00:00+00:00,fanduel,spread,2025-09-20T13:00:40+00:00,2025-09-20T16:25:39+00:00,-34.5,-115.0,-105.0,-34.5,-110.0,-118.0,,,,
2025,4,regular,fbs,401754617,Virginia Tech,Wofford,2025-09-20T16:00:00+00:00,fanduel,total,2025-09-20T13:00:40+00:00,2025-09-20T16:25:39+00:00,48.5,,,48.5,,,-110.0,-110.0,-114.0,-114.0
2025,4,regular,fbs,401762822,Central Michigan,Wagner,2025-09-20T17:00:00+00:00,fanduel,spread,2025-09-20T14:00:39+00:00,2025-09-20T17:25:39+00:00,-28.5,-110.0,-110.0,-40.5,-120.0,-106.0,,,,
2025,4,regular,fbs,401762822,Central Michigan,Wagner,2025-09-20T17:00:00+00:00,fanduel,total,2025-09-20T14:00:39+00:00,2025-09-20T17:25:39+00:00,45.5,,,55.5,,,-110.0,-110.0,-108.0,-120.0
2025,4,regular,fbs,401762823,Ohio,Gardner-Webb,2025-09-20T19:30:00+00:00,fanduel,spread,2025-09-20T16:30:39+00:00,2025-09-20T19:55:39+00:00,-31.5,-110.0,-110.0,-17.5,-115.0,-113.0,,,,
2025,4,regular,fbs,401762823,Ohio,Gardner-Webb,2025-09-20T19:30:00+00:00,fanduel,total,2025-09-20T16:30:39+00:00,2025-09-20T19:55:39+00:00,55.5,,,52.5,,,-105.0,-115.0,-110.0,-118.0
2025,4,regular,fbs,401760375,San José State,Idaho,2025-09-20T21:00:00+00:00,fanduel,spread,2025-09-20T18:00:39+00:00,2025-09-20T21:25:39+00:00,-13.5,-122.0,100.0,-4.5,-114.0,-114.0,,,,
2025,4,regular,fbs,401760375,San José State,Idaho,2025-09-20T21:00:00+00:00,fanduel,total,2025-09-20T18:00:39+00:00,2025-09-20T21:25:39+00:00,50.5,,,48.5,,,-110.0,-110.0,-114.0,-114.0
2025,4,regular,fbs,401762821,Akron,Duquesne,2025-09-20T22:00:00+00:00,fanduel,spread,2025-09-20T19:00:39+00:00,2025-09-20T22:25:38+00:00,-9.5,-115.0,-105.0,-12.5,-114.0,-114.0,,,,
2025,4,regular,fbs,401762821,Akron,Duquesne,2025-09-20T22:00:00+00:00,fanduel,total,2025-09-20T19:00:39+00:00,2025-09-20T22:25:38+00:00,51.5,,,49.5,,,-112.0,-108.0,-110.0,-118.0
2025,4,regular,fbs,401761609,Georgia Southern,Maine,2025-09-20T23:00:00+00:00,fanduel,spread,2025-09-20T20:00:40+00:00,2025-09-20T23:25:39+00:00,-22.5,-105.0,-115.0,-14.5,-108.0,-120.0,,,,
2025,4,regular,fbs,401761609,Georgia Southern,Maine,2025-09-20T23:00:00+00:00,fanduel,total,2025-09-20T20:00:40+00:00,2025-09-20T23:25:39+00:00,57.5,,,55.5,,,-110.0,-110.0,-115.0,-113.0
2025,4,regular,fbs,401757260,Jacksonville State,Murray State,2025-09-20T23:00:00+00:00,fanduel,spread,2025-09-20T20:00:40+00:00,2025-09-20T23:25:39+00:00,-35.5,-122.0,100.0,-30.5,-110.0,-118.0,,,,
2025,4,regular,fbs,401757260,Jacksonville State,Murray State,2025-09-20T23:00:00+00:00,fanduel,total,2025-09-20T20:00:40+00:00,2025-09-20T23:25:39+00:00,60.5,,,49.5,,,-110.0,-110.0,-114.0,-114.0
2025,4,regular,fbs,401760377,Utah State,McNeese,2025-09-21T00:00:00+00:00,fanduel,spread,2025-09-20T21:00:39+00:00,2025-09-21T00:25:39+00:00,-23.5,-115.0,-105.0,-19.5,-114.0,-114.0,,,,
2025,4,regular,fbs,401760377,Utah State,McNeese,2025-09-21T00:00:00+00:00,fanduel,total,2025-09-20T21:00:39+00:00,2025-09-21T00:25:39+00:00,62.5,,,52.5,,,-115.0,-105.0,-108.0,-120.0
2025,4,regular,fbs,401761612,Texas State,Nicholls,2025-09-21T00:00:00+00:00,fanduel,spread,2025-09-20T21:00:39+00:00,2025-09-21T00:25:39+00:00,-33.5,-110.0,-110.0,-28.5,-108.0,-120.0,,,,
2025,4,regular,fbs,401761612,Texas State,Nicholls,2025-09-21T00:00:00+00:00,fanduel,total,2025-09-20T21:00:39+00:00,2025-09-21T00:25:39+00:00,56.5,,,50.5,,,-110.0,-110.0,-114.0,-114.0
