wager_id,wager_date,description,description_short,bet_type,status,stake,to_win,to_return,placed_at,status_badge,device_context,details_extra,result_badge,result_context,source,ingested_at,status_badge_secondary,rotation,matchup,selection,market_type,bet_line,bet_price,bet_probability,status_normalized,net_profit,roi,record_win,record_loss,record_push,closing_line,closing_price,clv_line,clv_price,closing_provider,closing_timestamp,sport,market,odds_american,risk,payout,odds_decimal
907519064-1,2025-10-28,FOOTBALL - 305 Jacksonville State -4½ -110,jacksonville state -4½ -11 ...for game,Spread,Lost,33.0,,,10/28/25 10:49 GMT-5,,Desktop - FOOTBALL - 305 Jacksonville State -4½ -110 for GAME,10/29/25 10:05 GMT-5,,10/29/2025,betonline,2025-11-01 16:35:18.436171+00:00,,305.0,Jacksonville State,Jacksonville State,spread,-4.5,-110.0,0.5238095238095238,lost,-33.0,-1.0,0.0,1.0,0.0,-5.625,-56.5,1.125,-53.5,SharpConsensus,1761780317.0,,,,,,
907162798-2,2025-10-28,FOOTBALL - 302 Kennesaw State -10 -110,kennesaw state -10 -110for game,Spread,Won,26.5,24.09,50.59,10/28/25 07:04 GMT-5,,Mobile - FOOTBALL - 302 Kennesaw State -10 -110 for GAME,10/28/25 10:47 GMT-5,,10/28/2025,betonline,2025-11-01 16:35:18.436199+00:00,Won,302.0,Kennesaw State,Kennesaw State,spread,-10.0,-110.0,0.5238095238095238,won,24.090000000000003,0.909056603773585,1.0,0.0,0.0,-11.5,-110.0,1.5,0.0,SharpConsensus,1761696019.0,,,,,,
907162798-1,2025-10-28,FOOTBALL - 303 James Madison/Texas State over 55½ -110,james madison/texas state  ...-110 for game for Game,Total,Won,26.5,24.09,50.59,10/28/25 07:04 GMT-5,,Mobile - FOOTBALL - 303 James Madison/Texas State over 55½ -110 for GAME,10/28/25 10:47 GMT-5,,10/28/2025,betonline,2025-11-01 16:35:18.436230+00:00,Won,303.0,James Madison/Texas State over,Over,total,55.5,-110.0,0.5238095238095238,won,24.090000000000003,0.909056603773585,1.0,0.0,0.0,55.5,,0.0,,SharpConsensus,1761695914.0,,,,,,
,,Maryland +21.5 vs Indiana,,,Pending,,20.0,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:35:18.438464+00:00,,,Maryland +21.5 vs Indiana,Maryland +21.5 vs Indiana,spread,21.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Point Spread,-110.0,22.0,42.0,1.9090909090909092
,,Columbia Lions,,,Pending,,23.860000000000003,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561087+00:00,,,Columbia Lions,Columbia Lions,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,1110,2.15,26.01,1110.0
,,Holy Cross Crusaders,,,Pending,,20.25,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561122+00:00,,,Holy Cross Crusaders,Holy Cross Crusaders,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,135,15.0,35.25,135.0
,,Morehead State -12.5,,,Pending,,10.0,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561156+00:00,,,Morehead State -12.5,Morehead State -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,11.0,21.0,1.9090909090909092
,,UConn -12.5,,,Pending,,30.0,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561187+00:00,,,UConn -12.5,UConn -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,33.0,63.0,1.9090909090909092
,,Navy +6.5,,,Pending,,15.450000000000005,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561214+00:00,,,Navy +6.5,Navy +6.5,spread,6.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,17.0,32.45,1.9090909090909092
,,Mississippi -470 / Virginia -230 / San Diego State -415,,,Pending,,4.900000000000002,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561241+00:00,,,Mississippi -470 / Virginia -230 / San Diego State -415,Mississippi -470 / Virginia -230 / San Diego State -415,moneyline,,-470.0,0.8245614035087719,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Parlay,Parlay,30.77,35.67,
