season,date,week,season_type,home_team,away_team,actual_home_points,actual_away_points,actual_margin,actual_total,pred_home_points,pred_away_points,pred_spread,pred_total,pred_home_win_prob,spread_error,total_error,brier
2024,2024-08-24T16:00:00.000Z,1,regular,W GEORGIA,ILL STATE,24.0,21.0,3.0,45.0,31.127506345637336,22.12219450370373,9.005311841933604,53.24970084934107,0.7132253527018738,6.0053118419336045,8.249700849341068,0.08223969833296467
2024,2024-08-24T19:30:00.000Z,1,regular,TENN STATE,MCNEESE,26.0,23.0,3.0,49.0,31.089397259879362,20.42082654779901,10.66857071208035,51.51022380767837,0.7475454761644182,7.668570712080349,2.510223807678372,0.06373328660505032
2024,2024-08-24T20:00:00.000Z,1,regular,NEW HAMP,MONTANA ST,31.0,35.0,-4.0,66.0,23.467809357629353,29.617036258001118,-6.149226900371764,53.08484561563047,0.3503681674496482,-2.1492269003717643,-12.91515438436953,0.12275785276202474
2024,2024-08-24T23:00:00.000Z,1,regular,SCAR STATE,N ALABAMA,37.0,15.0,22.0,52.0,32.767343906112664,19.154179471743838,13.61316443436883,51.9215233778565,0.8025660965032294,-8.38683556563117,-0.07847662214349782,0.03898014624997212
2024,2024-08-24T23:30:00.000Z,1,regular,NORFOLK,FL A&M,23.0,24.0,-1.0,47.0,27.129215617295564,25.564483166782217,1.5647324505133504,52.69369878407778,0.5389527700712701,2.5647324505133504,5.693698784077782,0.2904700883674953
2024,2024-08-29T04:00:00.000Z,1,regular,SCAR STATE,TEXAS STHN,21.0,42.0,-21.0,63.0,28.960907974651242,22.231395797289807,6.729512177361436,51.19230377194105,0.6629743987381255,27.729512177361435,-11.807696228058951,0.43953505338217896
2024,2024-08-29T22:00:00.000Z,1,regular,MOREHEAD,TENN STATE,17.0,10.0,7.0,27.0,32.80471719553903,19.067376595852352,13.737340599686679,51.87209379139138,0.8047149070677707,6.737340599686679,24.87209379139138,0.03813626752154943
2024,2024-08-29T22:00:00.000Z,1,regular,TENN MARTN,SO UTAH,7.0,35.0,-28.0,42.0,28.212014890316645,25.23477977264404,2.9772351176726097,53.446794662960684,0.5738078872764506,30.97723511767261,11.446794662960684,0.32925549150066385
2024,2024-08-29T22:00:00.000Z,1,regular,VILLANOVA,YNGTOWN ST,24.0,17.0,7.0,41.0,30.89992493689922,22.82441247634784,8.075512460551382,53.72433741324706,0.6931220786299122,1.0755124605513817,12.724337413247063,0.09417405862442582
2024,2024-08-29T22:00:00.000Z,1,regular,BUTLER,HOWARD,44.0,7.0,37.0,51.0,28.997881580970944,23.19824609290239,5.799635488068552,52.196127673873335,0.641502277459874,-31.200364511931447,1.1961276738733346,0.12852061706645718
2024,2024-08-29T23:00:00.000Z,1,regular,CENT ARK,CENT CT ST,66.0,10.0,56.0,76.0,32.479430431212684,20.147614744693108,12.331815686519572,52.62704517590579,0.7795690207914361,-43.668184313480424,-23.372954824094208,0.04858981659484634
2024,2024-08-29T23:00:00.000Z,1,regular,NWSTATE,W CAROLINA,38.0,21.0,17.0,59.0,29.60467731856607,22.245866475856424,7.358810842709647,51.85054379442249,0.6772152157308339,-9.641189157290352,-7.149456205577508,0.10419001695569212
2024,2024-08-29T23:00:00.000Z,1,regular,DELWARE ST,NC A&T,45.0,13.0,32.0,58.0,32.61087302870083,19.99293678095026,12.617936247750576,52.60380980965109,0.7848332278607671,-19.382063752249422,-5.396190190348911,0.04629673983281655
2024,2024-08-29T23:00:00.000Z,1,regular,VALPO,LAFAYETTE,30.0,13.0,17.0,43.0,32.70088248102994,19.76918223347632,12.931700247553618,52.470064714506265,0.7905212688298953,-4.068299752446382,9.470064714506265,0.04388133881263701
2024,2024-08-29T23:00:00.000Z,1,regular,SCAR STATE,STETSON,56.0,24.0,32.0,80.0,38.011039035736644,14.033502821666005,23.977536214070632,52.04454185740265,0.9330107662083268,-8.022463785929368,-27.95545814259735,0.004487557443995452
2024,2024-08-29T23:00:00.000Z,1,regular,TENN STATE,SOUTHERN U,31.0,33.0,-2.0,64.0,33.15064913030274,18.185742057801257,14.964907072501486,51.336391188103995,0.8251848662315673,16.964907072501486,-12.663608811896005,0.6809300634576095
2024,2024-08-29T23:00:00.000Z,1,regular,WM & MARY,MAINE,41.0,7.0,34.0,48.0,33.797681934923354,18.88103498721801,14.916646947705342,52.67871692214136,0.8244067750300867,-19.083353052294658,4.678716922141362,0.030832980655334567
2024,2024-08-29T23:00:00.000Z,1,regular,DELWARE ST,BRYANT,48.0,17.0,31.0,65.0,31.620442494741155,20.800428298529695,10.820014196211462,52.42087079327085,0.7505593155494649,-20.17998580378854,-12.57912920672915,0.06222065505915144
2024,2024-08-29T23:00:00.000Z,1,regular,WEBER ST,E WASHGTON,21.0,41.0,-20.0,62.0,28.791538681943837,22.985423605853878,5.8061150760899585,51.776962287797716,0.6416535550757799,25.80611507608996,-10.223037712202284,0.4117192847413869
2024,2024-08-29T23:00:00.000Z,1,regular,ELON,MERCYHURST,25.0,28.0,-3.0,53.0,31.383142922705446,20.86358570881726,10.519557213888188,52.24672863152271,0.7445613701662689,13.519557213888188,-0.7532713684772929,0.5543716339438717
2024,2024-08-29T23:00:00.000Z,1,regular,MERCER,PRESBYTERN,63.0,10.0,53.0,73.0,37.13652955411672,16.814588785498046,20.321940768618667,53.951118339614766,0.8979792869075671,-32.67805923138133,-19.048881660385234,0.010408225899888506
