game_id,week,home_team,away_team,vegas_spread,vegas_spread_closing,raw_spread
401762846,9,Kent State,Bowling Green,-8.5,,-1.274943996302025
401756931,9,Iowa State,BYU,2.5,,-2.5534967905989063
401760399,9,Fresno State,San Diego State,-3.5,,-7.6546805756311835
401761635,9,Old Dominion,App State,13.5,,13.892464759072634
401756935,9,West Virginia,TCU,-15.0,,-9.72371014448724
401761637,9,Southern Miss,UL Monroe,11.5,,17.20884942822832
401762495,9,Tulsa,Temple,-6.0,,-3.1806043760335077
401762845,9,Northern Illinois,Ball State,5.5,,7.106929078249229
401761636,9,Arkansas State,Georgia Southern,2.0,,3.989708511296379
401752882,9,Iowa,Minnesota,9.0,,12.422390531552828
401754574,9,Pittsburgh,NC State,8.0,,8.793364540976569
401752883,9,Nebraska,Northwestern,7.5,,8.119170377393436
401757285,9,Florida International,Kennesaw State,-2.0,-9.5,-9.916424141992819
401757286,9,Louisiana Tech,Western Kentucky,3.0,-7.5,8.559949461942
401757287,9,Delaware,Middle Tennessee,10.0,,6.535100653389496
401757288,9,New Mexico State,Missouri State,-2.0,,2.0026687443413844
401761634,9,Georgia State,South Alabama,-6.5,,-3.3637549990620395
401762874,9,Miami (OH),Western Michigan,2.5,,0.6038009229699568
401752885,9,Indiana,UCLA,24.0,,26.86494339844072
401752886,9,Oregon,Wisconsin,34.0,,21.166328078489528
401752750,9,Oklahoma,Ole Miss,4.5,,4.738777463847931
401754571,9,Georgia Tech,Syracuse,18.0,,15.551759434301133
401752751,9,South Carolina,Alabama,-13.5,,-9.769313926131131
401756934,9,Utah,Colorado,15.0,,20.159191627018952
401762492,9,Charlotte,North Texas,-27.0,,-23.090479310226296
401762494,9,Memphis,South Florida,-4.0,,2.4138044800593423
401761638,9,Troy,Louisiana,9.5,,6.34855096009146
401762847,9,Central Michigan,Massachusetts,15.5,,17.98844791922628
401752746,9,Arkansas,Auburn,-1.5,,-1.091234722625845
401762844,9,Buffalo,Akron,10.5,,9.720500242900718
401760398,9,Wyoming,Colorado State,5.0,,4.871166443611405
401760400,9,New Mexico,Utah State,2.5,,6.420586304522336
401756932,9,Kansas,Kansas State,3.0,,0.7449306283748336
401756930,9,Cincinnati,Baylor,5.5,,3.5737354436960476
401756933,9,Texas Tech,Oklahoma State,39.0,,33.462976032219856
401756929,9,Arizona State,Houston,8.5,,5.440786608876946
401754573,9,North Carolina,Virginia,-9.0,,-6.4127330100150655
401752749,9,Mississippi State,Texas,-6.5,,-5.033815928926812
401754572,9,Miami,Stanford,30.0,,24.60902994820402
401754372,9,Virginia Tech,California,5.0,,3.509527930825309
