season,week,target_spread,target_provider,provider_count,provider_list,spread_mean,spread_std,spread_min,spread_max,spread_rating_diff,power_diff,offense_diff,defense_diff,special_diff
2023,1,23.5,mean,1,William Hill (New Jersey),23.5,0.0,23.5,23.5,3.390489085159726,5.964898509564207,2.1247115622197543,-3.6834267725541276,0.7838008739516256
2023,1,4.5,mean,1,William Hill (New Jersey),4.5,0.0,4.5,4.5,-4.942670712422997,0.7832999765374735,-0.1826508879458384,-1.1169610892242927,-0.7550511237049056
2023,1,9.5,mean,1,William Hill (New Jersey),9.5,0.0,9.5,9.5,0.10518001129271992,1.1124684716346498,1.4689237026939244,0.57824824994959,1.1089650944515783
2023,1,-25.5,mean,1,William Hill (New Jersey),-25.5,0.0,-25.5,-25.5,-15.326393338873393,0.23999540854183027,-0.5560109660128474,-0.63744482269958,0.7928077592754879
2023,1,14.5,ESPN Bet,1,ESPN Bet,14.5,0.0,14.5,14.5,1.1326504865375622,-2.4064768156528205,0.2931818976179603,2.4553875916108976,-1.2213556082994148
2023,1,27.0,mean,1,William Hill (New Jersey),27.0,0.0,27.0,27.0,-3.9688538302265735,-2.588651868365586,-1.241675016356678,1.4136918300474277,0.333574890192597
2023,1,-15.0,mean,1,William Hill (New Jersey),-15.0,0.0,-15.0,-15.0,12.464450322284968,1.6694687294110557,-0.10830301539512616,-1.5981190235486944,0.8982636062874377
2023,1,-17.5,mean,1,William Hill (New Jersey),-17.5,0.0,-17.5,-17.5,-9.886129333382458,-2.6891631786986547,-1.3224297235501825,1.270113118408737,-0.48310168369867706
2023,1,5.0,mean,1,William Hill (New Jersey),5.0,0.0,5.0,5.0,4.118198262985692,-0.38058745606733146,-0.7595121947831991,-0.19896869406087592,0.8997802232749589
2023,1,36.0,mean,1,William Hill (New Jersey),36.0,0.0,36.0,36.0,10.528859662074183,1.8043973788549432,1.7971135978874249,0.07993356095054872,0.4360867095903369
2023,1,13.5,mean,1,William Hill (New Jersey),13.5,0.0,13.5,13.5,6.118006980874222,-0.7401143328244218,-0.3638998714442066,0.37854818275258445,0.011668606861846176
2023,1,-8.0,mean,1,William Hill (New Jersey),-8.0,0.0,-8.0,-8.0,-12.006622030044229,-2.939770777752342,-1.183483913226892,1.674201624576822,-0.4104261997431389
2023,1,-23.5,mean,1,William Hill (New Jersey),-23.5,0.0,-23.5,-23.5,1.807983101051068,-1.9938417659296928,-1.6898207138085855,0.0396571037598934,-1.321819741806069
2023,1,-19.0,mean,1,William Hill (New Jersey),-19.0,0.0,-19.0,-19.0,-11.173896985882639,3.470390735829992,1.0680971524446439,-2.5108704186662623,-0.5428841764045718
2023,1,7.0,Bovada,2,Bovada|William Hill (New Jersey),6.75,0.25,6.5,7.0,2.5884245297427433,1.135587247359916,1.0221763398358024,-0.1809383264164086,-0.33763709446147483
2023,1,19.0,Bovada,2,Bovada|William Hill (New Jersey),19.0,0.0,19.0,19.0,8.393805207646302,-2.3610746751999594,-0.015154763473278043,2.1903385602983523,-0.7779067571416484
2023,1,-21.0,Bovada,1,Bovada,-21.0,0.0,-21.0,-21.0,-0.06460673110574744,0.7007282669544477,0.11114954747596945,-0.8423049988071796,-1.2636313966435067
2023,1,-1.5,mean,1,William Hill (New Jersey),-1.5,0.0,-1.5,-1.5,5.515295294032607,1.547557750197637,2.062099409608037,0.58628651727181,0.3587242893070494
2023,1,23.0,Bovada,2,Bovada|William Hill (New Jersey),23.75,0.75,23.0,24.5,7.50742080450581,7.228262903773427,3.674156383247986,-3.5565146395359792,-0.012040595052693615
2023,1,34.5,Bovada,1,Bovada,34.5,0.0,34.5,34.5,4.733584658843378,1.2111101220834726,0.6209242089322194,-0.3526640092806361,1.1876095193530831
2023,1,25.5,Bovada,1,Bovada,25.5,0.0,25.5,25.5,13.778731421997982,1.287006378400669,0.6140101101154598,-0.5694999914960481,0.517481383945805
2023,1,28.0,Bovada,1,Bovada,28.0,0.0,28.0,28.0,12.720713725643382,-0.9459121374245543,0.10584592778362545,1.1743106649379267,0.6127629986487371
2023,1,5.5,Bovada,1,Bovada,5.5,0.0,5.5,5.5,11.305879354278337,-2.1682033344946503,-1.0074053171580142,1.061846916752315,-0.4947555029216059
2023,1,-2.5,Bovada,1,Bovada,-2.5,0.0,-2.5,-2.5,1.2887650068562113,5.08231780407147,2.9498078044643226,-1.9146076366362694,1.0895118148543874
2023,1,7.5,Bovada,1,Bovada,7.5,0.0,7.5,7.5,-11.320756606235376,-0.8157937560384011,0.05465771221977578,0.8895918836953705,0.09570207718596804
2023,1,-19.5,Bovada,1,Bovada,-19.5,0.0,-19.5,-19.5,-10.878232739891606,-1.6980547506862051,-0.8207252250311405,0.7817067260157924,-0.4781139981963599
2023,1,28.5,Bovada,1,Bovada,28.5,0.0,28.5,28.5,4.798161094471044,-7.993630790739943,-2.3134889757684998,5.635386785833356,-0.22377514569043577
2023,1,-3.5,Bovada,1,Bovada,-3.5,0.0,-3.5,-3.5,-0.7442573730046993,0.02189347137722697,0.9785648923042352,0.6394676192869542,-1.5860190082002692
2023,1,21.0,mean,1,William Hill (New Jersey),21.0,0.0,21.0,21.0,2.7937419025755004,-3.6123606097788272,-1.3629958396632518,2.3485862051884783,0.4961071753645169
2023,1,-3.5,Bovada,2,Bovada|William Hill (New Jersey),-3.5,0.0,-3.5,-3.5,-1.9980073035688368,-2.7258844148251358,-1.0985796517964892,1.437812895961069,-0.9474593353378875
2023,2,24.5,mean,1,William Hill (New Jersey),24.5,0.0,24.5,24.5,-11.748494505839442,1.7951560927582546,0.5693310701580165,-1.2809647396423718,-0.27569858521066865
2023,2,-22.5,mean,1,Caesars Sportsbook (Colorado),-22.5,0.0,-22.5,-22.5,0.17506258721537604,2.159895634335035,0.912108917920303,-1.1443639768663343,0.5171136977419887
2023,2,13.0,mean,1,William Hill (New Jersey),13.0,0.0,13.0,13.0,-4.689722324578728,1.3229502274542064,1.3677677016275334,0.1574793318268476,0.563309288267604
2023,2,16.5,ESPN Bet,1,ESPN Bet,16.5,0.0,16.5,16.5,5.873459361965357,4.7248663605324905,1.5599497634684705,-3.1518373878805823,0.06539604591719017
2023,2,-1.5,mean,1,William Hill (New Jersey),-1.5,0.0,-1.5,-1.5,5.515295294032607,1.547557750197637,2.062099409608037,0.58628651727181,0.3587242893070494
2023,2,35.5,mean,1,Caesars Sportsbook (Colorado),35.5,0.0,35.5,35.5,15.684191843562738,4.354761208892865,2.398198438259768,-1.7378920840626622,1.0933534328521755
2023,2,7.5,mean,1,William Hill (New Jersey),7.5,0.0,7.5,7.5,-2.171295957734923,0.3123529129082976,-0.670487650376524,-1.0109454036759313,-0.14052420195554774
2023,2,18.0,mean,1,William Hill (New Jersey),18.0,0.0,18.0,18.0,15.954796177524095,1.2483443813315749,1.619271242912003,0.2975504100351875,-0.36688225772620287
2023,2,7.5,mean,1,William Hill (New Jersey),7.5,0.0,7.5,7.5,9.46066722470433,4.16602117638288,1.241806424602874,-2.597769139106806,1.6322280633659996
2023,2,3.0,ESPN Bet,1,ESPN Bet,3.0,0.0,3.0,3.0,-7.0723812481179955,-1.1156830687053694,0.20530904710838865,1.6363895889466318,1.5769873656643685
2023,2,6.5,Bovada,1,Bovada,6.5,0.0,6.5,6.5,-5.311670227990241,-3.670762838965601,-1.6967852655522129,1.7589690594132545,-1.0750425700006674
2023,2,3.0,mean,1,William Hill (New Jersey),3.0,0.0,3.0,3.0,9.878479152309776,-1.5102428875595355,-0.3704566114723184,1.0255573513414633,-0.57114462372877
2023,2,11.0,mean,1,William Hill (New Jersey),11.0,0.0,11.0,11.0,-17.00080942806572,-2.648584065177904,0.046090447205695995,2.379868386686318,-1.5740306284864087
2023,2,34.5,Bovada,1,Bovada,34.5,0.0,34.5,34.5,-5.360346870098173,1.4889339754047477,1.0033666057614823,-0.290899770768236,0.9733379943751466
2023,2,-1.5,ESPN Bet,1,ESPN Bet,-1.5,0.0,-1.5,-1.5,0.024368983240072417,-0.1916869532835367,-1.3929989645203729,-1.4106669734409643,-1.046774811020641
2023,3,-3.5,mean,1,William Hill (New Jersey),-3.5,0.0,-3.5,-3.5,1.3860936044526913,4.307380214319634,2.0165294709281314,-2.2404283133184055,0.25211215036548473
2023,3,-2.5,mean,1,William Hill (New Jersey),-2.5,0.0,-2.5,-2.5,-3.2698582400719367,4.135919105893111,1.7516501261845587,-2.3310791559980126,0.2659491185526992
2023,3,-5.5,mean,1,William Hill (New Jersey),-5.5,0.0,-5.5,-5.5,-0.14141240814582234,2.93908214320195,1.655856975737417,-1.0113129750629235,1.3595609620080449
2023,3,11.5,mean,1,William Hill (New Jersey),11.5,0.0,11.5,11.5,21.27916148141308,1.3970265853224806,1.3316353294114653,0.05912547201806129,0.6225836396453843
2023,3,3.0,mean,1,Caesars Sportsbook (Colorado),3.0,0.0,3.0,3.0,20.480789957158663,3.789471554010703,3.3962849512771007,-0.032002788398101445,1.8059190716775042
2023,3,-9.5,mean,1,William Hill (New Jersey),-9.5,0.0,-9.5,-9.5,-2.7887888150255424,-1.1121130001570718,-0.12568188747484121,0.8963710552702275,-0.45030028706001557
2023,3,-8.0,mean,1,William Hill (New Jersey),-8.0,0.0,-8.0,-8.0,0.3315223710990809,3.4368161054380435,-0.4510071908682479,-3.7361935851446573,0.7581485558081709
2023,3,15.5,mean,1,William Hill (New Jersey),15.5,0.0,15.5,15.5,3.4271230020294574,3.640476619883451,1.8102611694441533,-1.8850866007427625,-0.27435575151732483
2023,3,28.5,mean,1,William Hill (New Jersey),28.5,0.0,28.5,28.5,19.434607606960057,1.655250845702494,1.2912628474346264,-0.22049555578855756,0.7174622123965491
2023,3,24.0,mean,1,William Hill (New Jersey),24.0,0.0,24.0,24.0,2.7837521594366286,0.13631450170846515,0.93849474803066,0.5545401585554667,-1.2382004388336412
2023,3,-11.5,mean,1,William Hill (New Jersey),-11.5,0.0,-11.5,-11.5,-14.887586624952139,0.4390340081103986,-0.023104505412275267,-0.4156816868887898,0.23228413316942048
2023,3,45.5,mean,1,William Hill (New Jersey),45.5,0.0,45.5,45.5,23.098912826240486,4.743483693219429,1.7887964529653406,-2.8345063957004353,0.6009042227682644
2023,3,14.5,ESPN Bet,1,ESPN Bet,14.5,0.0,14.5,14.5,8.878523721989538,-1.9056631251053362,-1.186039828205712,0.7131509862550265,-0.03236155322298598
2023,3,-11.0,mean,1,Caesars Sportsbook (Colorado),-11.0,0.0,-11.0,-11.0,-1.2819346710428032,-1.577413385433389,-0.6561501344993628,0.9114744829020456,-0.04894384015990361
2023,3,1.0,ESPN Bet,1,ESPN Bet,1.0,0.0,1.0,1.0,0.023530877311771725,-4.452128760762919,-1.5008566571414281,2.991777608984511,0.2025275268150999
2023,3,12.0,mean,1,William Hill (New Jersey),12.0,0.0,12.0,12.0,14.911955608192212,-0.6307209613939353,-1.3698944591080975,-0.9949852865521744,-1.2790589441900615
2023,4,16.5,Bovada,2,Bovada|Caesars Sportsbook (Colorado),15.5,1.0,14.5,16.5,18.286120632969862,4.760075085498855,1.7677830477971335,-2.9693018160032234,0.11495110849248988
2023,4,-9.0,mean,1,Caesars Sportsbook (Colorado),-9.0,0.0,-9.0,-9.0,-6.15097533789401,-2.264399383101624,-0.8639772056354937,1.2108482764548745,-0.9478695050562795
2023,4,10.5,mean,1,Caesars Sportsbook (Colorado),10.5,0.0,10.5,10.5,13.445350676351161,-0.0410497530891506,1.0035700002904808,1.0418516330348093,-0.013840601724110918
2023,4,9.5,mean,1,Caesars Sportsbook (Colorado),9.5,0.0,9.5,9.5,-15.575717775953787,-2.4060801271453705,-1.5266489193663058,0.8133395142665905,-0.3304584675623735
