game_id,week,home_team,away_team,vegas_spread,vegas_spread_closing,raw_spread
401757285,9,Florida International,Kennesaw State,-2.0,-9.5,-9.72288351847943
401757286,9,Louisiana Tech,Western Kentucky,3.0,-7.5,8.513237632773732
401757292,10,Middle Tennessee,Jacksonville State,-6.0,-4.5,-4.243979196857066
401761639,10,Texas State,James Madison,-6.0,-13.5,-10.141454894717148
401757289,10,Kennesaw State,UTEP,10.0,9.5,12.42946180816818
