week,home_team,away_team,vegas_spread,raw_spread
9,Kent State,Bowling Green,-8.5,-1.54369157481515
9,Iowa State,BYU,2.5,-2.332304442288047
9,Fresno State,San Diego State,-3.5,-7.806712528625749
9,Old Dominion,App State,13.5,13.332078553226985
9,West Virginia,TCU,-15.0,-9.667416286257717
9,Southern Miss,UL Monroe,11.5,16.630901747693173
9,Tulsa,Temple,-6.0,-2.6951887855011347
9,Northern Illinois,Ball State,5.5,6.828532198726273
9,Arkansas State,Georgia Southern,2.0,3.362088053075243
9,Iowa,Minnesota,9.0,11.526840778089953
9,Pittsburgh,NC State,8.0,8.107584796261541
9,Nebraska,Northwestern,7.5,8.597132341539302
9,Florida International,Kennesaw State,-2.0,-9.617268129233173
9,Louisiana Tech,Western Kentucky,3.0,7.7712052705691
9,Delaware,Middle Tennessee,10.0,7.173187782829723
9,New Mexico State,Missouri State,-2.0,1.4505311529991105
9,Georgia State,South Alabama,-6.5,-3.1752123765310722
9,Miami (OH),Western Michigan,2.5,1.0071931198314377
9,Indiana,UCLA,24.0,25.947135943712087
9,Oregon,Wisconsin,34.0,19.477895640278515
9,Oklahoma,Ole Miss,4.5,3.8811468217323117
9,Georgia Tech,Syracuse,18.0,14.59524987540156
9,South Carolina,Alabama,-13.5,-9.378238175628306
9,Utah,Colorado,15.0,18.556379804494785
9,Charlotte,North Texas,-27.0,-22.414595093311615
9,Memphis,South Florida,-4.0,2.06286511395445
9,Troy,Louisiana,9.5,6.117035192073529
9,Central Michigan,Massachusetts,15.5,17.81903125859606
9,Arkansas,Auburn,-1.5,-0.9994843433471943
9,Buffalo,Akron,10.5,10.35678178959131
9,Wyoming,Colorado State,5.0,4.129596597898669
9,New Mexico,Utah State,2.5,5.845167573892199
9,Kansas,Kansas State,3.0,0.9915024680059756
9,Cincinnati,Baylor,5.5,3.339355012457122
9,Texas Tech,Oklahoma State,39.0,31.863500644774547
9,Arizona State,Houston,8.5,6.137086661428755
9,North Carolina,Virginia,-9.0,-6.59844778095761
9,Mississippi State,Texas,-6.5,-5.125963145573761
9,Miami,Stanford,30.0,23.75755749974796
9,Virginia Tech,California,5.0,3.1257868462267657
9,Vanderbilt,Missouri,3.0,2.929927073394072
9,Wake Forest,SMU,-3.0,-3.447461308796618
9,Rice,UConn,-10.5,-7.423915070532291
9,Nevada,Boise State,-22.0,-13.878731842540159
