season,week,season_type,home,away,neutral,actual_margin,actual_total,home_offense,away_offense,home_defense,away_defense,home_power,away_power,wind_high,cold,heat,rain,snow,humid,dewpos
2023,1,regular,Notre Dame,Navy,True,39.0,45.0,1.0775776820044716,-1.12353681766994,1.6716525467685492,0.4339095735133281,4.085126723788093,-1.4522188579332571,1.1999999999999993,0.0,0.0,1.0,0.0,13.0,0.0
2023,1,regular,Jacksonville State,UTEP,False,3.0,31.0,-0.4512451789654013,-0.7269384108028664,0.9616409128729492,-0.8568972897227468,0.4152023161773049,-2.5327355624516494,0.0,0.0,11.799999999999997,0.0,0.0,0.0,2.799999999999997
2023,1,regular,New Mexico State,Massachusetts,False,-11.0,71.0,0.42486278181055614,-0.22218613365101908,-0.1822311552848589,-1.496132025770474,0.01246543819888754,-2.901982718236987,0.3000000000000007,0.0,9.5,0.0,0.0,0.0,0.0
2023,1,regular,San Diego State,Ohio,False,7.0,33.0,-0.504641751622321,-0.25624307335308844,-0.8679623955685478,1.3909549257198117,-1.9720129878248773,0.9967854415621827,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Vanderbilt,Hawai'i,False,7.0,63.0,-0.7606766764057935,-0.5869646266128548,-1.473885285260258,-0.8573422589108496,-2.9751428622769938,-2.462327724774178,2.6999999999999993,0.0,0.0,0.0,0.0,9.0,8.400000000000006
2023,1,regular,USC,San José State,False,28.0,84.0,1.7277114977838108,0.39475035077819864,-0.8128915664030181,-0.4659350347377438,1.583818670688405,-0.12951905628724997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Louisiana Tech,Florida International,False,5.0,39.0,-0.485347448315333,-0.9320996960269009,-0.6787341579150052,-0.3298507610478969,-2.071722234849525,-2.6043712501281706,0.0,0.0,1.2000000000000028,0.0,0.0,0.0,8.0
2023,1,regular,UCF,Kent State,False,50.0,62.0,0.6195269509865574,-1.2676113631920296,0.13377517109449755,-1.4274625866329633,1.1203836198208166,-4.246321884314131,0.0,0.0,0.0,1.0,0.0,13.0,11.799999999999997
2023,1,regular,UConn,NC State,False,-10.0,38.0,-0.9396807128811893,-0.13911583490208432,-0.6779186015001919,0.7387780090346425,-2.630183688200833,1.045138522839344,0.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Minnesota,Nebraska,False,3.0,23.0,-0.5863440432836069,-0.5235613073115053,-0.40376392170566555,0.9762008262944741,-1.0006025517031742,0.47903037140949467,2.6999999999999993,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Utah,Florida,False,13.0,35.0,-0.382205732658545,0.5123807300022489,0.8396387442006208,-0.49956722165709805,1.029374374520478,0.3914888353689256,0.0,0.0,5.5,0.0,0.0,0.0,0.0
2023,1,regular,Miami,Miami (OH),False,35.0,41.0,0.45301392854702416,-0.4003043536542725,0.595705683542854,0.7847944296089853,1.6025080427761602,0.43942970215189253,0.0,0.0,0.0,1.0,0.0,19.0,13.799999999999997
2023,1,regular,Michigan State,Central Michigan,False,24.0,38.0,-1.1844400787961455,-0.3357882491847345,-0.25343157001985145,-1.3640338170786652,-1.8003737508154602,-2.665014692816638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Georgia Tech,Louisville,True,-5.0,73.0,0.5126067491784747,0.3582367847666049,-0.8505391832963896,1.056195736172592,-0.269637343211127,1.986997786199127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Hawai'i,Stanford,False,-13.0,61.0,-0.5869646266128548,-0.6083413468713537,-0.8573422589108496,-1.3801721935154243,-2.462327724774178,-2.7182997568425744,16.4,0.0,0.0,0.0,0.0,0.0,4.099999999999994
2023,1,regular,Liberty,Bowling Green,False,10.0,58.0,1.166653627442675,-0.10945403620409053,-0.05137012833481671,0.03503111242361213,1.4825925132221358,-0.47524854566581787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Kentucky,Ball State,False,30.0,58.0,0.28304377443219375,-0.6845121524942513,0.29650665995005715,0.09352177923580964,1.1110629614592944,-1.4024210029401056,0.0,0.0,1.9000000000000057,0.0,0.0,0.0,1.5999999999999943
2023,1,regular,Boston College,Northern Illinois,False,-3.0,51.0,0.08484846344801217,-0.05166558591702219,-0.7215009643275563,0.2974492832825471,-1.0035486940682967,-0.17081065807317036,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,TCU,Colorado,False,-3.0,87.0,0.5760909982751755,-0.20758440692718458,-0.4707885232814968,-0.9069522274790148,0.603690653504988,-1.4490282135996795,0.0,0.0,4.400000000000006,0.0,0.0,0.0,0.0
2023,1,regular,Tennessee,Virginia,True,36.0,62.0,0.583365990183355,-0.2542191311079602,0.841627772630213,-0.8090683798933286,2.3952209522374073,-1.645852520127327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,SMU,Louisiana Tech,False,24.0,52.0,0.8468802190902791,-0.485347448315333,1.119530145487754,-0.6787341579150052,2.7059458347234115,-2.071722234849525,0.0,0.0,5.900000000000006,0.0,0.0,0.0,0.0
2023,1,regular,Michigan,East Carolina,False,27.0,33.0,0.9265498240819685,-1.0911433577164502,1.9991343603393823,0.23939454001403992,4.801458559652996,-1.4648836722449414,0.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,regular,Iowa,Utah State,False,10.0,38.0,-1.5943152993249292,0.2807110582853948,1.8354365774746217,-0.5589433493701043,0.5752080482132578,-0.8845662892015084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
