spread_error_pure,spread_error_blended,total_error_pure,total_error_blended,brier_pure,brier_blended,spread_edge_pure,spread_edge_blended,total_edge_pure,total_edge_blended,model_spread,model_total,market_spread,market_total,market_provider_count,actual_margin,actual_total,model_home_win_prob,market_home_win_prob,season
11.097233989372484,0.8583403936234886,4.869307853810376,10.321584712286224,0.03527282749554071,0.1510286479028261,25.597233989372484,15.35834039362349,-13.630692146189624,-8.178415287713776,14.097233989372484,49.869307853810376,-11.5,63.5,1,3,45,0.8121893839647484,0.6113759555781113,2024
-22.451837098126287,-20.47110225887577,3.0046389104339113,0.002783346260343933,0.0016432850445128463,0.0009552297675401926,-4.951837098126287,-2.9711022588757707,7.504638910433911,4.502783346260344,-27.451837098126287,56.00463891043391,-22.5,48.5,1,-5,53,0.04053745236830808,0.030906791608644735,2024
38.85760985704259,35.914565914225555,-23.43357553439708,-25.860145320638246,0.5681251242445214,0.517179365838137,7.35760985704259,4.414565914225554,6.066424465602921,3.639854679361754,10.85760985704259,58.56642446560292,3.5,52.5,1,-28,82,0.7537407540026753,0.7191518378187857,2024
13.407812697466362,8.244687618479817,17.394512865105355,17.03670771906321,0.5826308541082722,0.4576272662431757,12.907812697466362,7.7446876184798175,0.8945128651053551,0.5367077190632088,11.407812697466362,53.394512865105355,-1.5,52.5,1,-2,36,0.7633025966864466,0.6764815342957823,2024
-15.956149886828115,-11.773689932096872,-7.321342043353226,-2.9928052260119387,0.0004844061866264492,1.5609344858510684e-05,-10.456149886828115,-6.273689932096872,-10.821342043353226,-6.492805226011939,32.043850113171885,46.678657956646774,42.5,57.5,1,48,54,0.9779907704217878,0.9960491336572201,2024
4.575520418335172,5.345312251001104,22.482363091898094,21.28941785513885,0.06407715278320043,0.04110305341369317,-1.9244795816648281,-1.1546877489988958,2.982363091898094,1.7894178551388507,10.575520418335172,48.482363091898094,12.5,45.5,1,6,26,0.7468653465382497,0.7972611201232157,2024
3.048240379840827,3.2289442279044955,9.521002926380397,7.512601755828243,0.020584438138177095,0.01065913676987258,-0.4517596201591729,-0.27105577209550447,5.0210029263803975,3.0126017558282427,17.048240379840827,51.5210029263804,17.5,46.5,1,14,42,0.8565272216126798,0.8967569044929755,2024
-8.464848504102065,-4.4789091024612375,-1.6849430815132465,-2.4109658489079493,0.02740306776337131,0.03999410470577323,-9.964848504102065,-5.9789091024612375,1.8150569184867535,1.0890341510920507,-15.464848504102065,59.31505691848675,-5.5,57.5,1,-7,61,0.16553871983125673,0.19998526122135407,2024
-41.80583204016816,-32.883499224100895,-8.666515959308903,-7.799909575585339,0.22098150322514468,0.052491910422358685,-22.305832040168163,-13.383499224100897,-2.166515959308903,-1.299909575585339,1.1941679598318378,48.3334840406911,23.5,50.5,1,43,57,0.5299133024375773,0.77088886883794,2024
-12.445860858905583,-14.467516515343348,-6.83259876495849,-9.499559258975097,0.40186015776576933,0.5012606699189854,5.054139141094418,3.032483484656651,6.66740123504151,4.000440741024903,-5.445860858905582,54.16740123504151,-10.5,47.5,1,7,61,0.36607558986439925,0.2920023517560349,2024
3.9480676456736745,3.768840587404206,-25.66660573440467,-20.7999634406428,0.000210894613708923,2.9115035321811328e-05,0.4480676456736745,0.26884058740420613,-12.16660573440467,-7.299963440642799,34.948067645673675,53.33339426559533,34.5,65.5,1,31,79,0.9854777889524727,0.9946041650023549,2024
-3.9884541474758777,2.606927511514474,6.825562517407974,4.695337510444787,0.002522008128254761,0.006009002463826949,-16.488454147475878,-9.893072488485526,5.325562517407974,3.195337510444787,-25.988454147475878,52.825562517407974,-9.5,47.5,1,-22,46,0.05021959904514134,0.07751775579715237,2024
-20.11733727521488,-19.87040236512893,18.00693050470825,13.404158302824953,0.05983235406267503,0.04294534409577072,-0.6173372752148811,-0.3704023651289283,11.50693050470825,6.904158302824953,10.882662724785119,55.00693050470825,11.5,43.5,1,31,37,0.7553934709320395,0.7927674154584499,2024
-2.8603069212647796,-4.716184152758871,-2.7827173656791615,-1.8696304194074997,0.0008466065228392942,0.0003627409142970776,4.63969307873522,2.7838158472411294,-2.2827173656791615,-1.3696304194074997,30.13969307873522,44.21728263432084,25.5,46.5,1,33,47,0.9709034963811922,0.9809542415667667,2024
6.350162723659288,3.210097634195577,-7.721891549856807,-6.833134929914081,2.5068683915922313e-07,2.37562238144374e-08,7.850162723659288,4.710097634195577,-2.2218915498568066,-1.3331349299140811,52.35016272365929,50.27810845014319,44.5,52.5,1,46,58,0.9994993136319419,0.999845869458528,2024
7.295042441336861,10.977025464802118,8.318541936883527,8.391125162130116,0.012685122355607394,0.0021176396225985523,-9.20495755866314,-5.522974535197882,-0.18145806311647306,-0.10887483786988383,19.29504244133686,52.31854193688353,28.5,52.5,1,12,44,0.8873717515202896,0.9539821814663216,2024
-12.628976714551605,-14.977386028730962,-5.735497741523744,-0.441298644914248,4.110926141815165e-05,1.1005895747031813e-05,5.871023285448395,3.5226139712690383,-13.235497741523744,-7.941298644914248,39.371023285448395,46.264502258476256,33.5,59.5,1,52,52,0.9935883495558357,0.9966824865114017,2024
-12.917549005874646,-8.750529403524787,0.9061031295187689,-6.056338122288736,0.17872476898120385,0.08851610379416198,-10.417549005874646,-6.250529403524787,17.40610312951877,10.443661877711264,3.082450994125354,60.90610312951877,13.5,43.5,1,16,60,0.5772414767491921,0.7024834394623352,2024
